domain,pipeline_status,shopify_score,india_score,category,tagline_or_description,state,logo_url,emails,phones,socials,shopify_evidence,india_evidence,auto_shopify_check,auto_india_check,auto_logo_check,auto_state_check,auto_contacts_check,auto_socials_check,auto_audit_confidence,auto_audit_notes,manual_shopify_correct,manual_india_correct,manual_logo_correct,manual_state_correct,manual_contacts_correct,manual_notes
https://11trends.in,ACCEPTED,12,11,Women's Apparel,"11 Trends is a saree and women's fashion store in Vijayawada, now selling online. Sarees, kurthi sets and womenswear, hand-picked in store and shipped across India. Secure UPI and card payments.",Andhra Pradesh,https://11trends.in/cdn/shop/files/11trends_logo.png?v=1785947818&width=500,"[""support11trends@gmail.com""]","[""+918686570705"", ""+918686571715""]","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://11trends.in/"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://11trends.in/"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://11trends.in/"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://11trends.in/"", ""value"": ""1cswcy-c8.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://11trends.in/"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://11trends.in/"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://11trends.in/"", ""value"": ""+91 86865 71715""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://11trends.in/"", ""value"": ""520002""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://11trends.in/"", ""value"": ""Andhra Pradesh""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://11trends.in/"", ""value"": ""Rs. 2""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://11trends.in/"", ""value"": ""11trends.in""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://11trends.in/"", ""value"": ""Andhra Pradesh 520002""}]",PASS,PASS,PASS,PASS,PASS,MISSING,HIGH,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 11; strong evidence clear_indian_physical_address,india_phone,india_pincode,contextual_business_state:Andhra Pradesh; all signals clear_indian_physical_address,dot_in_domain,india_phone,india_pincode,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Andhra Pradesh | contacts: confirmed 1 email(s) and 2 phone(s) on merchant pages | socials: no stored social profile URLs",,,,,,
https://24street.in,ACCEPTED,12,14,Sports & Fitness,"Discover 24Street – your go‑to destination for trendy, comfy and budget‑friendly men’s apparel in India. Explore joggers, gym wear, boxers, casual tees and summer essentials.",West Bengal,https://24street.in/cdn/shop/files/logo_1.png?v=1731489236&width=500,"[""customer.care@24street.in"", ""info@24street.in""]","[""+919123873984""]","{""instagram"": ""https://instagram.com/shop_24street"", ""facebook"": ""https://facebook.com/profile.php"", ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://24street.in"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://24street.in"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://24street.in"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://24street.in"", ""value"": ""24streetin.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://24street.in"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://24street.in"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://24street.in"", ""value"": ""+91- 9123873984""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://24street.in"", ""value"": ""700124""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://24street.in"", ""value"": ""Kolkata""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://24street.in"", ""value"": ""Rs. 0""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://24street.in"", ""value"": ""24street.in""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://24street.in"", ""value"": ""Kolkata 700124""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://24street.in/policies/shipping-policy"", ""value"": ""India""}]",PASS,PASS,PASS,PASS,PASS,PASS,HIGH,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 14; strong evidence clear_indian_physical_address,explicit_india_address,india_phone,india_pincode,contextual_business_state:West Bengal; all signals clear_indian_physical_address,dot_in_domain,explicit_india_address,india_phone,india_pincode,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: West Bengal | contacts: confirmed 2 email(s) and 1 phone(s) on merchant pages | socials: confirmed 2 merchant-page social profile link(s)",,,,,,
https://29thelabel.com,ACCEPTED,12,14,Jewellery,"India's Best Designer Clothing Store for Women. Explore the newest styles dresses, co-ord sets, jackets, shirts, & more from a top online store. Shop Now",Punjab,https://29thelabel.com/cdn/shop/files/29thelabel_logo.png?v=1765032371&width=3840,"[""29thelabel@gmail.com""]","[""+917508000029""]","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://29thelabel.com"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://29thelabel.com"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://29thelabel.com"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://29thelabel.com"", ""value"": ""mehrusstore.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://29thelabel.com"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://29thelabel.com"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://29thelabel.com"", ""value"": ""India""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://29thelabel.com"", ""value"": ""Rs. 2""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://29thelabel.com"", ""value"": ""Shipping Enjoy Free Shipping on Purchases Above ₹10,000 Made in India""}, {""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://29thelabel.com/policies/contact-information"", ""value"": ""+91 75080 00029""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://29thelabel.com/policies/contact-information"", ""value"": ""141401""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://29thelabel.com/policies/contact-information"", ""value"": ""Punjab""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://29thelabel.com/policies/contact-information"", ""value"": ""Punjab 141401""}]",PASS,PASS,PASS,PASS,PASS,MISSING,HIGH,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 14; strong evidence clear_indian_physical_address,explicit_india_address,india_phone,india_pincode,contextual_business_state:Punjab; all signals clear_indian_physical_address,explicit_india_address,india_phone,india_pincode,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Punjab | contacts: confirmed 1 email(s) and 1 phone(s) on merchant pages | socials: no stored social profile URLs",,,,,,
https://7balanced.in,ACCEPTED,12,18,Health & Wellness,"Clean-label overnight oats, granola and muesli with no refined sugar, high fibre and lab-tested ingredients. Healthy breakfast, delivered across India.",Gujarat,https://7balanced.in/cdn/shop/files/7B_BRAND_LOGO-WhiteGreen.svg?v=1777562461&width=500,"[""contact@7balanced.com"", ""support@7balanced.com""]","[""+919904244655""]","{""instagram"": ""https://instagram.com/stay7balanced"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://7balanced.in"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://7balanced.in"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://7balanced.in"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://7balanced.in"", ""value"": ""vdwi5c-pj.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://7balanced.in"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://7balanced.in"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://7balanced.in"", ""value"": ""Rs. 5""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://7balanced.in"", ""value"": ""7balanced.in""}, {""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://7balanced.in/pages/contact"", ""value"": ""+91 9904244655""}, {""signal"": ""gstin"", ""weight"": 3, ""source_url"": ""https://7balanced.in/policies/contact-information"", ""value"": ""24ABECA6816E1ZY""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://7balanced.in/policies/contact-information"", ""value"": ""India""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://7balanced.in/policies/contact-information"", ""value"": ""394421""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://7balanced.in/policies/contact-information"", ""value"": ""Surat""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://7balanced.in/policies/contact-information"", ""value"": ""Surat 394421""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://7balanced.in/policies/shipping-policy"", ""value"": ""Shipping policy – 7balanced India""}]",PASS,PASS,PASS,PASS,PASS,PASS,HIGH,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 18; strong evidence clear_indian_physical_address,explicit_india_address,gstin,india_phone,india_pincode,contextual_business_state:Gujarat; all signals clear_indian_physical_address,dot_in_domain,explicit_india_address,gstin,india_phone,india_pincode,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Gujarat | contacts: confirmed 2 email(s) and 1 phone(s) on merchant pages | socials: confirmed 1 merchant-page social profile link(s)",,,,,,
https://7daysnatural.in,ACCEPTED,11,5,Beauty & Skincare,"Shop natural, paraben-free skincare & haircare made for Indian skin — face wash, Vitamin C serum, sunscreen & hair oil. COD available; easy returns.",Haryana,https://7daysnatural.in/cdn/shop/files/7DaysNatural_Natural_Skin_Hair_Care_Brand_India.png?v=1781868105&width=1625,"[""info@7daysnatural.in""]","[""+918800007761""]","{""instagram"": ""https://instagram.com/7daysnatural"", ""facebook"": ""https://facebook.com/7daysnatural"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@7DAYSNATURAL""}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://7daysnatural.in"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://7daysnatural.in"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://7daysnatural.in"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://7daysnatural.in"", ""value"": ""3ad9bb.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://7daysnatural.in"", ""value"": ""shopify-section""}]","[{""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://7daysnatural.in"", ""value"": ""+91 8800007761""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://7daysnatural.in"", ""value"": ""Gurugram""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://7daysnatural.in"", ""value"": ""₹4""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://7daysnatural.in"", ""value"": ""7daysnatural.in""}]",PASS,PASS,PASS,PASS,PASS,PASS,HIGH,"shopify: current score 11, signals myshopify_reference,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 5; strong evidence india_phone,contextual_business_state:Haryana; all signals dot_in_domain,india_phone,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Haryana | contacts: confirmed 1 email(s) and 1 phone(s) on merchant pages | socials: confirmed 3 merchant-page social profile link(s)",,,,,,
https://7ewellness.in,ACCEPTED,12,9,Health & Wellness,"Shop FDA-cleared MyoLift microcurrent facial devices in India. Lift, tone & firm skin at home — non-surgical, esthetician-endorsed. Free shipping & EMI available.",Madhya Pradesh,https://cdn.shopify.com/.../7elogo.jpg,"[""info@7ewellness.in""]","[""+919685511123""]","{""instagram"": ""https://instagram.com/myolift_microcurrent_facial"", ""facebook"": ""https://facebook.com/7emyoliftindia"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@7EWellness""}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""7e-india.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""Indore""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""Rs. 3""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://www.7ewellness.in/"", ""value"": ""www.7ewellness.in""}, {""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://www.7ewellness.in/pages/refund-policy"", ""value"": ""+91 9685511123""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://www.7ewellness.in/pages/refund-policy"", ""value"": ""India""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://www.7ewellness.in/pages/refund-policy"", ""value"": ""shipping charges to 7E Wellness India""}]",PASS,PASS,PASS,PASS,PASS,PASS,HIGH,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 9; strong evidence explicit_india_address,india_phone,contextual_business_state:Madhya Pradesh; all signals dot_in_domain,explicit_india_address,india_phone,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Madhya Pradesh | contacts: confirmed 1 email(s) and 1 phone(s) on merchant pages | socials: confirmed 3 merchant-page social profile link(s)",,,,,,
https://98degreenorth.com,ACCEPTED,11,11,Fashion,"98 Degree North brings you homegrown streetwear for men & women. From cozy fleece sweatpants to stylish polos & winter essentials, upgrade your daily look.",Punjab,https://98degreenorth.com/cdn/shop/files/98_logo-3.png?v=1750154601&width=450,"[""customercare@98degreenorth.com"", ""kkfabrics@gmail.com""]","[""+919875982194""]","{""instagram"": ""https://instagram.com/98degreenorth"", ""facebook"": ""https://facebook.com/98degreeNorth"", ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://98degreenorth.com"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://98degreenorth.com"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://98degreenorth.com"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://98degreenorth.com"", ""value"": ""900e57-84.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://98degreenorth.com"", ""value"": ""shopify-section""}]","[{""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://98degreenorth.com"", ""value"": ""₹1""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://98degreenorth.com"", ""value"": ""Shipping Free standard shipping on all orders across India""}, {""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://98degreenorth.com/pages/contact"", ""value"": ""+91 9875982194""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://98degreenorth.com/pages/contact"", ""value"": ""141001""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://98degreenorth.com/pages/contact"", ""value"": ""Punjab""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://98degreenorth.com/pages/contact"", ""value"": ""Punjab 141001""}]",PASS,PASS,PASS,PASS,PASS,PASS,HIGH,"shopify: current score 11, signals myshopify_reference,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 11; strong evidence clear_indian_physical_address,india_phone,india_pincode,contextual_business_state:Punjab; all signals clear_indian_physical_address,india_phone,india_pincode,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Punjab | contacts: confirmed 2 email(s) and 1 phone(s) on merchant pages | socials: confirmed 2 merchant-page social profile link(s)",,,,,,
https://999cart.in,ACCEPTED,12,13,Home Decor,Email: 999cart24x7@gmail.com,Gujarat,https://999cart.in/cdn/shop/files/Screenshot__9_-removebg-preview.png?v=1705599106&width=500,"[""999cart24x7@gmail.com"", ""evuty7164@gmail.com""]","[""+912613193240""]","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://999cart.in"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://999cart.in"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://999cart.in"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://999cart.in"", ""value"": ""11d705-3.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://999cart.in"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://999cart.in"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://999cart.in"", ""value"": ""395007""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://999cart.in"", ""value"": ""Surat""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://999cart.in"", ""value"": ""Rs. 0""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://999cart.in"", ""value"": ""Delivery Across India""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://999cart.in"", ""value"": ""999cart.in""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://999cart.in"", ""value"": ""Surat 395007""}, {""signal"": ""gstin"", ""weight"": 3, ""source_url"": ""https://999cart.in/policies/contact-information"", ""value"": ""24ADJPJ5847Q1ZV""}]",PASS,PASS,PASS,PASS,PASS,MISSING,HIGH,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 13; strong evidence clear_indian_physical_address,gstin,india_pincode,contextual_business_state:Gujarat; all signals clear_indian_physical_address,dot_in_domain,gstin,india_pincode,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Gujarat | contacts: confirmed 2 email(s) and 1 phone(s) on merchant pages | socials: no stored social profile URLs",,,,,,
https://99store.co.in,ACCEPTED,12,18,Electronics,"Home About us WHO WE ARE Welcome to 99store.co.in, your trusted eCommerce destination designed especially for customers across India. Our mission is simple; bring affordable, quality, and innovative products within everyone’s reach, backed by secure payments and fast delivery. We offer 500+ products across diverse categories, including electronics, apparel, home & kitchen essentials, daily-use items, innovative products, health & wellness goods, and religious items etc. Everything you need for…",Delhi,https://www.99store.co.in/files/99_Store_logo_logo_2x_da9cdc28-2a45-40b4-bf19-9260e7d5ee4c.png,"[""support@99store.co.in""]","[""+919220248885"", ""+919560270638""]","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""store99-299.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""gstin"", ""weight"": 3, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""07AADCN9228K1Z3""}, {""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""+91 9560270638""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""India""}, {""signal"": ""india_state_or_city"", ""weight"": 1, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""New Delhi""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""₹1""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""deliver across India""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://www.99store.co.in/"", ""value"": ""www.99store.co.in""}, {""signal"": ""india_pincode"", ""weight"": 2, ""source_url"": ""https://www.99store.co.in/pages/contact"", ""value"": ""110043""}, {""signal"": ""clear_indian_physical_address"", ""weight"": 4, ""source_url"": ""https://www.99store.co.in/pages/contact"", ""value"": ""New Delhi 110043""}]",PASS,PASS,PASS,PASS,PASS,MISSING,HIGH,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 18; strong evidence clear_indian_physical_address,explicit_india_address,gstin,india_phone,india_pincode,contextual_business_state:Delhi; all signals clear_indian_physical_address,dot_in_domain,explicit_india_address,gstin,india_phone,india_pincode,india_shipping,india_state_or_city,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: stored state matches current contextual business-location evidence: Delhi | contacts: confirmed 1 email(s) and 2 phone(s) on merchant pages | socials: no stored social profile URLs",,,,,,
https://9skin.in,ACCEPTED,12,8,Beauty & Skincare,"Unlock the secret to radiant, healthy skin with 9Skin's range of products. Join our Self-Love tribe today!",,https://9skin.in/cdn/shop/files/9skin-logo.png?v=1721113154&width=500,"[""contact@9skin.in"", ""ello@9skin.world""]","[""+917996189999""]","{""instagram"": ""https://instagram.com/9skinofficial"", ""facebook"": ""https://facebook.com/9SkinOfficial"", ""twitter"": ""https://x.com/9SkinOfficial"", ""linkedin"": null, ""youtube"": null}","[{""signal"": ""shopify_theme"", ""weight"": 3, ""source_url"": ""https://9skin.in"", ""value"": ""Shopify.theme""}, {""signal"": ""shopify_cdn"", ""weight"": 3, ""source_url"": ""https://9skin.in"", ""value"": ""cdn.shopify.com""}, {""signal"": ""shopify_analytics"", ""weight"": 2, ""source_url"": ""https://9skin.in"", ""value"": ""ShopifyAnalytics""}, {""signal"": ""myshopify_reference"", ""weight"": 2, ""source_url"": ""https://9skin.in"", ""value"": ""n9skin.myshopify.com""}, {""signal"": ""shopify_section"", ""weight"": 1, ""source_url"": ""https://9skin.in"", ""value"": ""shopify-section""}, {""signal"": ""powered_by_shopify"", ""weight"": 1, ""source_url"": ""https://9skin.in"", ""value"": ""Powered by Shopify""}]","[{""signal"": ""india_phone"", ""weight"": 2, ""source_url"": ""https://9skin.in"", ""value"": ""+91 7996189999""}, {""signal"": ""inr_pricing"", ""weight"": 1, ""source_url"": ""https://9skin.in"", ""value"": ""Rs. 0""}, {""signal"": ""dot_in_domain"", ""weight"": 1, ""source_url"": ""https://9skin.in"", ""value"": ""9skin.in""}, {""signal"": ""explicit_india_address"", ""weight"": 3, ""source_url"": ""https://9skin.in/policies/shipping-policy"", ""value"": ""India""}, {""signal"": ""india_shipping"", ""weight"": 1, ""source_url"": ""https://9skin.in/policies/shipping-policy"", ""value"": ""Shipping policy – 9skin India""}]",PASS,PASS,PASS,MISSING,PASS,PASS,HIGH,"shopify: current score 12, signals myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme; stored myshopify_reference,powered_by_shopify,shopify_analytics,shopify_cdn,shopify_section,shopify_theme | india: current score 8; strong evidence explicit_india_address,india_phone; all signals dot_in_domain,explicit_india_address,india_phone,india_shipping,inr_pricing | logo: stored logo matches the current semantic logo candidate | state: no stored state and no current contextual business state | contacts: confirmed 2 email(s) and 1 phone(s) on merchant pages | socials: confirmed 3 merchant-page social profile link(s)",,,,,,
