domain,missing_fields,shopify_score,india_score
https://11trends.in,socials,12,11
https://29thelabel.com,socials,12,14
https://999cart.in,socials,12,13
https://99store.co.in,socials,12,18
https://9skin.in,state,12,8
https://aadhyawomensclothingstore.com,socials,12,12
https://aaurash.com,socials,12,13
https://accessoryavenue.in,"socials,logo,state",12,4
https://acreatorsstudio.com,phones,11,11
https://adviblouses.com,state,12,8
https://aestheticcreations.in,logo,12,12
https://airtex.in,socials,12,18
https://alittleextra.co.in,state,12,6
https://amazeaura.com,"socials,state",12,8
https://amdarts.in,socials,12,12
https://amohafashion.in,socials,12,5
https://amoregelato.com,phones,12,11
https://andamanaisle.com,socials,11,14
https://angelinebyangie.com,state,12,4
https://angelocean.in,logo,12,9
https://ankurjodhpur.com,socials,12,14
https://anrita.in,"phones,socials",12,12
https://anushkamahajan.com,"socials,state",12,5
https://aonaindia.com,socials,11,14
https://apparelfactory.co.za,socials,12,14
https://aqsaclothing.in,description,12,15
https://aqua-lounge.in,socials,12,15
https://arctale.in,socials,12,12
https://arishbionatural.com,"emails,socials",12,10
https://artisticgifts.in,socials,11,15
https://atina.co.in,"phones,state",12,4
https://attitudefashion.in,socials,12,12
https://aurumhomesolutions.in,socials,12,14
https://avantikaclothing.com,state,12,4
https://avatararts.in,state,12,5
https://avnikk.com,state,12,8
https://aymami.in,socials,12,12
https://ayursiri.shop,"phones,socials,logo",12,11
https://ayushayurvedaa.com,socials,11,14
https://bassface.in,logo,11,15
https://beastox.in,logo,12,18
https://beautyheven.com,"emails,socials",12,15
https://beautystorebeautiful.com,emails,12,11
https://bharatvibewear.com,"socials,state",12,6
https://bhoome.in,socials,12,14
https://bigboycake.in,socials,12,14
https://bigfestival.in,emails,11,18
https://bigwolf.in,socials,12,15
https://blackgoldhairoil.com,"phones,socials,logo",12,9
https://blingbyanjali.in,socials,12,17
https://blingqueen.in,phones,11,16
https://blousewaali.com,socials,12,14
https://boldfit.com,"emails,state",11,4
https://bowzar.com,socials,12,11
https://bprmart.in,logo,12,13
https://budsoftaste.com,socials,12,14
https://buypurenaturals.com,socials,12,13
https://cakezygifting.com,socials,12,13
https://carlo-romano.com,"socials,state",12,6
https://carousel.co.in,"phones,socials,state",12,4
https://cattyindia.com,"emails,phones",12,12
https://chapaihandlooms.com,"phones,socials",12,12
https://checkout.fomobakery.com,phones,12,6
https://chef-connect.in,socials,12,13
https://clockworkrituals.com,socials,12,17
https://coplio.com,socials,12,12
https://culltique.in,phones,12,15
https://dailyspacecompany.com,logo,11,14
https://dakshinamsarees.in,state,12,6
https://daysforclothing.com,socials,12,11
https://dearheals.com,state,12,8
https://decorworldinterio.in,socials,12,12
https://delcoshoes.com,phones,12,6
https://deltacharms.com,phones,12,9
https://deodap.in,phones,12,16
