query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Delhi NCR"" ""fashion"" India store",https://www.dodoandmoa.com/shop/,web-search-final,Delhi NCR,fashion
"""Powered by Shopify"" ""Delhi NCR"" ""fashion"" India store",https://www.faburra.com/collections/ajrakh-modal-silk-sarees,web-search-final,Delhi NCR,fashion
"""Powered by Shopify"" ""Delhi NCR"" ""fashion"" India store",https://jaimantoys.com/products/frozen-princess-beauty-vanity-suitcase-playset-with-mirror-accessories-with-sound,web-search-final,Delhi NCR,fashion
"""Powered by Shopify"" ""Delhi NCR"" ""fashion"" India store",https://www.obleka.in/pages/copy-of-policies,web-search-final,Delhi NCR,fashion
"""Powered by Shopify"" ""Delhi NCR"" ""fashion"" India store",https://uraib.in/,web-search-final,Delhi NCR,fashion
"""Powered by Shopify"" ""Delhi NCR"" ""fashion"" India store",https://www.homeartisan.in/products/terracotta-leaf-motif-ceramic-table-lamp-small,web-search-final,Delhi NCR,fashion
"""Powered by Shopify"" ""Delhi NCR"" ""fashion"" India store",https://alittleextra.co.in/collections/hamper,web-search-final,Delhi NCR,fashion
"""Powered by Shopify"" ""Delhi NCR"" ""fashion"" India store",https://shop.broadwaylive.in/products/twin-water-droplets-multicolor-pin-earrings-jlt12847,web-search-final,Delhi NCR,fashion
"""Powered by Shopify"" ""Delhi NCR"" ""clothing"" India store",https://www.cossetclothing.com/products/macaron-linen-shirt-in-lavender,web-search-final,Delhi NCR,clothing
"""Powered by Shopify"" ""Delhi NCR"" ""clothing"" India store",https://www.dodoandmoa.com/shop/,web-search-final,Delhi NCR,clothing
"""Powered by Shopify"" ""Delhi NCR"" ""clothing"" India store",https://shop.broadwaylive.in/products/rising-through-all-charcoal-polo,web-search-final,Delhi NCR,clothing
"""Powered by Shopify"" ""Delhi NCR"" ""clothing"" India store",https://jaimantoys.com/products/fuggler-gold-fuggs-by-zuru-funny-ugly-monster-plush-collectible-toy-mr-needles-pants,web-search-final,Delhi NCR,clothing
"""Powered by Shopify"" ""Delhi NCR"" ""clothing"" India store",https://www.faburra.com/collections/ajrakh-modal-silk-sarees,web-search-final,Delhi NCR,clothing
"""Powered by Shopify"" ""Delhi NCR"" ""clothing"" India store",https://jompers.com/products/embroidered-viscose-kurta-set-for-men-jokp_p_5121multi,web-search-final,Delhi NCR,clothing
"""Powered by Shopify"" ""Delhi NCR"" ""jewellery"" India store",https://xagoluxe.com/products/sufia-studs-earrings,web-search-final,Delhi NCR,jewellery
"""Powered by Shopify"" ""Delhi NCR"" ""jewellery"" India store",https://shopguts.co/products/pierce-necklace,web-search-final,Delhi NCR,jewellery
"""Powered by Shopify"" ""Delhi NCR"" ""jewellery"" India store",https://zinara.in/collections/all-rings,web-search-final,Delhi NCR,jewellery
"""Powered by Shopify"" ""Delhi NCR"" ""jewellery"" India store",https://alittleextra.co.in/collections/hamper,web-search-final,Delhi NCR,jewellery
"""Powered by Shopify"" ""Delhi NCR"" ""jewellery"" India store",https://phuljhadi.com/products/roopmati-kundan-set,web-search-final,Delhi NCR,jewellery
"""Powered by Shopify"" ""Delhi NCR"" ""jewellery"" India store",https://beattrangi.com/products/white-heart-stud-earrings-under100-gifts,web-search-final,Delhi NCR,jewellery
"""Powered by Shopify"" ""Delhi NCR"" ""jewellery"" India store",https://beauth.in/products/finger-ring-watch-with-adjustable-strap,web-search-final,Delhi NCR,jewellery
"""Powered by Shopify"" ""Delhi NCR"" ""jewellery"" India store",https://shop.broadwaylive.in/products/fashionable-niche-design-heart-love-mashroom-cute-versatile-womens-necklace-jltn1452,web-search-final,Delhi NCR,jewellery
"""Powered by Shopify"" ""Delhi NCR"" ""beauty"" India store",https://sagansinghmakeup.in/products/valentine-s-glam-love-bouquet-complete-makeup-glow-gift-hamper,web-search-final,Delhi NCR,beauty
"""Powered by Shopify"" ""Delhi NCR"" ""beauty"" India store",https://www.homeartisan.in/products/on-her-fingertips-sculpture,web-search-final,Delhi NCR,beauty
"""Powered by Shopify"" ""Delhi NCR"" ""beauty"" India store",https://jaimantoys.com/products/frozen-princess-beauty-vanity-suitcase-playset-with-mirror-accessories-with-sound,web-search-final,Delhi NCR,beauty
"""Powered by Shopify"" ""Delhi NCR"" ""beauty"" India store",https://www.buypurenaturals.com/products/organic-hair-growth-serum-bypurenaturals,web-search-final,Delhi NCR,beauty
"""Powered by Shopify"" ""Delhi NCR"" ""beauty"" India store",https://bprmart.in/,web-search-final,Delhi NCR,beauty
"""Powered by Shopify"" ""Delhi NCR"" ""beauty"" India store",https://terrai.in/,web-search-final,Delhi NCR,beauty
"""Powered by Shopify"" ""Delhi NCR"" ""skincare"" India store",https://sagansinghmakeup.in/products/valentine-s-glam-love-bouquet-complete-makeup-glow-gift-hamper,web-search-final,Delhi NCR,skincare
"""Powered by Shopify"" ""Delhi NCR"" ""skincare"" India store",https://terrai.in/,web-search-final,Delhi NCR,skincare
"""Powered by Shopify"" ""Delhi NCR"" ""skincare"" India store",https://www.buypurenaturals.com/products/organic-mesmerizing-body-lotion,web-search-final,Delhi NCR,skincare
"""Powered by Shopify"" ""Delhi NCR"" ""skincare"" India store",https://kazeliving.com/collections/all,web-search-final,Delhi NCR,skincare
"""Powered by Shopify"" ""Delhi NCR"" ""skincare"" India store",https://shop.broadwaylive.in/products/skin-lifting-device,web-search-final,Delhi NCR,skincare
"""Powered by Shopify"" ""Delhi NCR"" ""home decor"" India store",https://brassaura.com/products/brassaura%E2%84%A2-ashirwaad-kana-drishti-vinayaka-ganesha-brass-idol-12-inch-height-7-inch-width-4-1-kg-protective-blessing-statue-copy,web-search-final,Delhi NCR,home decor
"""Powered by Shopify"" ""Delhi NCR"" ""home decor"" India store",https://specialyou.in/products/artificial-multicolored-roses-decoration-item-for-home-decor,web-search-final,Delhi NCR,home decor
"""Powered by Shopify"" ""Delhi NCR"" ""home decor"" India store",https://haroldelectricals.com/en-us,web-search-final,Delhi NCR,home decor
"""Powered by Shopify"" ""Delhi NCR"" ""home decor"" India store",https://jaimantoys.com/products/crystal-led-decorative-tree-light-warm-white-fairy-lights-tabletop-ornament-for-christmas-home-decor-festive-displays,web-search-final,Delhi NCR,home decor
"""Powered by Shopify"" ""Delhi NCR"" ""home decor"" India store",https://www.coraltree.in/policies/shipping-policy,web-search-final,Delhi NCR,home decor
"""Powered by Shopify"" ""Delhi NCR"" ""home decor"" India store",https://wallpaperprinting.in/,web-search-final,Delhi NCR,home decor
"""Powered by Shopify"" ""Delhi"" ""beauty"" India store",https://52store.in/,web-search-final,Delhi,beauty
"""Powered by Shopify"" ""Delhi"" ""beauty"" India store",https://gopeach.in/,web-search-final,Delhi,beauty
"""Powered by Shopify"" ""Delhi"" ""beauty"" India store",https://kikassparis.myshopify.com/,web-search-final,Delhi,beauty
"""Powered by Shopify"" ""Delhi"" ""beauty"" India store",https://sagansinghmakeup.in/products/wireless-eyebrow-trimmer,web-search-final,Delhi,beauty
"""Powered by Shopify"" ""Delhi"" ""beauty"" India store",https://ilena.in/,web-search-final,Delhi,beauty
"""Powered by Shopify"" ""Delhi"" ""beauty"" India store",https://www.theumbrellastore.in/products/sleeping-beauty-scented-candle,web-search-final,Delhi,beauty
"""Powered by Shopify"" ""Delhi"" ""beauty"" India store",https://www.thedrugstorecompany.com/collections/frontpage,web-search-final,Delhi,beauty
"""Powered by Shopify"" ""Delhi"" ""beauty"" India store",https://shopingo.in/,web-search-final,Delhi,beauty
"""/cdn/shop/"" ""Delhi"" ""skincare"" India store",https://www.drsheths.com/products/glowing-skincare-regimen-combo,web-search-final,Delhi,skincare
"""/cdn/shop/"" ""Delhi"" ""skincare"" India store",https://theskinstore.in/products/is-clinical-pure-clarity-collection-kit-box,web-search-final,Delhi,skincare
"""/cdn/shop/"" ""Delhi"" ""skincare"" India store",https://www.ohriaayurveda.com/products/rose-and-pomegranate-cream,web-search-final,Delhi,skincare
"""/cdn/shop/"" ""Delhi"" ""skincare"" India store",https://global.ohriaayurveda.com/products/kumkumadi-skin-brightening-elixir,web-search-final,Delhi,skincare
"""/cdn/shop/"" ""Delhi"" ""home decor"" India store",https://wishingchair.in/products/ramekins-set-of-3,web-search-final,Delhi,home decor
"""/cdn/shop/"" ""Delhi"" ""home decor"" India store",https://www.lightsandliving.com/products/fearless-amber-pendant-light,web-search-final,Delhi,home decor
"""/cdn/shop/"" ""Delhi"" ""home decor"" India store",https://www.nicobar.com/products/botanical-multi,web-search-final,Delhi,home decor
"""/cdn/shop/"" ""Delhi"" ""home decor"" India store",https://haroldelectricals.com/products/galactic-belt-chandelier,web-search-final,Delhi,home decor
"""/cdn/shop/"" ""Delhi"" ""home decor"" India store",https://theplatedproject.com/products/flower-picking-gallery-wall-art-set?variant=42862028128307,web-search-final,Delhi,home decor
"""shopify-section"" ""Delhi"" ""furniture"" India store",https://www.scribd.com/document/541830575/India-D2C-Yearbook-2021,web-search-final,Delhi,furniture
