query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Bhopal"" fashion ""shipping policy"" India",https://lailaco.in/cart,web-search-final,Bhopal,fashion
"""Powered by Shopify"" ""Bhopal"" fashion ""shipping policy"" India",https://www.monkofu.com/products/brown-acid-wash-unisex-oversized-hoodie,web-search-final,Bhopal,fashion
"""Powered by Shopify"" ""Bhopal"" fashion ""shipping policy"" India",https://golokstore.com/products/rasadwait-manjari-shri-hanuman-prasad-poddar-rachit-shodash-geet-ki-tika,web-search-final,Bhopal,fashion
"""Powered by Shopify"" ""Bhopal"" fashion ""shipping policy"" India",https://hortica.in/collections/hdpe,web-search-final,Bhopal,fashion
"""Powered by Shopify"" ""Bhopal"" fashion ""shipping policy"" India",https://shubhdarshanapp.com/pages/referrals,web-search-final,Bhopal,fashion
"""Powered by Shopify"" ""Bhopal"" fashion ""shipping policy"" India",https://houseofanaya.co.uk/products/zc-3040,web-search-final,Bhopal,fashion
"""Powered by Shopify"" ""Bhopal"" fashion ""shipping policy"" India",https://www.officialkalyanijeweller.com/products/new-bahubali,web-search-final,Bhopal,fashion
"""Powered by Shopify"" ""Bhopal"" fashion ""shipping policy"" India",https://garmonk.com/,web-search-final,Bhopal,fashion
"""Powered by Shopify"" ""Bhopal"" clothing ""shipping policy"" India",https://lailaco.in/cart,web-search-final,Bhopal,clothing
"""Powered by Shopify"" ""Bhopal"" clothing ""shipping policy"" India",https://www.monkofu.com/products/brown-acid-wash-unisex-oversized-hoodie,web-search-final,Bhopal,clothing
"""Powered by Shopify"" ""Bhopal"" clothing ""shipping policy"" India",https://garmonk.com/,web-search-final,Bhopal,clothing
"""Powered by Shopify"" ""Bhopal"" clothing ""shipping policy"" India",https://hortica.in/collections/hdpe,web-search-final,Bhopal,clothing
"""Powered by Shopify"" ""Bhopal"" clothing ""shipping policy"" India",https://golokstore.com/products/rasadwait-manjari-shri-hanuman-prasad-poddar-rachit-shodash-geet-ki-tika,web-search-final,Bhopal,clothing
"""Powered by Shopify"" ""Bhopal"" clothing ""shipping policy"" India",https://shubhdarshanapp.com/collections/all?page=2,web-search-final,Bhopal,clothing
"""Powered by Shopify"" ""Bhopal"" clothing ""shipping policy"" India",https://www.officialkalyanijeweller.com/products/new-bahubali,web-search-final,Bhopal,clothing
"""Powered by Shopify"" ""Bhopal"" clothing ""shipping policy"" India",https://momentbombay.com/,web-search-final,Bhopal,clothing
"""Powered by Shopify"" ""Raipur"" skincare ""shipping policy"" India",https://wellybelly.in/pages/about,web-search-final,Raipur,skincare
"""Powered by Shopify"" ""Raipur"" skincare ""shipping policy"" India",https://putuls.com/products/linen-saree-digital-print-original-quality-4-multicolour,web-search-final,Raipur,skincare
"""Powered by Shopify"" ""Raipur"" skincare ""shipping policy"" India",https://neeko.in/,web-search-final,Raipur,skincare
"""Powered by Shopify"" ""Raipur"" skincare ""shipping policy"" India",https://www.clickoncare.com/pa/blogs/news?page=18,web-search-final,Raipur,skincare
"""Powered by Shopify"" ""Raipur"" skincare ""shipping policy"" India",https://divinefaith.in/products/peace-love-christmas-half-sleeve-t-shirt,web-search-final,Raipur,skincare
"""Powered by Shopify"" ""Raipur"" skincare ""shipping policy"" India",https://deltacharms.com/pages/contact,web-search-final,Raipur,skincare
"""Powered by Shopify"" ""Raipur"" skincare ""shipping policy"" India",https://zevar.com/products/unique-bridal-jewellery-complete-accessories,web-search-final,Raipur,skincare
"""Powered by Shopify"" ""Raipur"" skincare ""shipping policy"" India",https://labeldanilo.com/products/new-stylish-anarkali-kurta-pant-with-dupatta-set-yellow,web-search-final,Raipur,skincare
"""Powered by Shopify"" ""Raipur"" home decor ""shipping policy"" India",https://putuls.com/products/linen-saree-digital-print-original-quality-4-multicolour,web-search-final,Raipur,home decor
"""Powered by Shopify"" ""Raipur"" home decor ""shipping policy"" India",https://neeko.in/,web-search-final,Raipur,home decor
"""Powered by Shopify"" ""Raipur"" home decor ""shipping policy"" India",https://wellybelly.in/pages/about,web-search-final,Raipur,home decor
"""Powered by Shopify"" ""Raipur"" home decor ""shipping policy"" India",https://www.adikala.in/collections/adikala-craft-shop-in-raipur?page=23,web-search-final,Raipur,home decor
"""Powered by Shopify"" ""Raipur"" home decor ""shipping policy"" India",https://zevar.com/products/unique-bridal-jewellery-complete-accessories,web-search-final,Raipur,home decor
"""Powered by Shopify"" ""Raipur"" home decor ""shipping policy"" India",https://divinefaith.in/products/i-belong-to-jesus-kids-t-shirt,web-search-final,Raipur,home decor
"""Powered by Shopify"" ""Raipur"" home decor ""shipping policy"" India",https://deltacharms.com/pages/contact,web-search-final,Raipur,home decor
"""Powered by Shopify"" ""Raipur"" home decor ""shipping policy"" India",https://inkedpixeldesigns.com/products/countdown-enchanted-nightscapes,web-search-final,Raipur,home decor
