query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Patna"" accessories ""shipping policy"" India",https://www.officialkalyanijeweller.com/products/new-bahubali,web-search-final,Patna,accessories
"""Powered by Shopify"" ""Patna"" accessories ""shipping policy"" India",https://momentbombay.com/,web-search-final,Patna,accessories
"""Powered by Shopify"" ""Patna"" accessories ""shipping policy"" India",https://www.angelocean.in/,web-search-final,Patna,accessories
"""Powered by Shopify"" ""Patna"" accessories ""shipping policy"" India",https://sajawatsutra.com/products/half-body-portrait-statues,web-search-final,Patna,accessories
"""Powered by Shopify"" ""Patna"" accessories ""shipping policy"" India",https://www.jewelrywale.com/products/5894_hand-cuff,web-search-final,Patna,accessories
"""Powered by Shopify"" ""Patna"" accessories ""shipping policy"" India",https://www.merutrophy.in/collections/first-collection,web-search-final,Patna,accessories
"""Powered by Shopify"" ""Patna"" accessories ""shipping policy"" India",https://fatimacollection.com/,web-search-final,Patna,accessories
"""Powered by Shopify"" ""Patna"" accessories ""shipping policy"" India",https://www.mianzi.in/collections/handmade-bamboo-wall-lamps,web-search-final,Patna,accessories
"""Powered by Shopify"" ""Patna"" food ""shipping policy"" India",https://momentbombay.com/,web-search-final,Patna,food
"""Powered by Shopify"" ""Patna"" food ""shipping policy"" India",https://www.merutrophy.in/collections/first-collection,web-search-final,Patna,food
"""Powered by Shopify"" ""Patna"" food ""shipping policy"" India",https://sajawatsutra.com/products/half-body-portrait-statues,web-search-final,Patna,food
"""Powered by Shopify"" ""Patna"" food ""shipping policy"" India",https://www.officialkalyanijeweller.com/products/new-bahubali,web-search-final,Patna,food
"""Powered by Shopify"" ""Patna"" food ""shipping policy"" India",https://www.angelocean.in/,web-search-final,Patna,food
"""Powered by Shopify"" ""Patna"" food ""shipping policy"" India",https://quirkybharat.com/products/ecze-anti-fungal-spray-buy-1-get-1-free,web-search-final,Patna,food
"""Powered by Shopify"" ""Patna"" food ""shipping policy"" India",https://www.clickoncare.com/pa/blogs/news?page=18,web-search-final,Patna,food
"""Powered by Shopify"" ""Patna"" food ""shipping policy"" India",https://fatimacollection.com/,web-search-final,Patna,food
"""/cdn/shop/"" ""Patna"" fitness ""shipping policy"" India",https://myfitness.in/products/510g-pack-of-3-chocolate-peanut-butter,web-search-final,Patna,fitness
"""/cdn/shop/"" ""Patna"" fitness ""shipping policy"" India",https://makoba.com/collections/fountain-pens-under-5000/products/scrikss-419-fountain-pen-indigo-gt,web-search-final,Patna,fitness
