query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Vijayawada"" accessories ""shipping policy"" India",https://11trends.com/,web-search-final,Vijayawada,accessories
"""Powered by Shopify"" ""Vijayawada"" accessories ""shipping policy"" India",https://momentbombay.com/,web-search-final,Vijayawada,accessories
"""Powered by Shopify"" ""Vijayawada"" accessories ""shipping policy"" India",https://formsolid.com/products/formsolid-kemm-1-customized-nametag-keychain,web-search-final,Vijayawada,accessories
"""Powered by Shopify"" ""Vijayawada"" accessories ""shipping policy"" India",https://www.likenlike.in/collections/women?page=2,web-search-final,Vijayawada,accessories
"""Powered by Shopify"" ""Vijayawada"" accessories ""shipping policy"" India",https://shotiva.com/,web-search-final,Vijayawada,accessories
"""Powered by Shopify"" ""Vijayawada"" accessories ""shipping policy"" India",https://www.clickoncare.com/pa/blogs/news?page=18,web-search-final,Vijayawada,accessories
"""Powered by Shopify"" ""Vijayawada"" accessories ""shipping policy"" India",https://navdhanfoods.com/collections/sprouted-pure-powerful,web-search-final,Vijayawada,accessories
"""Powered by Shopify"" ""Vijayawada"" food ""shipping policy"" India",https://11trends.com/,web-search-final,Vijayawada,food
"""Powered by Shopify"" ""Vijayawada"" food ""shipping policy"" India",https://momentbombay.com/,web-search-final,Vijayawada,food
"""Powered by Shopify"" ""Vijayawada"" food ""shipping policy"" India",https://navdhanfoods.com/pages/refund-and-return-policy,web-search-final,Vijayawada,food
"""Powered by Shopify"" ""Vijayawada"" food ""shipping policy"" India",https://shotiva.com/,web-search-final,Vijayawada,food
"""Powered by Shopify"" ""Vijayawada"" food ""shipping policy"" India",https://formsolid.com/products/formsolid-kemm-1-customized-nametag-keychain,web-search-final,Vijayawada,food
"""Powered by Shopify"" ""Vijayawada"" food ""shipping policy"" India",https://www.likenlike.in/collections/women?page=2,web-search-final,Vijayawada,food
"""Powered by Shopify"" ""Vijayawada"" food ""shipping policy"" India",https://www.clickoncare.com/pa/blogs/news?page=18,web-search-final,Vijayawada,food
"""/cdn/shop/"" ""Vijayawada"" fitness ""shipping policy"" India",https://www.kattam.in/products/copy-of-kundan-hair-clip-mixed-colours,web-search-final,Vijayawada,fitness
"""Powered by Shopify"" ""Visakhapatnam"" fashion ""shipping policy"" India",https://www.poorvavaibhavam.com/collections/%E0%B0%AA%E0%B1%8A%E0%B0%82%E0%B0%A6%E0%B1%82%E0%B0%B0%E0%B1%81-%E0%B0%96%E0%B0%A6%E0%B1%8D%E0%B0%A6%E0%B0%B0%E0%B1%81-%E0%B0%B5%E0%B0%B8%E0%B1%8D%E0%B0%A4%E0%B1%8D%E0%B0%B0%E0%B0%BE%E0%B0%B2%E0%B1%81-ponduru-khaddar-garments,web-search-final,Visakhapatnam,fashion
"""Powered by Shopify"" ""Visakhapatnam"" fashion ""shipping policy"" India",https://momentbombay.com/,web-search-final,Visakhapatnam,fashion
"""Powered by Shopify"" ""Visakhapatnam"" fashion ""shipping policy"" India",https://stycwots.in/pages/contact,web-search-final,Visakhapatnam,fashion
"""Powered by Shopify"" ""Visakhapatnam"" fashion ""shipping policy"" India",https://www.merutrophy.in/collections/first-collection,web-search-final,Visakhapatnam,fashion
"""Powered by Shopify"" ""Visakhapatnam"" fashion ""shipping policy"" India",https://www.clickoncare.com/pa/blogs/news?page=18,web-search-final,Visakhapatnam,fashion
"""Powered by Shopify"" ""Visakhapatnam"" fashion ""shipping policy"" India",https://www.ridersindia.com/collections/vega-helmets-visor-accessories,web-search-final,Visakhapatnam,fashion
"""Powered by Shopify"" ""Visakhapatnam"" clothing ""shipping policy"" India",https://www.poorvavaibhavam.com/collections/%E0%B0%AA%E0%B1%8A%E0%B0%82%E0%B0%A6%E0%B1%82%E0%B0%B0%E0%B1%81-%E0%B0%96%E0%B0%A6%E0%B1%8D%E0%B0%A6%E0%B0%B0%E0%B1%81-%E0%B0%B5%E0%B0%B8%E0%B1%8D%E0%B0%A4%E0%B1%8D%E0%B0%B0%E0%B0%BE%E0%B0%B2%E0%B1%81-ponduru-khaddar-garments,web-search-final,Visakhapatnam,clothing
"""Powered by Shopify"" ""Visakhapatnam"" clothing ""shipping policy"" India",https://momentbombay.com/,web-search-final,Visakhapatnam,clothing
"""Powered by Shopify"" ""Visakhapatnam"" clothing ""shipping policy"" India",https://stycwots.in/pages/contact,web-search-final,Visakhapatnam,clothing
"""Powered by Shopify"" ""Visakhapatnam"" clothing ""shipping policy"" India",https://www.ridersindia.com/products/smk-typhoon-glossy-black-helmet-gl200,web-search-final,Visakhapatnam,clothing
"""Powered by Shopify"" ""Visakhapatnam"" clothing ""shipping policy"" India",https://www.merutrophy.in/collections/first-collection,web-search-final,Visakhapatnam,clothing
"""Powered by Shopify"" ""Visakhapatnam"" clothing ""shipping policy"" India",https://www.clickoncare.com/pa/blogs/news?page=18,web-search-final,Visakhapatnam,clothing
