query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Nashik"" fashion ""shipping policy"" India",https://momentbombay.com/,web-search-final,Nashik,fashion
"""Powered by Shopify"" ""Nashik"" fashion ""shipping policy"" India",https://www.svarnajewels.in/,web-search-final,Nashik,fashion
"""Powered by Shopify"" ""Nashik"" fashion ""shipping policy"" India",https://instaarts.in/products/artwork-art-248,web-search-final,Nashik,fashion
"""Powered by Shopify"" ""Nashik"" fashion ""shipping policy"" India",https://mecturing.in/collections/s9-series,web-search-final,Nashik,fashion
"""Powered by Shopify"" ""Nashik"" fashion ""shipping policy"" India",https://avnikk.com/products/light-yellow-silk-cotton-kurta,web-search-final,Nashik,fashion
"""Powered by Shopify"" ""Nashik"" fashion ""shipping policy"" India",https://swadhin.co/collections,web-search-final,Nashik,fashion
"""Powered by Shopify"" ""Nashik"" fashion ""shipping policy"" India",https://peacocksarees.store/collections,web-search-final,Nashik,fashion
"""Powered by Shopify"" ""Nashik"" clothing ""shipping policy"" India",https://momentbombay.com/,web-search-final,Nashik,clothing
"""Powered by Shopify"" ""Nashik"" clothing ""shipping policy"" India",https://www.svarnajewels.in/,web-search-final,Nashik,clothing
"""Powered by Shopify"" ""Nashik"" clothing ""shipping policy"" India",https://instaarts.in/products/artwork-art-248,web-search-final,Nashik,clothing
"""Powered by Shopify"" ""Nashik"" clothing ""shipping policy"" India",https://mecturing.in/collections/s9-series,web-search-final,Nashik,clothing
"""Powered by Shopify"" ""Nashik"" clothing ""shipping policy"" India",https://avnikk.com/products/sapphire-lining-green-embroidered-kurta,web-search-final,Nashik,clothing
"""Powered by Shopify"" ""Nashik"" clothing ""shipping policy"" India",https://peacocksarees.store/collections,web-search-final,Nashik,clothing
"""/cdn/shop/"" ""Nashik"" jewellery ""shipping policy"" India",https://powersports.in/products/viaterra-claw-mini48l-waterproof-tail-bag,web-search-final,Nashik,jewellery
"""/cdn/shop/"" ""Nashik"" jewellery ""shipping policy"" India",https://www.perfume24x7.com/products/bvlgari-goldea-the-roman-night-edp-for-women-75ml,web-search-final,Nashik,jewellery
"""Powered by Shopify"" ""Vadodara"" skincare ""shipping policy"" India",https://shoppalash.com/policies/shipping-policy,web-search-final,Vadodara,skincare
"""Powered by Shopify"" ""Vadodara"" skincare ""shipping policy"" India",https://momentbombay.com/,web-search-final,Vadodara,skincare
"""Powered by Shopify"" ""Vadodara"" skincare ""shipping policy"" India",https://zipbypayalzinal.com/,web-search-final,Vadodara,skincare
"""Powered by Shopify"" ""Vadodara"" skincare ""shipping policy"" India",https://modenaworks.com/pages/shipping-policy,web-search-final,Vadodara,skincare
"""Powered by Shopify"" ""Vadodara"" skincare ""shipping policy"" India",https://storite.in/products/storite-women-grey-messenger-bag,web-search-final,Vadodara,skincare
"""Powered by Shopify"" ""Vadodara"" skincare ""shipping policy"" India",https://rudrakshawear.com/products/n,web-search-final,Vadodara,skincare
"""Powered by Shopify"" ""Vadodara"" skincare ""shipping policy"" India",https://www.clickoncare.com/pa/blogs/news?page=18,web-search-final,Vadodara,skincare
"""Powered by Shopify"" ""Vadodara"" skincare ""shipping policy"" India",https://www.ampkrafts.com/products/ultraviolette-x-47-keychain,web-search-final,Vadodara,skincare
"""Powered by Shopify"" ""Vadodara"" home decor ""shipping policy"" India",https://zipbypayalzinal.com/,web-search-final,Vadodara,home decor
"""Powered by Shopify"" ""Vadodara"" home decor ""shipping policy"" India",https://shoppalash.com/policies/shipping-policy,web-search-final,Vadodara,home decor
"""Powered by Shopify"" ""Vadodara"" home decor ""shipping policy"" India",https://www.ampkrafts.com/products/ultraviolette-x-47-keychain,web-search-final,Vadodara,home decor
"""Powered by Shopify"" ""Vadodara"" home decor ""shipping policy"" India",https://momentbombay.com/,web-search-final,Vadodara,home decor
"""Powered by Shopify"" ""Vadodara"" home decor ""shipping policy"" India",https://modenaworks.com/pages/shipping-policy,web-search-final,Vadodara,home decor
"""Powered by Shopify"" ""Vadodara"" home decor ""shipping policy"" India",https://rudrakshawear.com/products/n,web-search-final,Vadodara,home decor
"""Powered by Shopify"" ""Vadodara"" home decor ""shipping policy"" India",https://giftsugar.com/products/resin-photo-clock,web-search-final,Vadodara,home decor
"""/cdn/shop/"" ""Vadodara"" furniture ""shipping policy"" India",https://artisticgifts.in/products/wooden-laptop-stand-for-desk-with-adjustable-height-foldable-riser-for-laptop-compatible-for-for-ipad-macbook-pro-notebook-hp-dell-devices-up-to-15-6-inches-walnut,web-search-final,Vadodara,furniture
"""/cdn/shop/"" ""Vadodara"" furniture ""shipping policy"" India",https://www.kattam.in/products/n1595,web-search-final,Vadodara,furniture
"""/cdn/shop/"" ""Vadodara"" furniture ""shipping policy"" India",https://www.perfume24x7.com/products/villain-eau-de-parfum-for-men-100ml,web-search-final,Vadodara,furniture
"""/cdn/shop/"" ""Vadodara"" furniture ""shipping policy"" India",https://muffynn.com/products/beige-flexiwaist-straight-fit-plus-size-pants,web-search-final,Vadodara,furniture
"""Powered by Shopify"" ""Rajkot"" accessories ""shipping policy"" India",https://celestiajewels.in/products/mimi-0192,web-search-final,Rajkot,accessories
"""Powered by Shopify"" ""Rajkot"" accessories ""shipping policy"" India",https://www.jewelrywale.com/,web-search-final,Rajkot,accessories
"""Powered by Shopify"" ""Rajkot"" accessories ""shipping policy"" India",https://rightmarc.com/collections/t-shirt,web-search-final,Rajkot,accessories
"""Powered by Shopify"" ""Rajkot"" accessories ""shipping policy"" India",https://rizzlife.in/collections/ladies-chain-pendent,web-search-final,Rajkot,accessories
"""Powered by Shopify"" ""Rajkot"" accessories ""shipping policy"" India",https://trendzjewellery.in/products/kadli-002,web-search-final,Rajkot,accessories
"""Powered by Shopify"" ""Rajkot"" food ""shipping policy"" India",https://celestiajewels.in/products/mimi-0192,web-search-final,Rajkot,food
"""Powered by Shopify"" ""Rajkot"" food ""shipping policy"" India",https://www.jewelrywale.com/,web-search-final,Rajkot,food
"""Powered by Shopify"" ""Rajkot"" food ""shipping policy"" India",https://momentbombay.com/,web-search-final,Rajkot,food
"""Powered by Shopify"" ""Rajkot"" food ""shipping policy"" India",https://rizzlife.in/collections/ladies-chain-pendent,web-search-final,Rajkot,food
"""Powered by Shopify"" ""Rajkot"" food ""shipping policy"" India",https://sylvajewels.com/collections/all,web-search-final,Rajkot,food
"""Powered by Shopify"" ""Rajkot"" food ""shipping policy"" India",https://rightmarc.com/collections/t-shirt,web-search-final,Rajkot,food
"""Powered by Shopify"" ""Rajkot"" food ""shipping policy"" India",https://www.lotsy.in/,web-search-final,Rajkot,food
"""/cdn/shop/"" ""Rajkot"" fitness ""shipping policy"" India",https://www.jaibros.com/products/threading-tip-sel-1212-f16,web-search-final,Rajkot,fitness
"""/cdn/shop/"" ""Rajkot"" fitness ""shipping policy"" India",https://uandiworld.com/products/u-i-counter-series-30-hours-music-time-true-wireless-earbuds-with-enc-quad-silicon-mic,web-search-final,Rajkot,fitness
"""Powered by Shopify"" ""Thane"" fashion ""shipping policy"" India",https://www.project1100.com/pages/flexy-checkout,web-search-final,Thane,fashion
"""Powered by Shopify"" ""Thane"" fashion ""shipping policy"" India",https://www.adenluxuryperfumes.com/products/traditional-luxury-attar-combo,web-search-final,Thane,fashion
"""Powered by Shopify"" ""Thane"" fashion ""shipping policy"" India",https://www.anvieandabeer.in/pages/faq,web-search-final,Thane,fashion
"""Powered by Shopify"" ""Thane"" fashion ""shipping policy"" India",https://tulipnturtle.com/products/framed-custom-paint-by-numbers,web-search-final,Thane,fashion
"""Powered by Shopify"" ""Thane"" fashion ""shipping policy"" India",https://luvayaa.com/policies/terms-of-service,web-search-final,Thane,fashion
"""Powered by Shopify"" ""Thane"" fashion ""shipping policy"" India",https://angelinebyangie.com/products/angelines-potli-style-evening-stroll-women-and-girl-sling-bag?variant=44639264178351,web-search-final,Thane,fashion
"""Powered by Shopify"" ""Thane"" fashion ""shipping policy"" India",https://thewovensutra.com/products/modern-crochet-light-pendant-zahra-copy?variant=49874292474134,web-search-final,Thane,fashion
"""Powered by Shopify"" ""Thane"" fashion ""shipping policy"" India",https://madinkco.in/cart,web-search-final,Thane,fashion
"""Powered by Shopify"" ""Thane"" clothing ""shipping policy"" India",https://www.project1100.com/pages/flexy-checkout,web-search-final,Thane,clothing
"""Powered by Shopify"" ""Thane"" clothing ""shipping policy"" India",https://luvayaa.com/policies/terms-of-service,web-search-final,Thane,clothing
"""Powered by Shopify"" ""Thane"" clothing ""shipping policy"" India",https://www.adenluxuryperfumes.com/products/traditional-luxury-attar-combo,web-search-final,Thane,clothing
"""Powered by Shopify"" ""Thane"" clothing ""shipping policy"" India",https://www.anvieandabeer.in/pages/faq,web-search-final,Thane,clothing
"""Powered by Shopify"" ""Thane"" clothing ""shipping policy"" India",https://madinkco.in/cart,web-search-final,Thane,clothing
"""Powered by Shopify"" ""Thane"" clothing ""shipping policy"" India",https://www.sesacare.com/policies/shipping-policy,web-search-final,Thane,clothing
"""Powered by Shopify"" ""Thane"" clothing ""shipping policy"" India",https://anvieandabeer.myshopify.com/products/magnetic-tiles-21-pcs,web-search-final,Thane,clothing
"""Powered by Shopify"" ""Thane"" clothing ""shipping policy"" India",https://tulipnturtle.com/products/framed-custom-paint-by-numbers,web-search-final,Thane,clothing
"""/cdn/shop/"" ""Thane"" jewellery ""shipping policy"" India",https://goosebumps.store/products/masala-pineapple,web-search-final,Thane,jewellery
"""/cdn/shop/"" ""Thane"" jewellery ""shipping policy"" India",https://www.spotlessfruits.com/collections/bestsellers/seasonal-fruits,web-search-final,Thane,jewellery
"""Powered by Shopify"" ""Navi Mumbai"" skincare ""shipping policy"" India",https://decantifyme.in/products/ajmal-silver-shade,web-search-final,Navi Mumbai,skincare
"""Powered by Shopify"" ""Navi Mumbai"" skincare ""shipping policy"" India",https://kiubrands.com/,web-search-final,Navi Mumbai,skincare
"""Powered by Shopify"" ""Navi Mumbai"" skincare ""shipping policy"" India",https://www.bigboycake.in/products/bento-basque-cheesecake,web-search-final,Navi Mumbai,skincare
"""Powered by Shopify"" ""Navi Mumbai"" skincare ""shipping policy"" India",https://wildforaherbs.com/products/kalonji-powder?variant=45165852983343,web-search-final,Navi Mumbai,skincare
"""Powered by Shopify"" ""Navi Mumbai"" skincare ""shipping policy"" India",https://majnoonperfumery.in/products/majnoon-office-for-women?variant=46650396573855,web-search-final,Navi Mumbai,skincare
"""Powered by Shopify"" ""Navi Mumbai"" skincare ""shipping policy"" India",https://www.lumomma.com/collections/all,web-search-final,Navi Mumbai,skincare
"""Powered by Shopify"" ""Navi Mumbai"" skincare ""shipping policy"" India",https://www.buraqpets.com/pages/cat-harness,web-search-final,Navi Mumbai,skincare
"""Powered by Shopify"" ""Navi Mumbai"" home decor ""shipping policy"" India",https://decantifyme.in/products/ajmal-silver-shade,web-search-final,Navi Mumbai,home decor
"""Powered by Shopify"" ""Navi Mumbai"" home decor ""shipping policy"" India",https://nookeu.com/pages/about-us,web-search-final,Navi Mumbai,home decor
"""Powered by Shopify"" ""Navi Mumbai"" home decor ""shipping policy"" India",https://kiubrands.com/,web-search-final,Navi Mumbai,home decor
"""Powered by Shopify"" ""Navi Mumbai"" home decor ""shipping policy"" India",https://www.buraqpets.com/pages/cat-harness,web-search-final,Navi Mumbai,home decor
"""Powered by Shopify"" ""Navi Mumbai"" home decor ""shipping policy"" India",https://www.knotscapestore.com/collections/crochet-products,web-search-final,Navi Mumbai,home decor
"""Powered by Shopify"" ""Navi Mumbai"" home decor ""shipping policy"" India",https://www.bigboycake.in/products/bento-basque-cheesecake,web-search-final,Navi Mumbai,home decor
"""Powered by Shopify"" ""Navi Mumbai"" home decor ""shipping policy"" India",https://demiwall.com/,web-search-final,Navi Mumbai,home decor
"""Powered by Shopify"" ""Navi Mumbai"" home decor ""shipping policy"" India",https://majnoonperfumery.in/products/majnoon-bombshell?variant=62621386965151,web-search-final,Navi Mumbai,home decor
"""/cdn/shop/"" ""Navi Mumbai"" furniture ""shipping policy"" India",https://www.spotlessfruits.com/collections/fruit-basket,web-search-final,Navi Mumbai,furniture
"""/cdn/shop/"" ""Navi Mumbai"" furniture ""shipping policy"" India",https://www.scentsbysaka.com/products/sauvage-extrait-de-parfum-inspired-by-dior,web-search-final,Navi Mumbai,furniture
"""/cdn/shop/"" ""Navi Mumbai"" furniture ""shipping policy"" India",https://bellavitaorganic.com/products/glow-like-a-pro-pack,web-search-final,Navi Mumbai,furniture
"""/cdn/shop/"" ""Navi Mumbai"" furniture ""shipping policy"" India",https://pt.scribd.com/document/873659916/Casebook-4-0,web-search-final,Navi Mumbai,furniture
"""/cdn/shop/"" ""Navi Mumbai"" furniture ""shipping policy"" India",https://makoba.com/collections/steel-nib-fountain-pens/products/diplomat-traveller-fountain-pen-dark-red,web-search-final,Navi Mumbai,furniture
