query,result_url,source,location,category_hint
"""Powered by Shopify"" ""India"" ""fashion"" India store",https://ststyletry.com/policies/terms-of-service,web-search-final,India,fashion
"""Powered by Shopify"" ""India"" ""fashion"" India store",https://myrtle.net.in/,web-search-final,India,fashion
"""Powered by Shopify"" ""India"" ""fashion"" India store",https://in.kaataberry.com/,web-search-final,India,fashion
"""Powered by Shopify"" ""India"" ""fashion"" India store",https://www.houseoffp.com/,web-search-final,India,fashion
"""Powered by Shopify"" ""India"" ""fashion"" India store",https://pinksafashion.com/,web-search-final,India,fashion
"""Powered by Shopify"" ""India"" ""fashion"" India store",https://reformyourcloset.com/,web-search-final,India,fashion
"""Powered by Shopify"" ""India"" ""fashion"" India store",https://estuna.in/,web-search-final,India,fashion
"""Powered by Shopify"" ""India"" ""fashion"" India store",https://g29fashion.com/,web-search-final,India,fashion
"""Powered by Shopify"" ""India"" ""clothing"" India store",https://ferovaclothing.in/,web-search-final,India,clothing
"""Powered by Shopify"" ""India"" ""clothing"" India store",https://29thelabel.com/,web-search-final,India,clothing
"""Powered by Shopify"" ""India"" ""clothing"" India store",https://cultbyorigin.com/,web-search-final,India,clothing
"""Powered by Shopify"" ""India"" ""clothing"" India store",https://ststyletry.com/policies/terms-of-service,web-search-final,India,clothing
"""Powered by Shopify"" ""India"" ""clothing"" India store",https://myrtle.net.in/,web-search-final,India,clothing
"""Powered by Shopify"" ""India"" ""clothing"" India store",https://vibzo.in/,web-search-final,India,clothing
"""Powered by Shopify"" ""India"" ""clothing"" India store",https://girley.co.in/,web-search-final,India,clothing
"""Powered by Shopify"" ""India"" ""clothing"" India store",https://tsshirtify.com/,web-search-final,India,clothing
"""Powered by Shopify"" ""India"" ""jewellery"" India store",https://elevejewels.com/,web-search-final,India,jewellery
"""Powered by Shopify"" ""India"" ""jewellery"" India store",https://www.beshine.in/,web-search-final,India,jewellery
"""Powered by Shopify"" ""India"" ""jewellery"" India store",https://hskjewellery.com/,web-search-final,India,jewellery
"""Powered by Shopify"" ""India"" ""jewellery"" India store",https://www.thenyari.com/,web-search-final,India,jewellery
"""Powered by Shopify"" ""India"" ""jewellery"" India store",https://miragejewels.in/,web-search-final,India,jewellery
"""Powered by Shopify"" ""India"" ""jewellery"" India store",https://kritijewel.com/,web-search-final,India,jewellery
"""Powered by Shopify"" ""India"" ""jewellery"" India store",https://oneofe.com/,web-search-final,India,jewellery
"""Powered by Shopify"" ""India"" ""jewellery"" India store",https://ovarajewels.com/,web-search-final,India,jewellery
"""Powered by Shopify"" ""India"" ""beauty"" India store",https://52store.in/,web-search-final,India,beauty
"""Powered by Shopify"" ""India"" ""beauty"" India store",https://29thelabel.com/,web-search-final,India,beauty
"""Powered by Shopify"" ""India"" ""beauty"" India store",https://www.ujooba.in/,web-search-final,India,beauty
"""Powered by Shopify"" ""India"" ""beauty"" India store",https://vellavora.com/,web-search-final,India,beauty
"""Powered by Shopify"" ""India"" ""beauty"" India store",https://purecosmeceuticals.myshopify.com/,web-search-final,India,beauty
"""Powered by Shopify"" ""India"" ""beauty"" India store",https://dunesbeauty.in/collections/all,web-search-final,India,beauty
"""Powered by Shopify"" ""India"" ""beauty"" India store",https://9skin.in/,web-search-final,India,beauty
"""Powered by Shopify"" ""India"" ""beauty"" India store",https://www.allurecosmetics.in/collections/bestsellers,web-search-final,India,beauty
"""Powered by Shopify"" ""India"" ""skincare"" India store",https://skindi.in/,web-search-final,India,skincare
"""Powered by Shopify"" ""India"" ""skincare"" India store",https://www.iridescenceforyou.com/,web-search-final,India,skincare
"""Powered by Shopify"" ""India"" ""skincare"" India store",https://52store.in/,web-search-final,India,skincare
"""Powered by Shopify"" ""India"" ""skincare"" India store",https://divineeraherbal.com/,web-search-final,India,skincare
"""Powered by Shopify"" ""India"" ""skincare"" India store",https://purecosmeceuticals.myshopify.com/,web-search-final,India,skincare
"""Powered by Shopify"" ""India"" ""skincare"" India store",https://innovist.com/collections/sale-products-slash-prices,web-search-final,India,skincare
"""Powered by Shopify"" ""India"" ""skincare"" India store",https://www.osheaherbals.com/collections/all,web-search-final,India,skincare
"""Powered by Shopify"" ""India"" ""skincare"" India store",https://9skin.in/,web-search-final,India,skincare
"""Powered by Shopify"" ""India"" ""home decor"" India store",https://www.encasadecor.co.in/,web-search-final,India,home decor
"""Powered by Shopify"" ""India"" ""home decor"" India store",https://www.lunahomes.in/,web-search-final,India,home decor
"""Powered by Shopify"" ""India"" ""home decor"" India store",https://thetrendyindia.com/,web-search-final,India,home decor
"""Powered by Shopify"" ""India"" ""home decor"" India store",https://glorycandles.com/,web-search-final,India,home decor
"""Powered by Shopify"" ""India"" ""home decor"" India store",https://velloraahomedecor.myshopify.com/,web-search-final,India,home decor
"""Powered by Shopify"" ""India"" ""home decor"" India store",https://homefromindia.myshopify.com/,web-search-final,India,home decor
"""Powered by Shopify"" ""India"" ""home decor"" India store",https://decorworldinterio.in/,web-search-final,India,home decor
"""Powered by Shopify"" ""India"" ""home decor"" India store",https://www.kunjkreations.com.au/,web-search-final,India,home decor
