query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Karnataka"" ""beauty"" India store",https://ponytailsalonspa.com/,web-search-final,Karnataka,beauty
"""Powered by Shopify"" ""Karnataka"" ""beauty"" India store",https://www.french-nova.com/,web-search-final,Karnataka,beauty
"""Powered by Shopify"" ""Karnataka"" ""beauty"" India store",https://genmall.store/policies/legal-notice,web-search-final,Karnataka,beauty
"""Powered by Shopify"" ""Karnataka"" ""beauty"" India store",https://jaiswalopticals.com/products/versace-4275-gb1-87-sunglass,web-search-final,Karnataka,beauty
"""Powered by Shopify"" ""Karnataka"" ""beauty"" India store",https://leshva.com/products/jardin-veil,web-search-final,Karnataka,beauty
"""Powered by Shopify"" ""Karnataka"" ""beauty"" India store",https://promorecosmetics.com/collections/all,web-search-final,Karnataka,beauty
"""Powered by Shopify"" ""Karnataka"" ""beauty"" India store",https://bprmart.in/,web-search-final,Karnataka,beauty
"""/cdn/shop/"" ""Karnataka"" ""skincare"" India store",https://www.thriveco.in/products/goodbye-acne-cleanser-serum-minis-kit,web-search-final,Karnataka,skincare
"""/cdn/shop/"" ""Karnataka"" ""skincare"" India store",https://himalayawellness.in/collections/womens-special-range/products/gentle-exfoliating-apricot-face-wash,web-search-final,Karnataka,skincare
"""/cdn/shop/"" ""Karnataka"" ""skincare"" India store",https://themomstore.in/products/momora-signature-pregnancy-safe-skincare-gift-hamper,web-search-final,Karnataka,skincare
"""/cdn/shop/"" ""Karnataka"" ""skincare"" India store",https://himalaya-wellness-europe.myshopify.com/collections/face-care/products/himalaya-sunprotect-ultra-light-sunscreen-spf-50-pa,web-search-final,Karnataka,skincare
"""/cdn/shop/"" ""Karnataka"" ""skincare"" India store",https://suspire.in/products/bare-necessities-empower-her-gift-hamper-sustainable-skincare-essentials-for-women-handcrafted,web-search-final,Karnataka,skincare
"""/cdn/shop/"" ""Karnataka"" ""home decor"" India store",https://theballoonwala.com/collections/welcome-baby-decoration-in-bangalore,web-search-final,Karnataka,home decor
"""/cdn/shop/"" ""Karnataka"" ""home decor"" India store",https://www.zwende.com/products/hand-stitched-khun-fabric-festive-toran-2,web-search-final,Karnataka,home decor
