query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Kerala"" ""fashion"" India store",https://ihadesigns.myshopify.com/products/rayon-aline-tops-iha-35111,web-search-final,Kerala,fashion
"""Powered by Shopify"" ""Kerala"" ""fashion"" India store",https://keralambygonefashion.shop/collections/kerala-mens-double-dhothi,web-search-final,Kerala,fashion
"""Powered by Shopify"" ""Kerala"" ""fashion"" India store",https://benchara.in/,web-search-final,Kerala,fashion
"""Powered by Shopify"" ""Kerala"" ""fashion"" India store",https://www.econicclothing.com/products/gulshan-slip-dress,web-search-final,Kerala,fashion
"""Powered by Shopify"" ""Kerala"" ""fashion"" India store",https://gemsofsouth.com/products/premium-ad-necklace-with-earring-set-copy-18,web-search-final,Kerala,fashion
"""Powered by Shopify"" ""Kerala"" ""fashion"" India store",https://cocco.in/,web-search-final,Kerala,fashion
"""Powered by Shopify"" ""Kerala"" ""fashion"" India store",https://www.alika.in/pages/pushdaddy-faq-1,web-search-final,Kerala,fashion
"""Powered by Shopify"" ""Kerala"" ""fashion"" India store",https://stylesindia.com/collections/sarees,web-search-final,Kerala,fashion
"""Powered by Shopify"" ""Kerala"" ""clothing"" India store",https://keralambygonefashion.shop/collections/kerala-mens-double-dhothi,web-search-final,Kerala,clothing
"""Powered by Shopify"" ""Kerala"" ""clothing"" India store",https://www.thezenobia.com/,web-search-final,Kerala,clothing
"""Powered by Shopify"" ""Kerala"" ""clothing"" India store",https://www.folksiestore.com/,web-search-final,Kerala,clothing
"""Powered by Shopify"" ""Kerala"" ""clothing"" India store",https://www.uflauntapparels.com/collections/onam-sale-traditional-kerala-sarees-dhotis-kidswear-accessories-decor,web-search-final,Kerala,clothing
"""Powered by Shopify"" ""Kerala"" ""clothing"" India store",https://lobhadeepthis.com/products/dusty-green-bagru-cotton-straight-pants,web-search-final,Kerala,clothing
"""Powered by Shopify"" ""Kerala"" ""clothing"" India store",https://www.econicclothing.com/products/gulshan-slip-dress,web-search-final,Kerala,clothing
"""Powered by Shopify"" ""Kerala"" ""clothing"" India store",https://cocco.in/,web-search-final,Kerala,clothing
"""Powered by Shopify"" ""Kerala"" ""clothing"" India store",https://primiumessentials.com/,web-search-final,Kerala,clothing
"""Powered by Shopify"" ""Kerala"" ""jewellery"" India store",https://preciousjewelpieces.com/collections/gold-plated-jewellery,web-search-final,Kerala,jewellery
"""Powered by Shopify"" ""Kerala"" ""jewellery"" India store",https://everglam.in/collections/frontpage,web-search-final,Kerala,jewellery
"""Powered by Shopify"" ""Kerala"" ""jewellery"" India store",https://www.sasitrends.com/products/kerala-palakka-round-motif-necklace-guaranteed-one-gram-micro-gold-plated-sasitrends-2428,web-search-final,Kerala,jewellery
"""Powered by Shopify"" ""Kerala"" ""jewellery"" India store",https://ethniichic.com/product/hand-painted-ear-rings-ganesha/?add-to-cart=2296,web-search-final,Kerala,jewellery
"""Powered by Shopify"" ""Kerala"" ""jewellery"" India store",https://gemsofsouth.com/products/premium-ad-necklace-with-earring-set-copy-18,web-search-final,Kerala,jewellery
