query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Maharashtra"" ""beauty"" India store",https://zyvanea.com/,web-search-final,Maharashtra,beauty
"""Powered by Shopify"" ""Maharashtra"" ""beauty"" India store",https://flickacosmetics.com/,web-search-final,Maharashtra,beauty
"""Powered by Shopify"" ""Maharashtra"" ""beauty"" India store",https://www.rusticart.in/en-us,web-search-final,Maharashtra,beauty
"""Powered by Shopify"" ""Maharashtra"" ""beauty"" India store",https://shop.kult.app/collections,web-search-final,Maharashtra,beauty
"""Powered by Shopify"" ""Maharashtra"" ""beauty"" India store",https://osmbeautyland.com/products/radiance-glow-oil,web-search-final,Maharashtra,beauty
"""Powered by Shopify"" ""Maharashtra"" ""beauty"" India store",https://daysforclothing.com/products/dark-dirt-got?variant=48100717494437,web-search-final,Maharashtra,beauty
"""Powered by Shopify"" ""Maharashtra"" ""beauty"" India store",https://www.shingarsilky.com/collections/all/liquid-kumkum,web-search-final,Maharashtra,beauty
"""Powered by Shopify"" ""Maharashtra"" ""beauty"" India store",https://www.bonheurhome.co.in/,web-search-final,Maharashtra,beauty
"""/cdn/shop/"" ""Maharashtra"" ""skincare"" India store",https://h9cfn0-cy.myshopify.com/collections/shop,web-search-final,Maharashtra,skincare
"""/cdn/shop/"" ""Maharashtra"" ""skincare"" India store",https://theskinstore.in/products/aveeno-calm-restore-nourishing-oat-cleanser-for-sensitive-skin-200ml,web-search-final,Maharashtra,skincare
"""/cdn/shop/"" ""Maharashtra"" ""skincare"" India store",https://www.drsheths.com/collections/winter-essentials-products/products/ceramide-vitamin-c-moisturizing-cream-50g,web-search-final,Maharashtra,skincare
"""/cdn/shop/"" ""Maharashtra"" ""skincare"" India store",https://mycarmesi.com/products/carmesi-natural-deodorant-roll-on,web-search-final,Maharashtra,skincare
"""/cdn/shop/"" ""Maharashtra"" ""skincare"" India store",https://www.gharsoaps.shop/products/magic-soap-magic-cream-combo,web-search-final,Maharashtra,skincare
"""/cdn/shop/"" ""Maharashtra"" ""home decor"" India store",https://soulworks.co/products/nude-mandala-dreamcatcher,web-search-final,Maharashtra,home decor
"""/cdn/shop/"" ""Maharashtra"" ""home decor"" India store",https://theplatedproject.com/products/the-garden-circular-frameable-puzzle-250-pieces,web-search-final,Maharashtra,home decor
"""/cdn/shop/"" ""Maharashtra"" ""home decor"" India store",https://www.ugaoo.com/products/pahaadi-cotton-planter,web-search-final,Maharashtra,home decor
"""/cdn/shop/"" ""Maharashtra"" ""home decor"" India store",https://artiksha.com/products/urban-grid-modern-abstract-metal-wall-sculpture,web-search-final,Maharashtra,home decor
"""/cdn/shop/"" ""Maharashtra"" ""home decor"" India store",https://itokri.com/products/2022-618-1-81-copper-hand-hammered-enamel-work-plate-wall-frame,web-search-final,Maharashtra,home decor
"""shopify-section"" ""Maharashtra"" ""furniture"" India store",https://www.scribd.com/document/999682921/D2C-Report-2024-S,web-search-final,Maharashtra,furniture
"""shopify-section"" ""Maharashtra"" ""furniture"" India store",https://www.justdial.com/Pandharpur/E-Commerce-Website-Designers/nct-10974093,web-search-final,Maharashtra,furniture
"""shopify-section"" ""Maharashtra"" ""furniture"" India store",https://multiples.vc/public-comps/brainbees-solutions-valuation-multiples,web-search-final,Maharashtra,furniture
"""shopify-section"" ""Maharashtra"" ""furniture"" India store",https://manuals.plus/m/89fd555263c6a3d5edd1c1349b25616db0825548114511616f1942c0dfd043a8,web-search-final,Maharashtra,furniture
"""shopify-section"" ""Maharashtra"" ""furniture"" India store",https://www.researchgate.net/publication/378300641_Consumer_Behaviour,web-search-final,Maharashtra,furniture
"""shopify-section"" ""Maharashtra"" ""furniture"" India store",https://www.saashub.com/startups/india,web-search-final,Maharashtra,furniture
"""cdn.shopify.com"" ""Maharashtra"" ""accessories"" India store",https://hypestat.com/info/petoly.in,web-search-final,Maharashtra,accessories
"""cdn.shopify.com"" ""Maharashtra"" ""accessories"" India store",https://eveninsight.com/safety-checker/website/elitehubs.com,web-search-final,Maharashtra,accessories
"""cdn.shopify.com"" ""Maharashtra"" ""accessories"" India store",https://device.report/cosmic-byte/cb-gk-20,web-search-final,Maharashtra,accessories
"""cdn.shopify.com"" ""Maharashtra"" ""accessories"" India store",https://gridinsoft.com/online-virus-scanner/url/imarkplace-com,web-search-final,Maharashtra,accessories
"""cdn.shopify.com"" ""Maharashtra"" ""accessories"" India store",https://peachmode.com/products/mustard-yellow-embroidered-organza-dress-material-143571,web-search-final,Maharashtra,accessories
"""cdn.shopify.com"" ""Maharashtra"" ""accessories"" India store",https://www.foretstore.com/collections/earrings-for-her/products/iced-mountain-earrings,web-search-final,Maharashtra,accessories
"""cdn.shopify.com"" ""Maharashtra"" ""accessories"" India store",https://myborosil.com/products/larah-pansy-mug-set,web-search-final,Maharashtra,accessories
"""Powered by Shopify"" ""Mumbai"" ""furniture"" India store",https://huguh.shop/products/noto-armchair,web-search-final,Mumbai,furniture
"""Powered by Shopify"" ""Mumbai"" ""furniture"" India store",https://www.furniturewalla.com/products/abrazo-sectional-sofa-cum-bed,web-search-final,Mumbai,furniture
"""Powered by Shopify"" ""Mumbai"" ""furniture"" India store",https://allthingsbaby.com/collections/lila,web-search-final,Mumbai,furniture
"""Powered by Shopify"" ""Mumbai"" ""furniture"" India store",https://chukchukvilla.com/,web-search-final,Mumbai,furniture
"""Powered by Shopify"" ""Mumbai"" ""furniture"" India store",https://www.cozikat.in/,web-search-final,Mumbai,furniture
"""Powered by Shopify"" ""Mumbai"" ""furniture"" India store",https://www.metallikafurniture.com/products/london-metal-king-bed-black,web-search-final,Mumbai,furniture
"""Powered by Shopify"" ""Mumbai"" ""furniture"" India store",https://assets-global.website-files.com/681ce10780db2c3085f43e19/685c6c91d59e04e22526481c_jotuzivugijejujim.pdf,web-search-final,Mumbai,furniture
"""Powered by Shopify"" ""Mumbai"" ""footwear"" India store",https://whitesolecompany.com/,web-search-final,Mumbai,footwear
"""Powered by Shopify"" ""Mumbai"" ""footwear"" India store",https://sko-store.com/products/pisa-in-tan-for-women,web-search-final,Mumbai,footwear
"""Powered by Shopify"" ""Mumbai"" ""footwear"" India store",https://sandbyshirin.com/collections/postcards-footwear,web-search-final,Mumbai,footwear
