query,result_url,source,location,category_hint
"""Powered by Shopify"" ""West Bengal"" ""wellness"" registered office India store",https://teameteas.com/collections/wellness-teas,web-search-final,West Bengal,wellness
"""Powered by Shopify"" ""West Bengal"" ""wellness"" registered office India store",https://www.baidyanath.com/collections/quiz-test,web-search-final,West Bengal,wellness
"""Powered by Shopify"" ""West Bengal"" ""wellness"" registered office India store",https://bhoome.in/,web-search-final,West Bengal,wellness
"""Powered by Shopify"" ""West Bengal"" ""wellness"" registered office India store",https://www.urjainc.co.in/products/raw-pyrite-anklet-wealth-opportunity,web-search-final,West Bengal,wellness
"""Powered by Shopify"" ""West Bengal"" ""wellness"" registered office India store",https://www.octavius.in/products/premium-ctc-black-tea-1kg-pack-of-2,web-search-final,West Bengal,wellness
"""Powered by Shopify"" ""West Bengal"" ""wellness"" registered office India store",https://www.nexointim.com/de/policies/legal-notice,web-search-final,West Bengal,wellness
"""Powered by Shopify"" ""West Bengal"" ""electronics"" contact information India merchant",https://www.khoslaonline.com/collections/headphone,web-search-final,West Bengal,electronics
"""Powered by Shopify"" ""West Bengal"" ""electronics"" contact information India merchant",https://sastadeals.shop/,web-search-final,West Bengal,electronics
"""Powered by Shopify"" ""West Bengal"" ""electronics"" contact information India merchant",https://thegadgethome.in/products/trimini,web-search-final,West Bengal,electronics
"""Powered by Shopify"" ""West Bengal"" ""electronics"" contact information India merchant",https://partpulse.in/,web-search-final,West Bengal,electronics
"""Powered by Shopify"" ""Kolkata"" ""stationery"" registered office India store",https://artfitoor.com/pages/about-us,web-search-final,Kolkata,stationery
"""Powered by Shopify"" ""Kolkata"" ""stationery"" registered office India store",https://gifthubmart.com/products/faber-castell-dust-free-eraser,web-search-final,Kolkata,stationery
"""Powered by Shopify"" ""Kolkata"" ""stationery"" registered office India store",https://whimsyandyou.com/collections/all,web-search-final,Kolkata,stationery
"""Powered by Shopify"" ""Kolkata"" ""stationery"" registered office India store",https://www.wildhorn.in/collections/all?page=28,web-search-final,Kolkata,stationery
"""Powered by Shopify"" ""Kolkata"" ""stationery"" registered office India store",https://sparklebydj.com/collections/bridal-shower-gifts,web-search-final,Kolkata,stationery
"""Powered by Shopify"" ""Kolkata"" ""stationery"" registered office India store",https://www.naivri.in/products/smartivity-infinity-calendar-organizer,web-search-final,Kolkata,stationery
"""Powered by Shopify"" ""Kolkata"" ""stationery"" registered office India store",https://dtc.im/,web-search-final,Kolkata,stationery
"""Powered by Shopify"" ""Kolkata"" ""stationery"" registered office India store",https://www.livinstyles.com/collections/study-tables,web-search-final,Kolkata,stationery
"""Powered by Shopify"" ""Kolkata"" ""pet supplies"" contact information India merchant",https://dokumen.pub/e-commerce-concepts-models-strategies-2nd-2022.html,web-search-final,Kolkata,pet supplies
"""Powered by Shopify"" ""Kolkata"" ""pet supplies"" contact information India merchant",https://ro.scribd.com/document/674989545/FORWARDER-Directory-ISSUU,web-search-final,Kolkata,pet supplies
