query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Delhi NCR"" ""stationery"" registered office India store",https://jaimantoys.com/products/marvel-avengers-kids-multifunction-pencil-box-with-calculator-dual-sharpener-large-capacity-plastic-pencil-case-with-secret-compartments-school-stationery-organizer-for-boys-blue,web-search-final,Delhi NCR,stationery
"""Powered by Shopify"" ""Delhi NCR"" ""stationery"" registered office India store",https://www.naivri.in/products/smartivity-infinity-calendar-organizer,web-search-final,Delhi NCR,stationery
"""Powered by Shopify"" ""Delhi NCR"" ""stationery"" registered office India store",https://www.riyadesignshop.com/products/sunflower-magnetic-bookmark,web-search-final,Delhi NCR,stationery
"""Powered by Shopify"" ""Delhi NCR"" ""stationery"" registered office India store",https://www.scribd.com/document/1031463838/Post-Bharat-Connect-Conference-Notes-March-2026,web-search-final,Delhi NCR,stationery
"""Powered by Shopify"" ""Delhi NCR"" ""pet supplies"" contact information India merchant",https://www.sitelike.org/similar/ptenow.com.au/,web-search-final,Delhi NCR,pet supplies
"""Powered by Shopify"" ""Gurugram"" ""gifts"" registered office India store",https://nurturinggreen.in/collections/home_gifting,web-search-final,Gurugram,gifts
"""Powered by Shopify"" ""Gurugram"" ""gifts"" registered office India store",https://goodluckfortunecookies.com/,web-search-final,Gurugram,gifts
"""Powered by Shopify"" ""Gurugram"" ""gifts"" registered office India store",https://www.thebabytrunk.com/products/little-leo-circular-box,web-search-final,Gurugram,gifts
"""Powered by Shopify"" ""Gurugram"" ""gifts"" registered office India store",https://casagold.in/collections/gift-shop,web-search-final,Gurugram,gifts
"""Powered by Shopify"" ""Gurugram"" ""artisanal"" contact information India merchant",https://casagold.in/products/model15,web-search-final,Gurugram,artisanal
"""Powered by Shopify"" ""Gurugram"" ""artisanal"" contact information India merchant",https://fireduppottery.in/products/brush-bloom-sip-set,web-search-final,Gurugram,artisanal
"""Powered by Shopify"" ""Gurugram"" ""artisanal"" contact information India merchant",https://silvonajewel.com/collections/frontpage,web-search-final,Gurugram,artisanal
"""Powered by Shopify"" ""Gurugram"" ""artisanal"" contact information India merchant",https://kanjhomedecor.com/collections/all,web-search-final,Gurugram,artisanal
"""Powered by Shopify"" ""Gurugram"" ""artisanal"" contact information India merchant",https://akiso.store/products/yellow-floral-hand-block-print-sleeveless-straight-kurta-mirror-embroidery-details-with-straight-pants-set-of-2,web-search-final,Gurugram,artisanal
"""Powered by Shopify"" ""Gurugram"" ""artisanal"" contact information India merchant",https://www.pashma.com/products/nimbus-grey-knitted-cashmere-scarf,web-search-final,Gurugram,artisanal
"""Powered by Shopify"" ""Gurugram"" ""artisanal"" contact information India merchant",https://www.belgstrew.com/products/the-pink-lily-dewdrop-pearl-cake-100-eggless-lily-series,web-search-final,Gurugram,artisanal
"""Powered by Shopify"" ""Noida"" ""saree"" registered office India store",https://officeandyou.in/products/o-y-print-saree,web-search-final,Noida,saree
"""Powered by Shopify"" ""Noida"" ""saree"" registered office India store",https://banaavat.in/collections/saanjh-collection,web-search-final,Noida,saree
"""Powered by Shopify"" ""Noida"" ""ayurveda"" contact information India merchant",https://raywellness.in/collections/all,web-search-final,Noida,ayurveda
"""Powered by Shopify"" ""Noida"" ""ayurveda"" contact information India merchant",https://gudhealthy.com/collections/daily-wellness/products/zenius-neem-giloy-tulsi-drops,web-search-final,Noida,ayurveda
"""Powered by Shopify"" ""Noida"" ""ayurveda"" contact information India merchant",https://happymillions.in/products/arjuna-and-shatavari-combo-pack-of-2-30-30-tablets,web-search-final,Noida,ayurveda
"""Powered by Shopify"" ""Noida"" ""ayurveda"" contact information India merchant",https://rishiremedies.com/pages/about-us,web-search-final,Noida,ayurveda
"""Powered by Shopify"" ""Noida"" ""ayurveda"" contact information India merchant",https://ayushayurvedaa.com/pages/privacy-policy,web-search-final,Noida,ayurveda
"""Powered by Shopify"" ""Rajasthan"" ""gifts"" registered office India store",https://suryavanshi.net/,web-search-final,Rajasthan,gifts
"""Powered by Shopify"" ""Rajasthan"" ""gifts"" registered office India store",https://www.xiaobear.com/collections/miffy,web-search-final,Rajasthan,gifts
"""Powered by Shopify"" ""Rajasthan"" ""gifts"" registered office India store",https://heatxindia.store/,web-search-final,Rajasthan,gifts
"""Powered by Shopify"" ""Rajasthan"" ""gifts"" registered office India store",https://theknotcompany.in/products/best-bhai-and-bhabhi-rakhi-set,web-search-final,Rajasthan,gifts
"""Powered by Shopify"" ""Rajasthan"" ""gifts"" registered office India store",https://giftsbymahima.com/collections/customized-jewellery,web-search-final,Rajasthan,gifts
"""Powered by Shopify"" ""Rajasthan"" ""gifts"" registered office India store",https://hooray.co.in/collections/all-products,web-search-final,Rajasthan,gifts
"""Powered by Shopify"" ""Rajasthan"" ""gifts"" registered office India store",https://corporategiftsbyconfetti.in/collections/gadget-gifts,web-search-final,Rajasthan,gifts
"""Powered by Shopify"" ""Rajasthan"" ""gifts"" registered office India store",https://baizaarjewelry.com/products/brass-lotus-sri-yantra-pendant-bp008,web-search-final,Rajasthan,gifts
"""Powered by Shopify"" ""Rajasthan"" ""artisanal"" contact information India merchant",https://resshaa.in/products/sunlit-bloom-leaf-premium-cotton-suit,web-search-final,Rajasthan,artisanal
"""Powered by Shopify"" ""Rajasthan"" ""artisanal"" contact information India merchant",https://www.thetanclan.in/products/shwet,web-search-final,Rajasthan,artisanal
"""Powered by Shopify"" ""Rajasthan"" ""artisanal"" contact information India merchant",https://www.indianhub.com/products/emerald-cane-back-2-seater-high-back-settee,web-search-final,Rajasthan,artisanal
"""Powered by Shopify"" ""Rajasthan"" ""artisanal"" contact information India merchant",https://www.boneinlayfurnitures.com/products/carved-ezana-bajot-coffee-table,web-search-final,Rajasthan,artisanal
"""Powered by Shopify"" ""Rajasthan"" ""artisanal"" contact information India merchant",https://oceanhomestore.com/collections/baby-bedding-set,web-search-final,Rajasthan,artisanal
"""Powered by Shopify"" ""Rajasthan"" ""artisanal"" contact information India merchant",https://dpotli.com/en-us,web-search-final,Rajasthan,artisanal
"""Powered by Shopify"" ""Rajasthan"" ""artisanal"" contact information India merchant",https://poojaranawat.com/products/noor-e-siyah,web-search-final,Rajasthan,artisanal
"""Powered by Shopify"" ""Jaipur"" ""saree"" registered office India store",https://judki.com/,web-search-final,Jaipur,saree
"""Powered by Shopify"" ""Jaipur"" ""saree"" registered office India store",https://indianblocksprint.com/collections/latest-sarees,web-search-final,Jaipur,saree
"""Powered by Shopify"" ""Jaipur"" ""saree"" registered office India store",https://jaipursaaj.com/products/lavender-color-linen-cotton-saree-with-flower-digital-printed-work,web-search-final,Jaipur,saree
"""Powered by Shopify"" ""Jaipur"" ""saree"" registered office India store",https://www.thehomeaffairjaipur.in/collections/best-sellers,web-search-final,Jaipur,saree
"""Powered by Shopify"" ""Jaipur"" ""saree"" registered office India store",https://www.k-anshika.com/collections/iroshi,web-search-final,Jaipur,saree
"""Powered by Shopify"" ""Jaipur"" ""saree"" registered office India store",https://chapaihandlooms.com/collections/chanderi-silk-fabric,web-search-final,Jaipur,saree
"""Powered by Shopify"" ""Jaipur"" ""saree"" registered office India store",https://www.dakshinamsarees.in/collections/kanjivaram-silk-sarees-shop-in-jaipur,web-search-final,Jaipur,saree
"""Powered by Shopify"" ""Jaipur"" ""saree"" registered office India store",https://poojaranawat.com/products/sapphire-jewel-saree,web-search-final,Jaipur,saree
"""Powered by Shopify"" ""Jaipur"" ""ayurveda"" contact information India merchant",https://bebroot.com/,web-search-final,Jaipur,ayurveda
