query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Karnataka"" ""sportswear"" registered office India store",https://gossipstore.in/products/long-lasting-bra-printed-panty-set-mabel-everyday-comfort-lingerie-for-women,web-search-final,Karnataka,sportswear
"""Powered by Shopify"" ""Karnataka"" ""sportswear"" registered office India store",https://triplepointsports.com/collections/all?page=8,web-search-final,Karnataka,sportswear
"""Powered by Shopify"" ""Karnataka"" ""sportswear"" registered office India store",https://fliphtml5.com/ztlrk/weqg/Inside_Fashion_Vol._25_No._3/,web-search-final,Karnataka,sportswear
"""Powered by Shopify"" ""Karnataka"" ""sportswear"" registered office India store",https://www.scribd.com/document/914340193/Comprehensive-Textile-Business,web-search-final,Karnataka,sportswear
"""Powered by Shopify"" ""Karnataka"" ""sportswear"" registered office India store",https://de.scribd.com/document/792672301/A-List-of-Chief-Financial-Officer-s-in-India,web-search-final,Karnataka,sportswear
"""Powered by Shopify"" ""Karnataka"" ""handicrafts"" contact information India merchant",https://spiticart.com/products/channapatna-toy-wooden-carved-brown-elephant,web-search-final,Karnataka,handicrafts
"""Powered by Shopify"" ""Karnataka"" ""handicrafts"" contact information India merchant",https://ethniichic.com/collections/home-decor-in-bengaluru,web-search-final,Karnataka,handicrafts
"""Powered by Shopify"" ""Karnataka"" ""handicrafts"" contact information India merchant",https://www.spiceandcraft.com/collections/frontpage,web-search-final,Karnataka,handicrafts
"""Powered by Shopify"" ""Karnataka"" ""handicrafts"" contact information India merchant",https://www.jangirdecor.in/products/rose-gold-bottle-flower-vase-s,web-search-final,Karnataka,handicrafts
"""Powered by Shopify"" ""Karnataka"" ""handicrafts"" contact information India merchant",https://www.fromtheorigin.in/,web-search-final,Karnataka,handicrafts
"""Powered by Shopify"" ""Bengaluru"" ""wellness"" registered office India store",https://ponytailsalonspa.com/,web-search-final,Bengaluru,wellness
"""Powered by Shopify"" ""Bengaluru"" ""wellness"" registered office India store",https://www.ayusadhya.in/products/shallaki-tablets-60tabs-himalaya,web-search-final,Bengaluru,wellness
"""Powered by Shopify"" ""Bengaluru"" ""wellness"" registered office India store",https://store.healthifyme.com/collections/all-healthifyme-first-party-products,web-search-final,Bengaluru,wellness
"""Powered by Shopify"" ""Bengaluru"" ""wellness"" registered office India store",https://zuame.in/products/zuame-precious-botanicals-foot-restoration-elixir,web-search-final,Bengaluru,wellness
"""Powered by Shopify"" ""Bengaluru"" ""wellness"" registered office India store",https://www.drkirpajohar.in/,web-search-final,Bengaluru,wellness
"""Powered by Shopify"" ""Bengaluru"" ""electronics"" contact information India merchant",https://www.tntecomp.com/products/220v-60w-908-esd-safe-automatic-temperature-adjustable-soldering-iron,web-search-final,Bengaluru,electronics
"""Powered by Shopify"" ""Bengaluru"" ""electronics"" contact information India merchant",https://shrilooms.com/apps/simply-otp-login/terms-and-conditions,web-search-final,Bengaluru,electronics
"""Powered by Shopify"" ""Bengaluru"" ""electronics"" contact information India merchant",https://www.smartgoat.shop/,web-search-final,Bengaluru,electronics
"""Powered by Shopify"" ""Bengaluru"" ""electronics"" contact information India merchant",https://www.theengineerstore.in/products/usb-a-type-to-micro-usb-b-type-1m-cable,web-search-final,Bengaluru,electronics
"""Powered by Shopify"" ""Bengaluru"" ""electronics"" contact information India merchant",https://nammamartonline.com/,web-search-final,Bengaluru,electronics
"""Powered by Shopify"" ""Tamil Nadu"" ""sportswear"" registered office India store",https://fliphtml5.com/djond/xxfu/,web-search-final,Tamil Nadu,sportswear
