query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Indore"" ""fashion"" India store",https://panchakanya.co.in/products/elegant-maheshwari-silk-kurta-pant-set-for-women-handloom-embroidered-festive-wear-by-panchakanya,web-search-final,Indore,fashion
"""Powered by Shopify"" ""Indore"" ""fashion"" India store",https://orcrate.com/,web-search-final,Indore,fashion
"""Powered by Shopify"" ""Indore"" ""fashion"" India store",https://www.juicycouture.in/products/siena-zip-around-wallet-pink,web-search-final,Indore,fashion
"""Powered by Shopify"" ""Indore"" ""fashion"" India store",https://momentbombay.com/,web-search-final,Indore,fashion
"""Powered by Shopify"" ""Indore"" ""fashion"" India store",https://www.adviblouses.com/products/titli-gold-cream-floral-zari-jacquard-retro-bell-sleeve-stretchable-saree-blouse,web-search-final,Indore,fashion
"""Powered by Shopify"" ""Indore"" ""fashion"" India store",https://uraib.in/,web-search-final,Indore,fashion
"""Powered by Shopify"" ""Indore"" ""fashion"" India store",https://www.shoppingworldyt.com/collections/indian-wedding-lehenga-in-indore-india-buy-bridal-wear-online,web-search-final,Indore,fashion
"""Powered by Shopify"" ""Indore"" ""fashion"" India store",https://amohafashion.in/policies/privacy-policy,web-search-final,Indore,fashion
"""Powered by Shopify"" ""Indore"" ""clothing"" India store",https://mrblendin.com/,web-search-final,Indore,clothing
"""Powered by Shopify"" ""Indore"" ""clothing"" India store",https://strongsoul.in/products/ronaldo-cr7-black-oversized-hoodie-400-gsm-copy,web-search-final,Indore,clothing
"""Powered by Shopify"" ""Indore"" ""clothing"" India store",https://www.fairiesforever.in/products/cotton-strip-with-full-sleeve-night-dress-blue,web-search-final,Indore,clothing
"""Powered by Shopify"" ""Indore"" ""clothing"" India store",https://panchakanya.co.in/products/embroidered-maheshwari-silk-kurta-pant-set-for-women-festive-handloom-wear-by-panchakanya,web-search-final,Indore,clothing
"""Powered by Shopify"" ""Indore"" ""clothing"" India store",https://swabhav.com.co/,web-search-final,Indore,clothing
"""Powered by Shopify"" ""Indore"" ""clothing"" India store",https://www.shoppingworldyt.com/collections/indian-wedding-lehenga-in-indore-india-buy-bridal-wear-online,web-search-final,Indore,clothing
"""Powered by Shopify"" ""Indore"" ""clothing"" India store",https://marqly.in/products/sweat-belt-hot-body-shaper-belly-fat-burner-for-men-women,web-search-final,Indore,clothing
"""Powered by Shopify"" ""Indore"" ""clothing"" India store",https://avantikaclothing.com/,web-search-final,Indore,clothing
"""Powered by Shopify"" ""Indore"" ""jewellery"" India store",https://www.jewelrywale.com/products/micro-gold-plated-ad-diamond-studded-fancy-designer-adjustable-bracelet,web-search-final,Indore,jewellery
"""Powered by Shopify"" ""Indore"" ""jewellery"" India store",https://www.erayajewellery.co/collections/925-sterling-silver-solitaire-rings,web-search-final,Indore,jewellery
"""Powered by Shopify"" ""Indore"" ""jewellery"" India store",https://www.officialkalyanijeweller.com/products/p-21,web-search-final,Indore,jewellery
"""Powered by Shopify"" ""Indore"" ""jewellery"" India store",https://ataljaindesigns.net/collections/all,web-search-final,Indore,jewellery
"""Powered by Shopify"" ""Indore"" ""jewellery"" India store",https://noorsilverjewellery.com/products/gold-plated-silver-statement-rawa-bangle,web-search-final,Indore,jewellery
"""Powered by Shopify"" ""Indore"" ""jewellery"" India store",https://starlingdiamonds.com/,web-search-final,Indore,jewellery
"""Powered by Shopify"" ""Indore"" ""jewellery"" India store",https://miragejewels.in/products/gift-cards,web-search-final,Indore,jewellery
"""Powered by Shopify"" ""Indore"" ""jewellery"" India store",https://zaverix.in/products/silver-flexible-bracelet-cum-ring,web-search-final,Indore,jewellery
"""Powered by Shopify"" ""Indore"" ""beauty"" India store",https://goxfused.com/apps/box-builder/build-your-box-3,web-search-final,Indore,beauty
"""Powered by Shopify"" ""Indore"" ""beauty"" India store",https://mophy.co.in/,web-search-final,Indore,beauty
"""Powered by Shopify"" ""Indore"" ""beauty"" India store",https://www.thehimalayanorganics.in/collections/new-launches-1,web-search-final,Indore,beauty
"""Powered by Shopify"" ""Indore"" ""beauty"" India store",https://healthvedaorganics.com/products/biotin-tablets-for-healthy-hair-skin-nails-growth,web-search-final,Indore,beauty
"""Powered by Shopify"" ""Indore"" ""beauty"" India store",https://thefitsquad.in/collections/optimum-nutrition,web-search-final,Indore,beauty
"""Powered by Shopify"" ""Indore"" ""beauty"" India store",https://www.silkroutes.co.in/products/foxtale-exfoliating-facial-toner,web-search-final,Indore,beauty
"""Powered by Shopify"" ""Indore"" ""skincare"" India store",https://goxfused.com/apps/box-builder/build-your-box-3,web-search-final,Indore,skincare
"""Powered by Shopify"" ""Indore"" ""skincare"" India store",https://samari.in/products/samari-ubtan-glow-de-tan-mask,web-search-final,Indore,skincare
"""Powered by Shopify"" ""Indore"" ""skincare"" India store",https://www.silkroutes.co.in/collections/lakme,web-search-final,Indore,skincare
"""Powered by Shopify"" ""Indore"" ""skincare"" India store",https://healthvedaorganics.com/products/dht-blocker-capsules-supports-urinary-tract-hair-health-60-veg-capsules,web-search-final,Indore,skincare
"""Powered by Shopify"" ""Indore"" ""skincare"" India store",https://www.iriefoods.in/collections/flower-teas,web-search-final,Indore,skincare
"""Powered by Shopify"" ""Indore"" ""skincare"" India store",https://www.clickoncare.com/ko/collections/abbott?limit=15&page=2,web-search-final,Indore,skincare
"""Powered by Shopify"" ""Indore"" ""skincare"" India store",https://glanceia.com/blog/best-ai-chatbots-for-d2c-brands-in-india-2026,web-search-final,Indore,skincare
"""Powered by Shopify"" ""Indore"" ""home decor"" India store",https://rayacreation.com/,web-search-final,Indore,home decor
"""Powered by Shopify"" ""Indore"" ""home decor"" India store",https://ikiru.in/collections/indian?page=33,web-search-final,Indore,home decor
"""Powered by Shopify"" ""Indore"" ""home decor"" India store",https://mayrahomes.co.in/collections/vintage-mirrors,web-search-final,Indore,home decor
"""Powered by Shopify"" ""Indore"" ""home decor"" India store",https://www.cielcasa.com/products/eclipse-vortex,web-search-final,Indore,home decor
"""Powered by Shopify"" ""Indore"" ""home decor"" India store",https://home360stores.com/,web-search-final,Indore,home decor
"""Powered by Shopify"" ""Indore"" ""home decor"" India store",https://kiddycave.in/collections/stationary,web-search-final,Indore,home decor
"""Powered by Shopify"" ""Bhubaneswar"" ""beauty"" India store",https://www.officialkalyanijeweller.com/products/designer-gold-plated-rangoli-flower-pendent-set-with-beautyfull-ring-rangoli-p-chain-new-ring,web-search-final,Bhubaneswar,beauty
"""Powered by Shopify"" ""Bhubaneswar"" ""beauty"" India store",https://www.atulyakarigari.com/blogs/news/india-s-ancient-crafts-that-still-rule-modern-fashion,web-search-final,Bhubaneswar,beauty
"""Powered by Shopify"" ""Bhubaneswar"" ""beauty"" India store",https://everydaydiamonds.in/collections/lab-grown-diamonds-bhubaneswar-odisha,web-search-final,Bhubaneswar,beauty
"""Powered by Shopify"" ""Bhubaneswar"" ""beauty"" India store",https://www.bidyutfashion.com/collections/odisha-handloom-saree-collection,web-search-final,Bhubaneswar,beauty
"""Powered by Shopify"" ""Bhubaneswar"" ""beauty"" India store",https://www.clickoncare.com/de/collections/lukewarm?page=2,web-search-final,Bhubaneswar,beauty
"""Powered by Shopify"" ""Bhubaneswar"" ""beauty"" India store",https://www.scribd.com/document/541830575/India-D2C-Yearbook-2021,web-search-final,Bhubaneswar,beauty
"""Powered by Shopify"" ""Bhubaneswar"" ""beauty"" India store",https://www.adgully.com/date/27-11-2025,web-search-final,Bhubaneswar,beauty
"""/cdn/shop/"" ""Bhubaneswar"" ""skincare"" India store",https://jivada.in/shop,web-search-final,Bhubaneswar,skincare
"""/cdn/shop/"" ""Bhubaneswar"" ""skincare"" India store",https://www.varanya.in/products/varanya-body-coverage-perfector,web-search-final,Bhubaneswar,skincare
"""/cdn/shop/"" ""Bhubaneswar"" ""skincare"" India store",https://cite.solutions/state-of-ai-india/skincare/reports/2026-05-31,web-search-final,Bhubaneswar,skincare
"""/cdn/shop/"" ""Bhubaneswar"" ""home decor"" India store",https://www.scribd.com/document/666111634/Annual-Report-Eng-09-01-2022-compressed,web-search-final,Bhubaneswar,home decor
"""/cdn/shop/"" ""Bhubaneswar"" ""home decor"" India store",https://abtdomain.com/expired-domains/deletion/2026-08/com-on-2026-08-13-part-2/,web-search-final,Bhubaneswar,home decor
