query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Rajasthan"" ""furniture"" India store",https://www.woodfit.in/,web-search-final,Rajasthan,furniture
"""Powered by Shopify"" ""Rajasthan"" ""furniture"" India store",https://amdarts.in/collections/tv-unit,web-search-final,Rajasthan,furniture
"""Powered by Shopify"" ""Rajasthan"" ""furniture"" India store",https://www.craftnestindia.com/,web-search-final,Rajasthan,furniture
"""Powered by Shopify"" ""Rajasthan"" ""furniture"" India store",https://www.indianhub.com/products/industrial_range_nest_of_2_tables,web-search-final,Rajasthan,furniture
"""Powered by Shopify"" ""Rajasthan"" ""furniture"" India store",https://demiwall.com/,web-search-final,Rajasthan,furniture
"""Powered by Shopify"" ""Rajasthan"" ""furniture"" India store",https://houseofaccents.in/products/dhanin-chest-of-drawers,web-search-final,Rajasthan,furniture
"""Powered by Shopify"" ""Rajasthan"" ""furniture"" India store",https://www.globallyindian.com/en-us,web-search-final,Rajasthan,furniture
"""Powered by Shopify"" ""Rajasthan"" ""furniture"" India store",https://fromshekhawati.com/products/lata-3-seater-sheesham-wood-sofa,web-search-final,Rajasthan,furniture
"""Powered by Shopify"" ""Rajasthan"" ""footwear"" India store",https://www.ravis.in/collections/all-products,web-search-final,Rajasthan,footwear
"""Powered by Shopify"" ""Rajasthan"" ""footwear"" India store",https://shoebank.in/collections/shop-now,web-search-final,Rajasthan,footwear
"""Powered by Shopify"" ""Rajasthan"" ""footwear"" India store",https://happy-cart.co.in/products/suede-shoes,web-search-final,Rajasthan,footwear
"""Powered by Shopify"" ""Rajasthan"" ""accessories"" India store",https://thepalaceatelier.com/collections/hair-accessories,web-search-final,Rajasthan,accessories
"""Powered by Shopify"" ""Rajasthan"" ""accessories"" India store",https://ravaah.in/collections/men,web-search-final,Rajasthan,accessories
"""Powered by Shopify"" ""Rajasthan"" ""accessories"" India store",https://nehamta.com/products/womens-teal-blue-german-rayon-kurta-and-palazzo-set-nmk2820,web-search-final,Rajasthan,accessories
"""Powered by Shopify"" ""Rajasthan"" ""accessories"" India store",https://lamansh.in/products/lamansh%E2%84%A2-pack-of-5-pairfloral-bangles-set-for-engagement-haldi-floral-accessories-set,web-search-final,Rajasthan,accessories
"""Powered by Shopify"" ""Rajasthan"" ""accessories"" India store",https://ajahlife.com/,web-search-final,Rajasthan,accessories
"""Powered by Shopify"" ""Rajasthan"" ""accessories"" India store",https://urbanbed.in/collections/multiple_product,web-search-final,Rajasthan,accessories
"""Powered by Shopify"" ""Rajasthan"" ""accessories"" India store",https://5.imimg.com/data5/SELLER/Doc/2025/4/505158758/CK/SG/GB/10853638/morecare-active-xt-height-adjustable-standing-frame-cum-walker-for-adults.pdf,web-search-final,Rajasthan,accessories
"""Powered by Shopify"" ""Rajasthan"" ""food"" India store",https://www.houseofmandara.com/,web-search-final,Rajasthan,food
"""Powered by Shopify"" ""Rajasthan"" ""food"" India store",https://www.modernmarkets.in/products/food-library-combo-of-rajasthani-dried-sangri-ker-200g-each-1,web-search-final,Rajasthan,food
"""Powered by Shopify"" ""Rajasthan"" ""food"" India store",https://kitchensecret.in/,web-search-final,Rajasthan,food
"""Powered by Shopify"" ""Rajasthan"" ""food"" India store",https://hknutriorg123.myshopify.com/collections/desi-ghee,web-search-final,Rajasthan,food
"""Powered by Shopify"" ""Rajasthan"" ""food"" India store",https://majafi.com/products/organic-lions-mane-mushroom-liquid-extract,web-search-final,Rajasthan,food
"""Powered by Shopify"" ""Rajasthan"" ""food"" India store",https://rivayatheritage.com/pages/food,web-search-final,Rajasthan,food
"""Powered by Shopify"" ""Rajasthan"" ""food"" India store",https://chef-connect.in/,web-search-final,Rajasthan,food
"""Powered by Shopify"" ""Rajasthan"" ""food"" India store",https://saptrishifoods.com/products/saptrishi-super-fine-maida,web-search-final,Rajasthan,food
"""Powered by Shopify"" ""Rajasthan"" ""fitness"" India store",https://joynexa.in/pages/about-us,web-search-final,Rajasthan,fitness
"""Powered by Shopify"" ""Rajasthan"" ""fitness"" India store",https://dokro.in/products/portable-digital-weighing-scale-for-kitchen-electronic-weighing-scale-with-back-light-lcd-display-and-high-precision-sensors-range-of-1g-10-kg-black,web-search-final,Rajasthan,fitness
"""Powered by Shopify"" ""Rajasthan"" ""fitness"" India store",https://ritvion.in/,web-search-final,Rajasthan,fitness
"""Powered by Shopify"" ""Rajasthan"" ""fitness"" India store",https://zappnex.myshopify.com/,web-search-final,Rajasthan,fitness
"""Powered by Shopify"" ""Rajasthan"" ""fitness"" India store",https://www.farmersstop.com/te/policies/terms-of-service,web-search-final,Rajasthan,fitness
"""Powered by Shopify"" ""Rajasthan"" ""fitness"" India store",https://ikiru.in/products/wooden-sideboard-multicolor-cabinet-with-door-for-living-room,web-search-final,Rajasthan,fitness
"""Powered by Shopify"" ""Rajasthan"" ""fitness"" India store",https://www.revedahealth.in/pages/terms-and-conditions,web-search-final,Rajasthan,fitness
"""Powered by Shopify"" ""Rajasthan"" ""fitness"" India store",https://amlinearth.com/products/wellness-bundle,web-search-final,Rajasthan,fitness
"""Powered by Shopify"" ""Rajasthan"" ""kids"" India store",https://spenca.in/,web-search-final,Rajasthan,kids
"""Powered by Shopify"" ""Rajasthan"" ""kids"" India store",https://gemsrush.in/products/doraemon-charm-gemstone-rakhi-for-kids,web-search-final,Rajasthan,kids
"""Powered by Shopify"" ""Rajasthan"" ""kids"" India store",https://auory.co/,web-search-final,Rajasthan,kids
"""Powered by Shopify"" ""Rajasthan"" ""kids"" India store",https://joynexa.in/pages/about-us,web-search-final,Rajasthan,kids
"""Powered by Shopify"" ""Rajasthan"" ""kids"" India store",https://motisonsjewellers.com/collections/all,web-search-final,Rajasthan,kids
"""Powered by Shopify"" ""Rajasthan"" ""kids"" India store",https://suryavanshi.net/,web-search-final,Rajasthan,kids
"""Powered by Shopify"" ""Rajasthan"" ""kids"" India store",https://pecotoys.com/,web-search-final,Rajasthan,kids
"""Powered by Shopify"" ""Rajasthan"" ""kids"" India store",https://www.gustorafoods.com/products/mini-fusilli,web-search-final,Rajasthan,kids
"""Powered by Shopify"" ""Jaipur"" ""food"" India store",https://www.houseofmandara.com/,web-search-final,Jaipur,food
"""Powered by Shopify"" ""Jaipur"" ""food"" India store",https://kitchensecret.in/,web-search-final,Jaipur,food
"""Powered by Shopify"" ""Jaipur"" ""food"" India store",https://hknutriorg123.myshopify.com/collections/desi-ghee,web-search-final,Jaipur,food
"""Powered by Shopify"" ""Jaipur"" ""food"" India store",https://majafi.com/products/organic-lions-mane-mushroom-liquid-extract,web-search-final,Jaipur,food
"""Powered by Shopify"" ""Jaipur"" ""food"" India store",https://shop.palelectricalsystems.com/collections/food-prepration,web-search-final,Jaipur,food
"""Powered by Shopify"" ""Jaipur"" ""food"" India store",https://nourishcode.in/,web-search-final,Jaipur,food
"""Powered by Shopify"" ""Jaipur"" ""food"" India store",https://shoppinkcity.in/products/pinkcity-wellness-wooden-cold-pressed-sesame-oil-15-litres-gingelly-oil-til-oil,web-search-final,Jaipur,food
"""Powered by Shopify"" ""Jaipur"" ""food"" India store",https://spoonsaathi.com/,web-search-final,Jaipur,food
"""/cdn/shop/"" ""Jaipur"" ""fitness"" India store",https://understandbusinesslikeai.com/mco-training-library/fitness-gyms-sports-clubs/cult-fit/,web-search-final,Jaipur,fitness
"""/cdn/shop/"" ""Jaipur"" ""fitness"" India store",https://wellbeingnutrition.com/products/vegan-protein-french-vanilla-caramel-copy?_fid=44925b8e6&_pos=11&_ss=c,web-search-final,Jaipur,fitness
"""/cdn/shop/"" ""Jaipur"" ""fitness"" India store",https://suspire.in/products/auric-workout-boost-effervescent-15-tablets-training-support-drink-tabs-raspberry-flavor,web-search-final,Jaipur,fitness
"""/cdn/shop/"" ""Jaipur"" ""fitness"" India store",https://www.headphonezone.in/products/v-moda-bassfit-wireless,web-search-final,Jaipur,fitness
"""/cdn/shop/"" ""Jaipur"" ""fitness"" India store",https://www.companydetails.in/year/2006/C,web-search-final,Jaipur,fitness
"""/cdn/shop/"" ""Jaipur"" ""fitness"" India store",https://apibackend.wollboingnutrition.shop/products/vegan-protein-french-vanilla-caramel-copy,web-search-final,Jaipur,fitness
"""/cdn/shop/"" ""Jaipur"" ""fitness"" India store",https://www.storesavings.com/brands-index.html,web-search-final,Jaipur,fitness
"""/cdn/shop/"" ""Jaipur"" ""fitness"" India store",https://www.upwork.com/hire/elementor-freelancers/in/,web-search-final,Jaipur,fitness
"""/cdn/shop/"" ""Jaipur"" ""kids"" India store",https://jaipurknot.com/,web-search-final,Jaipur,kids
"""/cdn/shop/"" ""Jaipur"" ""kids"" India store",https://www.pinkchicken.com/products/baby-girls-elsie-bubble-lilac-lisbon-floral,web-search-final,Jaipur,kids
"""/cdn/shop/"" ""Jaipur"" ""kids"" India store",https://donacarmen.com/products/vestido-jaipur,web-search-final,Jaipur,kids
"""/cdn/shop/"" ""Jaipur"" ""kids"" India store",https://tnuck.com/products/girls-light-blue-dandelion-jaipur-dress,web-search-final,Jaipur,kids
"""/cdn/shop/"" ""Jaipur"" ""kids"" India store",https://shop.simon.com/products/jaipur-mini-dress-in-navy-harvest-floral,web-search-final,Jaipur,kids
"""/cdn/shop/"" ""Jaipur"" ""kids"" India store",https://bellacasa.in/products/single-bedsheet-set-180-tc-100-cotton-kids-kingdom-collection-2,web-search-final,Jaipur,kids
"""/cdn/shop/"" ""Jaipur"" ""kids"" India store",https://www.thenesavu.com/collections/boys-ethnic-wear-menu/products/nesavu-toddler-boys-dhoti-set-jaipur-block-print-ethnic-occasions-bes723a?_fid=57142bd03&_pos=138&_ss=c&variant=50185437249840,web-search-final,Jaipur,kids
"""/cdn/shop/"" ""Jaipur"" ""kids"" India store",https://varnanjaipur.com/collections/planners/products/handcrafted-acrylic-weekly-study-planner-for-kids,web-search-final,Jaipur,kids
"""shopify-section"" ""Jaipur"" ""fashion"" India store",https://www.arivajewels.com/,web-search-final,Jaipur,fashion
"""shopify-section"" ""Jaipur"" ""fashion"" India store",https://amoni.io/,web-search-final,Jaipur,fashion
"""shopify-section"" ""Jaipur"" ""fashion"" India store",https://apna.co/jobs/part-time-and-female-jobs-in-vaishali-nagar-in-jaipur,web-search-final,Jaipur,fashion
"""shopify-section"" ""Jaipur"" ""fashion"" India store",https://websitedesignjaipur.in/,web-search-final,Jaipur,fashion
"""shopify-section"" ""Jaipur"" ""fashion"" India store",https://www.scribd.com/document/541830575/India-D2C-Yearbook-2021,web-search-final,Jaipur,fashion
"""shopify-section"" ""Jaipur"" ""fashion"" India store",https://www.justdial.com/Jaipur/Payment-Gateway-Integration-Services-in-Pratap-Nagar-Sector-18/nct-12127736,web-search-final,Jaipur,fashion
"""shopify-section"" ""Jaipur"" ""fashion"" India store",https://fliphtml5.com/dsfwo/kapm/Catalogue-2025_IETF/,web-search-final,Jaipur,fashion
"""shopify-section"" ""Jaipur"" ""fashion"" India store",https://www.digimall.store/collections/trending-products,web-search-final,Jaipur,fashion
"""cdn.shopify.com"" ""Jaipur"" ""jewellery"" India store",https://hypestat.com/info/chordiajewels.com,web-search-final,Jaipur,jewellery
"""cdn.shopify.com"" ""Jaipur"" ""jewellery"" India store",https://gridinsoft.com/online-virus-scanner/url/jaipurartmart-com,web-search-final,Jaipur,jewellery
"""cdn.shopify.com"" ""Jaipur"" ""jewellery"" India store",https://es.gridinsoft.com/online-virus-scanner/url/jaipurartmart-com,web-search-final,Jaipur,jewellery
"""cdn.shopify.com"" ""Jaipur"" ""jewellery"" India store",https://maniarajewels.com/products/customized-inside-text-ring,web-search-final,Jaipur,jewellery
"""cdn.shopify.com"" ""Jaipur"" ""jewellery"" India store",https://vamikasilver.com.cutestat.com/,web-search-final,Jaipur,jewellery
"""cdn.shopify.com"" ""Jaipur"" ""jewellery"" India store",https://www.namasyajaipur.com/collections/jadau-kundan-collection/necklace-set,web-search-final,Jaipur,jewellery
"""cdn.shopify.com"" ""Jaipur"" ""jewellery"" India store",https://fr.gridinsoft.com/online-virus-scanner/url/jaipurartmart-com,web-search-final,Jaipur,jewellery
"""cdn.shopify.com"" ""Jaipur"" ""jewellery"" India store",https://grownexpackaging.com/blogs/grownex-packaging/elegant-matt-finish-jewelry,web-search-final,Jaipur,jewellery
