query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Tamil Nadu"" ""fashion"" India store",https://estuna.in/,web-search-final,Tamil Nadu,fashion
"""Powered by Shopify"" ""Tamil Nadu"" ""fashion"" India store",https://kumudcreations.in/,web-search-final,Tamil Nadu,fashion
"""Powered by Shopify"" ""Tamil Nadu"" ""fashion"" India store",https://khanduasilk.com/,web-search-final,Tamil Nadu,fashion
"""Powered by Shopify"" ""Tamil Nadu"" ""fashion"" India store",https://mahifashions.in/collections/women-kurtis,web-search-final,Tamil Nadu,fashion
"""Powered by Shopify"" ""Tamil Nadu"" ""fashion"" India store",https://stheory.in/pages/about-us,web-search-final,Tamil Nadu,fashion
"""Powered by Shopify"" ""Tamil Nadu"" ""fashion"" India store",https://sanafashionhouse.in/products/gos-sana?variant=51257544573068,web-search-final,Tamil Nadu,fashion
"""Powered by Shopify"" ""Tamil Nadu"" ""fashion"" India store",https://www.hiis.co.in/pages/about-us,web-search-final,Tamil Nadu,fashion
"""Powered by Shopify"" ""Tamil Nadu"" ""fashion"" India store",https://www.slideserve.com/Girishmanral/nike-franchise-karimnagar-footlounge,web-search-final,Tamil Nadu,fashion
"""Powered by Shopify"" ""Tamil Nadu"" ""clothing"" India store",https://estuna.in/,web-search-final,Tamil Nadu,clothing
"""Powered by Shopify"" ""Tamil Nadu"" ""clothing"" India store",https://occupiedclothing.com/,web-search-final,Tamil Nadu,clothing
"""Powered by Shopify"" ""Tamil Nadu"" ""clothing"" India store",https://www.evrydy.in/,web-search-final,Tamil Nadu,clothing
"""Powered by Shopify"" ""Tamil Nadu"" ""clothing"" India store",https://mahifashions.in/collections/women-kurtis,web-search-final,Tamil Nadu,clothing
"""Powered by Shopify"" ""Tamil Nadu"" ""clothing"" India store",https://spatikaclothing.com/collections/all-products,web-search-final,Tamil Nadu,clothing
"""Powered by Shopify"" ""Tamil Nadu"" ""clothing"" India store",https://stheory.in/pages/about-us,web-search-final,Tamil Nadu,clothing
"""Powered by Shopify"" ""Tamil Nadu"" ""clothing"" India store",https://kave.co.in/collections/all,web-search-final,Tamil Nadu,clothing
"""Powered by Shopify"" ""Tamil Nadu"" ""clothing"" India store",https://thednaclothing.in/collections/t-shirt,web-search-final,Tamil Nadu,clothing
"""Powered by Shopify"" ""Tamil Nadu"" ""jewellery"" India store",https://www.sasitrends.com/collections/guaranteed-one-gram-micro-gold-plated-jewellery/products/sasitrends-impon-addigai-micro-gold-plated-ad-stone-short-long-floral-oval-necklace-jewellery-set-3016c-bridal-wear,web-search-final,Tamil Nadu,jewellery
"""Powered by Shopify"" ""Tamil Nadu"" ""jewellery"" India store",https://dimplery.in/products/dainty-twisty-kada-bangle,web-search-final,Tamil Nadu,jewellery
"""Powered by Shopify"" ""Tamil Nadu"" ""jewellery"" India store",https://pinkpetals44.in/,web-search-final,Tamil Nadu,jewellery
"""Powered by Shopify"" ""Tamil Nadu"" ""jewellery"" India store",https://atina.co.in/,web-search-final,Tamil Nadu,jewellery
"""Powered by Shopify"" ""Tamil Nadu"" ""jewellery"" India store",https://swastikgem.com/products/citrine-bracelet,web-search-final,Tamil Nadu,jewellery
"""Powered by Shopify"" ""Tamil Nadu"" ""jewellery"" India store",https://tansijewels.com/products/abhirami-antique-temple-necklace-set,web-search-final,Tamil Nadu,jewellery
"""Powered by Shopify"" ""Tamil Nadu"" ""jewellery"" India store",https://ranjarijewels.in/products/lakshmi-mango-mala-coin-dual-layered-necklace-set,web-search-final,Tamil Nadu,jewellery
"""Powered by Shopify"" ""Tamil Nadu"" ""beauty"" India store",https://homepour.in/products/sun-screen,web-search-final,Tamil Nadu,beauty
"""Powered by Shopify"" ""Tamil Nadu"" ""beauty"" India store",https://khanduasilk.com/,web-search-final,Tamil Nadu,beauty
"""Powered by Shopify"" ""Tamil Nadu"" ""beauty"" India store",https://jyy416-zt.myshopify.com/pages/our-story,web-search-final,Tamil Nadu,beauty
"""Powered by Shopify"" ""Tamil Nadu"" ""beauty"" India store",https://ayursiri.shop/,web-search-final,Tamil Nadu,beauty
"""Powered by Shopify"" ""Tamil Nadu"" ""beauty"" India store",https://garudaaherbalrabbithairoil.in/,web-search-final,Tamil Nadu,beauty
"""Powered by Shopify"" ""Tamil Nadu"" ""beauty"" India store",https://dimplery.in/products/flower-sparkle-mini-hoop-earrings,web-search-final,Tamil Nadu,beauty
"""Powered by Shopify"" ""Tamil Nadu"" ""beauty"" India store",https://rabbitbloodoil.store/,web-search-final,Tamil Nadu,beauty
"""Powered by Shopify"" ""Tamil Nadu"" ""beauty"" India store",https://www.sasitrends.com/products/2380i-vintage-chic-oxidised-floral-earrings-sasitrends-online-shopping,web-search-final,Tamil Nadu,beauty
"""Powered by Shopify"" ""Tamil Nadu"" ""skincare"" India store",https://homepour.in/products/sun-screen,web-search-final,Tamil Nadu,skincare
"""Powered by Shopify"" ""Tamil Nadu"" ""skincare"" India store",https://ishwaryamgoodness.com/products/cucumbersoap-100g,web-search-final,Tamil Nadu,skincare
"""Powered by Shopify"" ""Tamil Nadu"" ""skincare"" India store",https://klixtr.in/products/klixtr-white-glow-max-advanced-radiance-cream-35-g,web-search-final,Tamil Nadu,skincare
"""Powered by Shopify"" ""Tamil Nadu"" ""skincare"" India store",https://blendoracollections.com/,web-search-final,Tamil Nadu,skincare
