query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Telangana"" ""food"" India store",https://geosvasth.com/cart,web-search-final,Telangana,food
"""Powered by Shopify"" ""Telangana"" ""food"" India store",https://hattkefood.com/products/chunky-chilli-oil-65-tadka,web-search-final,Telangana,food
"""Powered by Shopify"" ""Telangana"" ""food"" India store",https://cuddle-paws.in/collections/pharmacy,web-search-final,Telangana,food
"""Powered by Shopify"" ""Telangana"" ""food"" India store",https://www.soothys.in/products/90-dark-vegan-chocolate-bars-with-candied-orange-soothys-bean-to-bar,web-search-final,Telangana,food
"""Powered by Shopify"" ""Telangana"" ""food"" India store",https://shop.ammae.in/products/badam-milk-mix,web-search-final,Telangana,food
"""/cdn/shop/"" ""Telangana"" ""fitness"" India store",https://wellbeingnutrition.com/products/melts-testosterone-oral-strips,web-search-final,Telangana,fitness
"""/cdn/shop/"" ""Telangana"" ""fitness"" India store",https://www.zaubacorp.com/company-by-address/SHOP-NO--11-THIRD-FLOOR--B-9-2-2477--DILKUSHA-MARKET-----JALANDHAR--PUNJAB--INDIA---144001,web-search-final,Telangana,fitness
"""/cdn/shop/"" ""Telangana"" ""fitness"" India store",https://in.fashionjobs.com/careers/puma.html,web-search-final,Telangana,fitness
"""/cdn/shop/"" ""Telangana"" ""fitness"" India store",https://wollboingnutrition.shop/products/melts-instant-energy-natural-caffeine-electrolyte-oral-strips,web-search-final,Telangana,fitness
"""/cdn/shop/"" ""Telangana"" ""fitness"" India store",https://pdfcoffee.com/bts-2022-exhibitor-directory-pdf-free.html,web-search-final,Telangana,fitness
"""/cdn/shop/"" ""Telangana"" ""fitness"" India store",https://fliarbi.com/companies/best-high-tech-companies-in-telangana-india/,web-search-final,Telangana,fitness
"""/cdn/shop/"" ""Telangana"" ""kids"" India store",https://themomstore.in/products/smily-kiddos-collapsible-silicone-water-bottle,web-search-final,Telangana,kids
"""/cdn/shop/"" ""Telangana"" ""kids"" India store",https://duckduckbaby.in/products/tiny-twig-white-and-soft-pink-kimono-jhabla-set-organic-cotton-for-infants,web-search-final,Telangana,kids
"""/cdn/shop/"" ""Telangana"" ""kids"" India store",https://us.neerus.com/products/rani-net-heavy-zari-embroidery-ghagra-set,web-search-final,Telangana,kids
"""/cdn/shop/"" ""Telangana"" ""kids"" India store",https://itokri.com/products/pochampally-ikat-cotton-kids-kurta-6-12-months-28-2025-508-1-28,web-search-final,Telangana,kids
"""/cdn/shop/"" ""Telangana"" ""kids"" India store",https://wollboingnutrition.shop/products/melts-disney-frozen-omega3-kids-oral-strips-anna,web-search-final,Telangana,kids
"""/cdn/shop/"" ""Telangana"" ""kids"" India store",https://www.terraearthfood.com/collections/baby-kids,web-search-final,Telangana,kids
"""/cdn/shop/"" ""Telangana"" ""kids"" India store",https://www.guardian.in/products/kids-omega-3-dha-gummies,web-search-final,Telangana,kids
"""shopify-section"" ""Telangana"" ""fashion"" India store",https://secunderabad.in.expertini.com/jobs/in/remote-customer-support-representative-any-form-of-us-healthcare-experience-is-a-must-voice-support-secunderabad-virtual-lab-tech/amp/,web-search-final,Telangana,fashion
"""shopify-section"" ""Telangana"" ""fashion"" India store",https://www.scribd.com/document/1019539161/Original-Ay-25-26,web-search-final,Telangana,fashion
"""shopify-section"" ""Telangana"" ""fashion"" India store",https://www.avwebservices.online/,web-search-final,Telangana,fashion
"""shopify-section"" ""Telangana"" ""fashion"" India store",https://fliphtml5.com/dsfwo/kapm/Catalogue-2025_IETF/,web-search-final,Telangana,fashion
"""cdn.shopify.com"" ""Telangana"" ""jewellery"" India store",https://www.indiangoods.shop/en-gb/collections/beauty-personal-care/products/coconess-soapnut-extract,web-search-final,Telangana,jewellery
"""cdn.shopify.com"" ""Telangana"" ""jewellery"" India store",https://hypestat.com/info/vaira.co.in,web-search-final,Telangana,jewellery
"""cdn.shopify.com"" ""Telangana"" ""jewellery"" India store",https://www.slideserve.com/mapspegasus/april-edition-pdf-powerpoint-ppt-presentation,web-search-final,Telangana,jewellery
"""Powered by Shopify"" ""Hyderabad"" ""fashion"" India store",https://mahilafabrics.com/collections/laces-latkans,web-search-final,Hyderabad,fashion
"""Powered by Shopify"" ""Hyderabad"" ""fashion"" India store",https://gopikafashionstudios.com/collections/all,web-search-final,Hyderabad,fashion
"""Powered by Shopify"" ""Hyderabad"" ""fashion"" India store",https://kvsshopping.com/collections/frontpage,web-search-final,Hyderabad,fashion
"""Powered by Shopify"" ""Hyderabad"" ""fashion"" India store",https://www.nemalee.com/products/handmade-jadau-bottumala,web-search-final,Hyderabad,fashion
"""Powered by Shopify"" ""Hyderabad"" ""fashion"" India store",https://www.s3fashions.in/collections/ashadam-sale-2025,web-search-final,Hyderabad,fashion
"""Powered by Shopify"" ""Hyderabad"" ""fashion"" India store",https://gowin.style/,web-search-final,Hyderabad,fashion
"""Powered by Shopify"" ""Hyderabad"" ""fashion"" India store",https://septembershoes.com/products/gia,web-search-final,Hyderabad,fashion
"""Powered by Shopify"" ""Hyderabad"" ""fashion"" India store",https://liilolifestyle.com/,web-search-final,Hyderabad,fashion
"""Powered by Shopify"" ""Hyderabad"" ""clothing"" India store",https://aqsaclothing.in/,web-search-final,Hyderabad,clothing
"""Powered by Shopify"" ""Hyderabad"" ""clothing"" India store",https://cocosnugs.com/,web-search-final,Hyderabad,clothing
"""Powered by Shopify"" ""Hyderabad"" ""clothing"" India store",https://zuvi.world/pages/about-us,web-search-final,Hyderabad,clothing
"""Powered by Shopify"" ""Hyderabad"" ""clothing"" India store",https://hijabcollections.in/,web-search-final,Hyderabad,clothing
"""Powered by Shopify"" ""Hyderabad"" ""clothing"" India store",https://www.spatikaclothing.com/collections/lambani,web-search-final,Hyderabad,clothing
"""Powered by Shopify"" ""Hyderabad"" ""clothing"" India store",https://handpickedstore.in/collections/women/rainbow-saree,web-search-final,Hyderabad,clothing
"""Powered by Shopify"" ""Hyderabad"" ""clothing"" India store",https://littlesurprisebox.com/pages/baby-boy-birthday-gifts-2-year-old-in-hyderabad-1,web-search-final,Hyderabad,clothing
"""Powered by Shopify"" ""Hyderabad"" ""jewellery"" India store",https://www.ozelbirsey.in/collections/pearls-by-ozel,web-search-final,Hyderabad,jewellery
"""Powered by Shopify"" ""Hyderabad"" ""jewellery"" India store",https://www.nemalee.com/products/red-epoxy-bead-like-motifs-with-moissanite-polki-neckset,web-search-final,Hyderabad,jewellery
"""Powered by Shopify"" ""Hyderabad"" ""jewellery"" India store",https://sharmapearls.com/products/luxury-big-pearl-set-real-pearls,web-search-final,Hyderabad,jewellery
"""Powered by Shopify"" ""Hyderabad"" ""jewellery"" India store",https://queenssilverjewellery.com/products/victorian-jhumkas-qsvj0013,web-search-final,Hyderabad,jewellery
"""Powered by Shopify"" ""Hyderabad"" ""jewellery"" India store",https://ormilabel.in/products/bandhani-ring?variant=51860187447613,web-search-final,Hyderabad,jewellery
"""Powered by Shopify"" ""Hyderabad"" ""beauty"" India store",https://52store.in/,web-search-final,Hyderabad,beauty
"""Powered by Shopify"" ""Hyderabad"" ""beauty"" India store",https://handpickedstore.in/products/small-blue-pottery-handcrafted-planter,web-search-final,Hyderabad,beauty
"""Powered by Shopify"" ""Hyderabad"" ""beauty"" India store",https://hkpmuclinic.com/collections/hkvizag,web-search-final,Hyderabad,beauty
"""Powered by Shopify"" ""Hyderabad"" ""beauty"" India store",https://shadesnswatches.in/collections/shopparel,web-search-final,Hyderabad,beauty
"""Powered by Shopify"" ""Hyderabad"" ""beauty"" India store",https://inlifehealthcare.com/collections/beauty-personal-care,web-search-final,Hyderabad,beauty
"""Powered by Shopify"" ""Hyderabad"" ""beauty"" India store",https://popinmart.com/,web-search-final,Hyderabad,beauty
"""Powered by Shopify"" ""Hyderabad"" ""beauty"" India store",https://yoski.in/pages/combo,web-search-final,Hyderabad,beauty
"""Powered by Shopify"" ""Hyderabad"" ""beauty"" India store",https://clubloom.com/products/asmara-chikankari-cotton-top,web-search-final,Hyderabad,beauty
"""Powered by Shopify"" ""Hyderabad"" ""skincare"" India store",https://52store.in/,web-search-final,Hyderabad,skincare
"""Powered by Shopify"" ""Hyderabad"" ""skincare"" India store",https://yoski.in/pages/combo,web-search-final,Hyderabad,skincare
