query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Gwalior"" ""furniture"" contact India merchant",https://www.livinstyles.com/collections/balcony-swing-chairs-in-gwalior?page=4,web-search-final,Gwalior,furniture
"""Powered by Shopify"" ""Gwalior"" ""furniture"" contact India merchant",https://uniquemaps.co.uk/products/old-map-of-indias-railways-by-nirdosh-publications-1960-mumbai-delhi-kolkata-chennai-bangalore,web-search-final,Gwalior,furniture
"""Powered by Shopify"" ""Gwalior"" ""furniture"" contact India merchant",https://www.researchgate.net/publication/389975167_GLOBAL_GOALS_LOCAL_IMPACTS_Youth_Innovation_and_The_Journey_of_Achieving_the_SDGs,web-search-final,Gwalior,furniture
"""Powered by Shopify"" ""Gwalior"" ""furniture"" contact India merchant",https://www.scribd.com/document/958100176/175352142736626-7-25-Combined-History-of-Railways-and-DFCCIL,web-search-final,Gwalior,furniture
"""Powered by Shopify"" ""Gwalior"" ""furniture"" contact India merchant",https://picocy.com/,web-search-final,Gwalior,furniture
"""/cdn/shop/"" ""Gwalior"" ""footwear"" GSTIN India store",https://itokri.com/products/2022-374-1-1-handstitched-embroidered-jutti,web-search-final,Gwalior,footwear
"""/cdn/shop/"" ""Gwalior"" ""footwear"" GSTIN India store",https://www.scribd.com/document/441592632/ec6-Madhya-Pradesh,web-search-final,Gwalior,footwear
"""/cdn/shop/"" ""Gwalior"" ""footwear"" GSTIN India store",https://salviasky.com/products/red-embellished-kurta-with-palazzo,web-search-final,Gwalior,footwear
"""Powered by Shopify"" ""Jabalpur"" ""accessories"" contact India merchant",https://www.shoppingworldyt.com/de/collections/indian-wedding-lehenga-in-jabalpur-india-shop-bridal-outfits-online?page=55,web-search-final,Jabalpur,accessories
"""Powered by Shopify"" ""Jabalpur"" ""accessories"" contact India merchant",https://www.scribd.com/document/959004896/SM-2025-Exhibitor-Directory,web-search-final,Jabalpur,accessories
"""Powered by Shopify"" ""Jabalpur"" ""accessories"" contact India merchant",https://www.researchgate.net/publication/395793561_Impact_of_Digital_Transformation_on_Consumer_Behaviour_in_India,web-search-final,Jabalpur,accessories
"""/cdn/shop/"" ""Jabalpur"" ""food"" GSTIN India store",https://www.scribd.com/document/441592632/ec6-Madhya-Pradesh,web-search-final,Jabalpur,food
"""/cdn/shop/"" ""Jabalpur"" ""food"" GSTIN India store",https://www.companydetails.in/state/madhya-pradesh/C,web-search-final,Jabalpur,food
"""/cdn/shop/"" ""Jabalpur"" ""food"" GSTIN India store",https://it.scribd.com/document/872953525/Madhya-Pradesh-Economic-Survey-2024-25-English,web-search-final,Jabalpur,food
"""/cdn/shop/"" ""Jabalpur"" ""food"" GSTIN India store",https://www.researchgate.net/publication/396948591_FRUIT_SCIENCE_CHRONICLES_A_COLLABORATIVE_INSIGHT_VOLUME_-1,web-search-final,Jabalpur,food
"""/cdn/shop/"" ""Jabalpur"" ""food"" GSTIN India store",https://random.chlod.net/words/,web-search-final,Jabalpur,food
"""/cdn/shop/"" ""Jabalpur"" ""food"" GSTIN India store",https://www.ricago.co.in/updates/01,web-search-final,Jabalpur,food
"""/cdn/shop/"" ""Jabalpur"" ""food"" GSTIN India store",https://id.scribd.com/document/362991181/236880658-Crisil-Sme-Connect-Aug12-pdf,web-search-final,Jabalpur,food
"""/cdn/shop/"" ""Jabalpur"" ""food"" GSTIN India store",https://beststartup.in/101-madhya-pradesh-based-e-commerce-companies-the-most-innovative-e-commerce-companies/,web-search-final,Jabalpur,food
