query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Siliguri"" ""jewellery"" contact India merchant",https://silvermerc.com/products/gold-plated-circular-western-hoop-earrings,web-search-final,Siliguri,jewellery
"""Powered by Shopify"" ""Siliguri"" ""jewellery"" contact India merchant",https://www.adikala.in/collections/craft-shop-near-me?page=17,web-search-final,Siliguri,jewellery
"""Powered by Shopify"" ""Siliguri"" ""jewellery"" contact India merchant",https://www.scribd.com/document/984119929/December-2025-Monthly-CA,web-search-final,Siliguri,jewellery
"""/cdn/shop/"" ""Siliguri"" ""beauty"" GSTIN India store",https://in.teabox.com/products/badamtam-exotic-spring-white-tea,web-search-final,Siliguri,beauty
"""/cdn/shop/"" ""Siliguri"" ""beauty"" GSTIN India store",https://www.zaubacorp.com/company-by-address/SHOP-NO-4-OPP-HP-PETROL-PUMP-LAMBA-PIND-CHOWK-HOSHIARPUR-ROAD-JALANDHAR-JALANDHAR-PB-144001-IN-,web-search-final,Siliguri,beauty
"""/cdn/shop/"" ""Siliguri"" ""beauty"" GSTIN India store",https://jayshreetea.com/products/darjeeling-balasun-flowery-clonal-first-flush-2026-prestige-micro-batch-4kg-only,web-search-final,Siliguri,beauty
"""/cdn/shop/"" ""Siliguri"" ""beauty"" GSTIN India store",https://faceyogawellness.com/face-yoga-for-double-chin/,web-search-final,Siliguri,beauty
"""Powered by Shopify"" ""Cuttack"" ""fitness"" contact India merchant",https://www.clickoncare.com/de/collections/bausch-lomb,web-search-final,Cuttack,fitness
"""Powered by Shopify"" ""Cuttack"" ""fitness"" contact India merchant",https://dokumen.pub/e-commerce-concepts-models-strategies-2nd-2022.html,web-search-final,Cuttack,fitness
"""/cdn/shop/"" ""Cuttack"" ""kids"" GSTIN India store",https://www.scribd.com/document/975980627/ManipalCigna,web-search-final,Cuttack,kids
"""/cdn/shop/"" ""Cuttack"" ""kids"" GSTIN India store",https://ro.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Cuttack,kids
"""/cdn/shop/"" ""Cuttack"" ""kids"" GSTIN India store",https://it.scribd.com/document/743107152/Company-Details,web-search-final,Cuttack,kids
"""/cdn/shop/"" ""Cuttack"" ""kids"" GSTIN India store",https://abtdomain.com/expired-domains/auctions/2026-09/end-2026-09-16/,web-search-final,Cuttack,kids
