query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Jammu"" ""fitness"" contact India merchant",https://www.sarteo.in/policies/terms-of-service,web-search-final,Jammu,fitness
"""Powered by Shopify"" ""Jammu"" ""fitness"" contact India merchant",https://happywalk.in/policies/terms-of-service,web-search-final,Jammu,fitness
"""Powered by Shopify"" ""Jammu"" ""fitness"" contact India merchant",https://www.clickoncare.com/sv/collections/face?order=name&page=45,web-search-final,Jammu,fitness
"""Powered by Shopify"" ""Jammu"" ""fitness"" contact India merchant",https://www.avikalp.com/collections/nature-wallpaper-in-jammu-kashmir/wallpaper,web-search-final,Jammu,fitness
"""Powered by Shopify"" ""Jammu"" ""fitness"" contact India merchant",https://thevarmulcompany.com/policies/terms-of-service,web-search-final,Jammu,fitness
"""Powered by Shopify"" ""Jammu"" ""fitness"" contact India merchant",https://www.scribd.com/document/959004896/SM-2025-Exhibitor-Directory,web-search-final,Jammu,fitness
"""Powered by Shopify"" ""Jammu"" ""fitness"" contact India merchant",https://www.idcrawl.com/bhumika-sharma,web-search-final,Jammu,fitness
"""Powered by Shopify"" ""Jammu"" ""fitness"" contact India merchant",https://fliphtml5.com/vlmuw/hvsx/Food_Infotech_Magazine_December_Issue_2025/,web-search-final,Jammu,fitness
"""/cdn/shop/"" ""Jammu"" ""kids"" GSTIN India store",https://www.terraearthfood.com/collections/pulses-beans,web-search-final,Jammu,kids
"""/cdn/shop/"" ""Jammu"" ""kids"" GSTIN India store",https://havochobby.in/products/hot-wheels-gift-setpack-of-5,web-search-final,Jammu,kids
"""/cdn/shop/"" ""Jammu"" ""kids"" GSTIN India store",https://www.ruandchai.com/apps/qwslider_products/l/products.liquid?pre=1&prs=the-essence-of-karnataka-painting%2Cthe-essence-of-telangana-painting%2Cthe-essence-of-goa-painting%2Cthe-essence-of-assam-painting%2Cthe-essence-of-uttar-pradesh-painting%2Cthe-essence-of-kashmir-painting%2Cthe-essence-of-punjab-painting%2Cthe-essence-of-rajasthan-painting%2Cthe-essence-of-tamil-nadu-painting%2Cthe-essence-of-kerala-painting%2Cthe-essence-of-maharashtra-painting%2Cthe-essence-of-gujarat-painting%2Cwest-bengal-painting,web-search-final,Jammu,kids
"""/cdn/shop/"" ""Jammu"" ""kids"" GSTIN India store",https://itokri.com/products/kota-doria-silk-cotton-kashida-embroidery-dupatta-52-2024-1082-2-52,web-search-final,Jammu,kids
"""Powered by Shopify"" ""Srinagar"" ""fashion"" contact India merchant",https://www.kashmirbox.com/products/shop-online-green-handwoven-cashmere-pashmina-embroidered-shawl-kashmir-box,web-search-final,Srinagar,fashion
"""Powered by Shopify"" ""Srinagar"" ""fashion"" contact India merchant",https://www.kashmirorigin.com/products/pistachio-base-sozni-embroidered-stole,web-search-final,Srinagar,fashion
"""Powered by Shopify"" ""Srinagar"" ""fashion"" contact India merchant",https://www.thriftheaven.in/policies/contact-information,web-search-final,Srinagar,fashion
"""Powered by Shopify"" ""Srinagar"" ""fashion"" contact India merchant",https://global.kashmirbox.com/products/black-kashmiri-aari-embroidered-short-cotton-kurti,web-search-final,Srinagar,fashion
"""Powered by Shopify"" ""Srinagar"" ""fashion"" contact India merchant",https://www.columbiasportswear.co.in/pages/authentication,web-search-final,Srinagar,fashion
"""/cdn/shop/"" ""Srinagar"" ""clothing"" GSTIN India store",https://www.scribd.com/document/666111634/Annual-Report-Eng-09-01-2022-compressed,web-search-final,Srinagar,clothing
"""/cdn/shop/"" ""Srinagar"" ""clothing"" GSTIN India store",https://it.scribd.com/document/907640744/Final-Annual-Report-2023-24-as-On10-03-2025,web-search-final,Srinagar,clothing
"""/cdn/shop/"" ""Srinagar"" ""clothing"" GSTIN India store",https://pt.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Srinagar,clothing
"""/cdn/shop/"" ""Srinagar"" ""clothing"" GSTIN India store",https://tobirarecords.com/th/collections/mslmgz,web-search-final,Srinagar,clothing
"""/cdn/shop/"" ""Srinagar"" ""clothing"" GSTIN India store",https://www.companydetails.in/year/2023/C,web-search-final,Srinagar,clothing
"""/cdn/shop/"" ""Srinagar"" ""clothing"" GSTIN India store",https://www.zaubacorp.com/company-by-address/7-JUBILEE-COLONY-NRJUBILEE-GROUND-BHUJ-KUTCH-GJ-370001-IN,web-search-final,Srinagar,clothing
