query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Madurai"" ""skincare"" contact India merchant",https://myvinis.com/,web-search-final,Madurai,skincare
"""Powered by Shopify"" ""Madurai"" ""skincare"" contact India merchant",https://kirpagloballlc.com/,web-search-final,Madurai,skincare
"""Powered by Shopify"" ""Madurai"" ""skincare"" contact India merchant",https://madrascart.com/collections/posters,web-search-final,Madurai,skincare
"""Powered by Shopify"" ""Madurai"" ""skincare"" contact India merchant",https://www.clickoncare.com/ko/collections/abbott?limit=15&page=2,web-search-final,Madurai,skincare
"""Powered by Shopify"" ""Madurai"" ""skincare"" contact India merchant",https://www.naivri.in/products/wudly-four-model-in-one-puzzle,web-search-final,Madurai,skincare
"""Powered by Shopify"" ""Madurai"" ""skincare"" contact India merchant",https://www.scribd.com/document/959004896/SM-2025-Exhibitor-Directory,web-search-final,Madurai,skincare
"""Powered by Shopify"" ""Madurai"" ""skincare"" contact India merchant",https://caleri.com/collections/memo-paris,web-search-final,Madurai,skincare
"""/cdn/shop/"" ""Madurai"" ""home decor"" GSTIN India store",https://aonaindia.com/products/copper-madurai-meenakshi-idol-height-4-5-inch,web-search-final,Madurai,home decor
"""/cdn/shop/"" ""Madurai"" ""home decor"" GSTIN India store",https://incrediblerugsanddecor.com/products/surya-madurai-mad-1001-white-throw,web-search-final,Madurai,home decor
"""/cdn/shop/"" ""Madurai"" ""home decor"" GSTIN India store",https://www.nicobar.com/products/pon-tealight-holder,web-search-final,Madurai,home decor
"""/cdn/shop/"" ""Madurai"" ""home decor"" GSTIN India store",https://www.lakshmistores.com/collections/gods-statues,web-search-final,Madurai,home decor
"""Powered by Shopify"" ""Tiruppur"" ""furniture"" contact India merchant",https://www.sunandseating.com/collections/outdoor-swing-chairs-in-tiruppur/products/orlanda-single-seater-hanging-swing-with-stand-for-balcony-garden-swing-black,web-search-final,Tiruppur,furniture
"""Powered by Shopify"" ""Tiruppur"" ""furniture"" contact India merchant",https://www.scribd.com/document/914340193/Comprehensive-Textile-Business,web-search-final,Tiruppur,furniture
"""Powered by Shopify"" ""Tiruppur"" ""furniture"" contact India merchant",https://fliphtml5.com/wjqlx/apav/SEPTEMBER_DIGITAL_ISSUE_2022/,web-search-final,Tiruppur,furniture
"""/cdn/shop/"" ""Tiruppur"" ""footwear"" GSTIN India store",https://levi.in/products/womens-solid-scoop-neck-t-shirt-a64410003,web-search-final,Tiruppur,footwear
"""Powered by Shopify"" ""Salem"" ""accessories"" contact India merchant",https://www.lamarinteriors.store/,web-search-final,Salem,accessories
"""Powered by Shopify"" ""Salem"" ""accessories"" contact India merchant",https://comfyvibeslife.com/,web-search-final,Salem,accessories
"""Powered by Shopify"" ""Salem"" ""accessories"" contact India merchant",https://staypure123.myshopify.com/,web-search-final,Salem,accessories
"""Powered by Shopify"" ""Salem"" ""accessories"" contact India merchant",https://modernmillieshop.com/collections/accessory/products/enchanted-forest-round-bag-by-restyle,web-search-final,Salem,accessories
"""Powered by Shopify"" ""Salem"" ""accessories"" contact India merchant",https://shop.surabhienterprises.com/collections/all,web-search-final,Salem,accessories
"""Powered by Shopify"" ""Salem"" ""accessories"" contact India merchant",https://www.imagefirstportal.com/collections,web-search-final,Salem,accessories
"""Powered by Shopify"" ""Salem"" ""accessories"" contact India merchant",https://www.iashion.com/pages/about-us,web-search-final,Salem,accessories
"""Powered by Shopify"" ""Salem"" ""accessories"" contact India merchant",https://carlotsupplies.com/,web-search-final,Salem,accessories
"""/cdn/shop/"" ""Salem"" ""food"" GSTIN India store",https://www.rusticsforless.com/collections/irvins-tinwre/products/wellington-medium-island-light-in-espresso,web-search-final,Salem,food
"""/cdn/shop/"" ""Salem"" ""food"" GSTIN India store",https://www.zaubacorp.com/company-by-address/PLOT-NO-31--SIDCO-WOMEN-IINDUSTRAL-ESTAT-KARUPPUR-----SALEM--TAMIL-NADU--INDIA---636011,web-search-final,Salem,food
