query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Andhra Pradesh"" ""fashion"" contact India merchant",https://11trends.com/,web-search-final,Andhra Pradesh,fashion
"""Powered by Shopify"" ""Andhra Pradesh"" ""fashion"" contact India merchant",https://www.blingbyanjali.in/products/ready-to-wear-solid-plain-bollywood-satin-saree-gold?variant=41706212098146,web-search-final,Andhra Pradesh,fashion
"""Powered by Shopify"" ""Andhra Pradesh"" ""fashion"" contact India merchant",https://www.unnatisilks.com/products/unm80658-blue-red-purehandloom-gadwal-with-check-cotton-saree-unm80658,web-search-final,Andhra Pradesh,fashion
"""Powered by Shopify"" ""Andhra Pradesh"" ""fashion"" contact India merchant",https://www.pothys.com/collections/art-silk-fancy-sarees,web-search-final,Andhra Pradesh,fashion
"""Powered by Shopify"" ""Andhra Pradesh"" ""fashion"" contact India merchant",https://staxfashion.store/policies/privacy-policy,web-search-final,Andhra Pradesh,fashion
"""Powered by Shopify"" ""Andhra Pradesh"" ""fashion"" contact India merchant",https://intunefashion.com/pages/intune-form,web-search-final,Andhra Pradesh,fashion
"""Powered by Shopify"" ""Andhra Pradesh"" ""fashion"" contact India merchant",https://www.thetanclan.in/products/burj,web-search-final,Andhra Pradesh,fashion
"""Powered by Shopify"" ""Andhra Pradesh"" ""fashion"" contact India merchant",https://www.fromtheorigin.in/,web-search-final,Andhra Pradesh,fashion
"""/cdn/shop/"" ""Andhra Pradesh"" ""clothing"" GSTIN India store",https://eveninsight.com/safety-checker/website/perfumeaddiction.com,web-search-final,Andhra Pradesh,clothing
"""/cdn/shop/"" ""Andhra Pradesh"" ""clothing"" GSTIN India store",https://itokri.com/products/block-print-kalamkari-cushion-cover-57-2025-1385-1-57,web-search-final,Andhra Pradesh,clothing
"""/cdn/shop/"" ""Andhra Pradesh"" ""clothing"" GSTIN India store",https://www.zaubacorp.com/company-by-address/20-2-548-A7--MARUTHI-NAGAR--NEAR-TMC--KORLANGUNTA-TIRUPATHI-TIRUPATHI-CHITTOOR-AP-517501-IN,web-search-final,Andhra Pradesh,clothing
