query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Aurangabad"" ""jewellery"" contact India merchant",https://sonchafa.com/products/43cd,web-search-final,Aurangabad,jewellery
"""Powered by Shopify"" ""Aurangabad"" ""jewellery"" contact India merchant",https://www.hausofhandmade.com/pages/ethnic-wear-women-satara-2026,web-search-final,Aurangabad,jewellery
"""Powered by Shopify"" ""Aurangabad"" ""jewellery"" contact India merchant",https://www.luxurionworld.com/products/blue-paithani-pure-silk-saree-heavy-floral-broad-border,web-search-final,Aurangabad,jewellery
"""Powered by Shopify"" ""Aurangabad"" ""jewellery"" contact India merchant",https://www.scribd.com/document/959004896/SM-2025-Exhibitor-Directory,web-search-final,Aurangabad,jewellery
"""/cdn/shop/"" ""Aurangabad"" ""beauty"" GSTIN India store",https://ro.scribd.com/document/878073524/Job-alert,web-search-final,Aurangabad,beauty
"""/cdn/shop/"" ""Aurangabad"" ""beauty"" GSTIN India store",https://www.zaubacorp.com/company-by-address/C-O-NARESH-KUMAR--S-O-KALYAN-DASS-MOTIA-BAZAR-----SAMANA--PUNJAB--INDIA---147101,web-search-final,Aurangabad,beauty
"""/cdn/shop/"" ""Aurangabad"" ""beauty"" GSTIN India store",https://tobirarecords.com/en/collections/all?page=181&phcursor=eyJhbGciOiJIUzI1NiJ9.eyJzayI6InRpdGxlIiwic3YiOiJNYWNoaW5lIExpc3RlbmVyIC8vIE1ldG9ueW0gVEFQRSIsImQiOiJmIiwidWlkIjo2NzI4NzA2Nzg1NDQ1LCJsIjo1MCwibyI6MCwiciI6IkNQIn0.pWU90C4txHioxCbAYvZnqx_MzCmvlnXLk_l_nQu01yg,web-search-final,Aurangabad,beauty
"""/cdn/shop/"" ""Aurangabad"" ""beauty"" GSTIN India store",https://www.companydetails.in/year/2023/C,web-search-final,Aurangabad,beauty
"""/cdn/shop/"" ""Aurangabad"" ""beauty"" GSTIN India store",https://id.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Aurangabad,beauty
"""Powered by Shopify"" ""Kolhapur"" ""skincare"" contact India merchant",https://skinandhairsolutions.in/products/melactis-pigment-corrector-serum,web-search-final,Kolhapur,skincare
"""Powered by Shopify"" ""Kolhapur"" ""skincare"" contact India merchant",https://www.clickoncare.com/ko/collections/abbott?limit=15&page=2,web-search-final,Kolhapur,skincare
"""Powered by Shopify"" ""Kolhapur"" ""skincare"" contact India merchant",https://www.scribd.com/document/959004896/SM-2025-Exhibitor-Directory,web-search-final,Kolhapur,skincare
"""/cdn/shop/"" ""Kolhapur"" ""home decor"" GSTIN India store",https://id.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Kolhapur,home decor
"""/cdn/shop/"" ""Kolhapur"" ""home decor"" GSTIN India store",https://www.scribd.com/document/832531298/Network-Hospital-Go-Digit,web-search-final,Kolhapur,home decor
"""/cdn/shop/"" ""Kolhapur"" ""home decor"" GSTIN India store",https://www.indianconstructionindustry.com/sitemap.html,web-search-final,Kolhapur,home decor
"""/cdn/shop/"" ""Kolhapur"" ""home decor"" GSTIN India store",https://ro.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Kolhapur,home decor
"""/cdn/shop/"" ""Kolhapur"" ""home decor"" GSTIN India store",https://pt.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Kolhapur,home decor
"""/cdn/shop/"" ""Kolhapur"" ""home decor"" GSTIN India store",https://it.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Kolhapur,home decor
"""Powered by Shopify"" ""Gandhinagar"" ""furniture"" contact India merchant",https://www.scribd.com/document/868314090/Red-Herring-Prospectus,web-search-final,Gandhinagar,furniture
"""Powered by Shopify"" ""Gandhinagar"" ""furniture"" contact India merchant",https://zenkins.com/services/e-commerce-development/,web-search-final,Gandhinagar,furniture
"""Powered by Shopify"" ""Gandhinagar"" ""furniture"" contact India merchant",https://www.sitelike.org/similar/kohlsecommerce.com/,web-search-final,Gandhinagar,furniture
"""/cdn/shop/"" ""Gandhinagar"" ""footwear"" GSTIN India store",https://www.scribd.com/document/587501963/MSME-Samples,web-search-final,Gandhinagar,footwear
"""/cdn/shop/"" ""Gandhinagar"" ""footwear"" GSTIN India store",https://pt.scribd.com/document/519682719/CompReg-21SEPTEMBER2018,web-search-final,Gandhinagar,footwear
"""/cdn/shop/"" ""Gandhinagar"" ""footwear"" GSTIN India store",https://id.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Gandhinagar,footwear
"""/cdn/shop/"" ""Gandhinagar"" ""footwear"" GSTIN India store",https://www.companydetails.in/year/2023/C,web-search-final,Gandhinagar,footwear
"""/cdn/shop/"" ""Gandhinagar"" ""footwear"" GSTIN India store",https://www.zaubacorp.com/company-by-address/A-111-5-DHEERAN-NAGAR-THURAIMANGALAM-PERAMBALUR-PERAMBALUR-TN-621220-IN,web-search-final,Gandhinagar,footwear
"""Powered by Shopify"" ""Nashik"" ""accessories"" contact India merchant",https://avnikk.com/products/moss-green-regal-mirror-work-kurta,web-search-final,Nashik,accessories
"""Powered by Shopify"" ""Nashik"" ""accessories"" contact India merchant",https://shop.wheelseye.com/pages/store-locator,web-search-final,Nashik,accessories
"""Powered by Shopify"" ""Nashik"" ""accessories"" contact India merchant",https://www.livinstyles.com/collections/shoe-racks,web-search-final,Nashik,accessories
"""Powered by Shopify"" ""Nashik"" ""accessories"" contact India merchant",https://skybags.co.in/products/azure-4w-exp-strolly-69-ast,web-search-final,Nashik,accessories
"""Powered by Shopify"" ""Nashik"" ""accessories"" contact India merchant",https://osmbeautyland.com/collections/shop-now-13,web-search-final,Nashik,accessories
"""Powered by Shopify"" ""Nashik"" ""accessories"" contact India merchant",https://suwasna.com/collections/crystals,web-search-final,Nashik,accessories
"""Powered by Shopify"" ""Nashik"" ""accessories"" contact India merchant",https://powersports.in/products/viaterra-miller-street-mesh-riding-pant,web-search-final,Nashik,accessories
"""Powered by Shopify"" ""Nashik"" ""accessories"" contact India merchant",https://www.cosylabs.club/products/chonkers-sofa-bed-grey,web-search-final,Nashik,accessories
"""/cdn/shop/"" ""Nashik"" ""food"" GSTIN India store",https://wellbeingnutrition.com/products/probiotic-prebiotic-effervescent-tablets?_fid=6e74c6c17&_pos=46&_ss=c,web-search-final,Nashik,food
"""/cdn/shop/"" ""Nashik"" ""food"" GSTIN India store",https://pt.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Nashik,food
"""/cdn/shop/"" ""Nashik"" ""food"" GSTIN India store",https://www.scribd.com/document/236880658/Crisil-Sme-Connect-Aug12,web-search-final,Nashik,food
"""/cdn/shop/"" ""Nashik"" ""food"" GSTIN India store",https://id.scribd.com/document/369099693/Crisil-Sme-Connect-Oct-13,web-search-final,Nashik,food
"""/cdn/shop/"" ""Nashik"" ""food"" GSTIN India store",https://hypestat.com/info/biskut.in,web-search-final,Nashik,food
"""/cdn/shop/"" ""Nashik"" ""food"" GSTIN India store",https://tools.digitaltrainee.in/domain/theobroma.in,web-search-final,Nashik,food
"""/cdn/shop/"" ""Nashik"" ""food"" GSTIN India store",https://dialtoneapp.com/top-sites/theobroma.in,web-search-final,Nashik,food
"""/cdn/shop/"" ""Nashik"" ""food"" GSTIN India store",https://www.zaubacorp.com/company-by-address/TOWER-NO-1--FLAT-NO--602--PALM-ROYALE-ESTATE-NEAR-SANGHA-CHOWK--BANK-ENCLAVE-----JALANDHAR--PUNJAB--INDIA---144003,web-search-final,Nashik,food
