query,result_url,source,location,category_hint
"""Powered by Shopify"" ""Uttar Pradesh"" ""furniture"" India store",https://acehard.in/products/terra-solid-brass-furniture-knob,web-search-final,Uttar Pradesh,furniture
"""Powered by Shopify"" ""Uttar Pradesh"" ""furniture"" India store",https://www.99store.co.in/collections/under-599,web-search-final,Uttar Pradesh,furniture
"""Powered by Shopify"" ""Uttar Pradesh"" ""furniture"" India store",https://thepiecraft.in/collections/swirl-wave-rugs,web-search-final,Uttar Pradesh,furniture
"""Powered by Shopify"" ""Uttar Pradesh"" ""furniture"" India store",https://ikiru.in/collections/manor-house/products/pizza-slice-shaped-wooden-serving-platter-set-of-2-for-kitchen-serveware,web-search-final,Uttar Pradesh,furniture
"""Powered by Shopify"" ""Uttar Pradesh"" ""furniture"" India store",https://www.therugrepublic.in/products/fenney-rug-beige-grey-punja-kelim-pet,web-search-final,Uttar Pradesh,furniture
"""Powered by Shopify"" ""Uttar Pradesh"" ""furniture"" India store",https://www.carpetlive.com/product/colorado-rugs-gery/,web-search-final,Uttar Pradesh,furniture
"""Powered by Shopify"" ""Uttar Pradesh"" ""footwear"" India store",https://www.nagadesigns.in/,web-search-final,Uttar Pradesh,footwear
"""Powered by Shopify"" ""Uttar Pradesh"" ""footwear"" India store",https://www.columbiasportswear.co.in/collections/trail-running-activity-footwear,web-search-final,Uttar Pradesh,footwear
"""Powered by Shopify"" ""Uttar Pradesh"" ""footwear"" India store",https://zebba.co.in/pages/terms-and-conditions,web-search-final,Uttar Pradesh,footwear
"""Powered by Shopify"" ""Uttar Pradesh"" ""footwear"" India store",https://jackobmartin.com/,web-search-final,Uttar Pradesh,footwear
"""Powered by Shopify"" ""Uttar Pradesh"" ""footwear"" India store",https://www.carlo-romano.com/products/carlo-romano-by-wasan-vegan-leather-lizard-print-moccasin-for-women,web-search-final,Uttar Pradesh,footwear
"""Powered by Shopify"" ""Uttar Pradesh"" ""footwear"" India store",https://matr.in/products/matr-lifestyle-men-s-tan-leather-woven-moc-toe-loafers,web-search-final,Uttar Pradesh,footwear
"""Powered by Shopify"" ""Uttar Pradesh"" ""accessories"" India store",https://www.dirtaccessories.in/policies/terms-of-service,web-search-final,Uttar Pradesh,accessories
"""Powered by Shopify"" ""Uttar Pradesh"" ""accessories"" India store",https://www.nagadesigns.in/,web-search-final,Uttar Pradesh,accessories
"""Powered by Shopify"" ""Uttar Pradesh"" ""accessories"" India store",https://ark-treasures.com/,web-search-final,Uttar Pradesh,accessories
"""Powered by Shopify"" ""Uttar Pradesh"" ""accessories"" India store",https://www.columbiasportswear.co.in/collections/hiking-trekking-accessories-under-shirts-under-wear,web-search-final,Uttar Pradesh,accessories
"""Powered by Shopify"" ""Uttar Pradesh"" ""accessories"" India store",https://gownlink.in/products/gownlink-first-holy-communion-frock-9-to-14-years-hlc-frill,web-search-final,Uttar Pradesh,accessories
"""Powered by Shopify"" ""Uttar Pradesh"" ""accessories"" India store",https://www.99store.co.in/collections/under-199,web-search-final,Uttar Pradesh,accessories
"""Powered by Shopify"" ""Uttar Pradesh"" ""accessories"" India store",https://www.thebigwig.in/collections,web-search-final,Uttar Pradesh,accessories
"""Powered by Shopify"" ""Uttar Pradesh"" ""accessories"" India store",https://printbharat.com/products/copy-of-tere-bhai-ko-chadti-nahi-hai-beer-mug-1000ml,web-search-final,Uttar Pradesh,accessories
"""Powered by Shopify"" ""Uttar Pradesh"" ""food"" India store",https://naturin.in/,web-search-final,Uttar Pradesh,food
"""Powered by Shopify"" ""Uttar Pradesh"" ""food"" India store",https://nutrizova.com/policies/terms-of-service,web-search-final,Uttar Pradesh,food
"""Powered by Shopify"" ""Uttar Pradesh"" ""food"" India store",https://bmsnaturals.com/collections/bestsellers,web-search-final,Uttar Pradesh,food
"""Powered by Shopify"" ""Uttar Pradesh"" ""food"" India store",https://lacysnacks.in/products/soan-papdi,web-search-final,Uttar Pradesh,food
"""Powered by Shopify"" ""Uttar Pradesh"" ""food"" India store",https://grael.in/,web-search-final,Uttar Pradesh,food
"""Powered by Shopify"" ""Uttar Pradesh"" ""food"" India store",https://ark-treasures.com/,web-search-final,Uttar Pradesh,food
"""Powered by Shopify"" ""Uttar Pradesh"" ""food"" India store",https://printbharat.com/products/3-grid-stainless-steel-personalized-insulated-lunch-box,web-search-final,Uttar Pradesh,food
"""Powered by Shopify"" ""Uttar Pradesh"" ""food"" India store",https://www.upagrofoods.com/products/black-mustard-oil,web-search-final,Uttar Pradesh,food
"""Powered by Shopify"" ""Uttar Pradesh"" ""fitness"" India store",https://www.dirtaccessories.in/policies/terms-of-service,web-search-final,Uttar Pradesh,fitness
"""Powered by Shopify"" ""Uttar Pradesh"" ""fitness"" India store",https://www.stayspellbound.com/,web-search-final,Uttar Pradesh,fitness
"""Powered by Shopify"" ""Uttar Pradesh"" ""fitness"" India store",https://www.columbiasportswear.co.in/products/columbia-men-black-omni-freeze-zero-rules-polo-tshirt-aj4872-011,web-search-final,Uttar Pradesh,fitness
"""Powered by Shopify"" ""Uttar Pradesh"" ""fitness"" India store",https://www.99store.co.in/products/neckband,web-search-final,Uttar Pradesh,fitness
"""Powered by Shopify"" ""Uttar Pradesh"" ""fitness"" India store",https://fitandfierce.in/pages/about-us,web-search-final,Uttar Pradesh,fitness
"""Powered by Shopify"" ""Uttar Pradesh"" ""fitness"" India store",https://supermusclesnutrition.com/pages/the-missions,web-search-final,Uttar Pradesh,fitness
"""Powered by Shopify"" ""Uttar Pradesh"" ""fitness"" India store",https://shop.kibisports.com/collections/brand-rxn/handwraps,web-search-final,Uttar Pradesh,fitness
"""Powered by Shopify"" ""Uttar Pradesh"" ""fitness"" India store",https://www.kilternutrition.com/products/kilter-nutrition-micronised-creatine-lemon-lime,web-search-final,Uttar Pradesh,fitness
"""Powered by Shopify"" ""Uttar Pradesh"" ""kids"" India store",https://www.nagadesigns.in/,web-search-final,Uttar Pradesh,kids
"""Powered by Shopify"" ""Uttar Pradesh"" ""kids"" India store",https://hookaba.com/products/eye-rover-junior,web-search-final,Uttar Pradesh,kids
"""Powered by Shopify"" ""Uttar Pradesh"" ""kids"" India store",https://miakkins.com/products/baby-of-mine-premium-waterproof-drawstring-backpack-for-swimming-gym-yoga-tuition-for-3-10-years-girls-and-boys-rabbit-sky-print,web-search-final,Uttar Pradesh,kids
"""Powered by Shopify"" ""Uttar Pradesh"" ""kids"" India store",https://thewhitewillow.in/collections/family-comfort?page=1,web-search-final,Uttar Pradesh,kids
"""Powered by Shopify"" ""Uttar Pradesh"" ""kids"" India store",https://kidzley.in/,web-search-final,Uttar Pradesh,kids
"""Powered by Shopify"" ""Uttar Pradesh"" ""kids"" India store",https://printbharat.com/products/personalised-led-animal-lamp-safari-jungle-animals-light-animals-night-lamp-birth-gift-for-kids-baby-bedside-lamp-1st-birthday-gift,web-search-final,Uttar Pradesh,kids
"""Powered by Shopify"" ""Uttar Pradesh"" ""kids"" India store",https://www.columbiasportswear.co.in/collections/kids-accessories-hat,web-search-final,Uttar Pradesh,kids
"""Powered by Shopify"" ""Uttar Pradesh"" ""kids"" India store",https://pocomico.com/collections/kurta-pajama-for-boys,web-search-final,Uttar Pradesh,kids
"""Powered by Shopify"" ""Lucknow"" ""food"" India store",https://scoplife.com/products/scoplife-hibiscus-flower-herbal-tea-natural-colorant-used-for-iced-tea-cocktails-mocktail-syrups-vegan-gmo-free-50-grams-pack-of-1,web-search-final,Lucknow,food
"""Powered by Shopify"" ""Lucknow"" ""food"" India store",https://mower.land/products/big-green-egg-large-modular-corner,web-search-final,Lucknow,food
"""Powered by Shopify"" ""Lucknow"" ""food"" India store",https://vedriti.in/collections/cooking-oils,web-search-final,Lucknow,food
"""Powered by Shopify"" ""Lucknow"" ""food"" India store",https://spoonsaathi.com/,web-search-final,Lucknow,food
"""Powered by Shopify"" ""Lucknow"" ""food"" India store",https://www.upagrofoods.com/products/black-sesame-seed-oil,web-search-final,Lucknow,food
"""Powered by Shopify"" ""Lucknow"" ""food"" India store",https://www.northernspices.in/collections/bestsellers,web-search-final,Lucknow,food
"""Powered by Shopify"" ""Lucknow"" ""food"" India store",https://aazol.in/products/premium-dry-fruit-gond-laddu,web-search-final,Lucknow,food
"""Powered by Shopify"" ""Lucknow"" ""food"" India store",https://zaffronmasala.com/,web-search-final,Lucknow,food
"""/cdn/shop/"" ""Lucknow"" ""fitness"" India store",https://wellbeingnutrition.com/products/vegan-protein-canadian-mixed-berry?variant=40935133937744,web-search-final,Lucknow,fitness
"""/cdn/shop/"" ""Lucknow"" ""fitness"" India store",https://www.headphonezone.in/products/jabra-elite-active-75t,web-search-final,Lucknow,fitness
"""/cdn/shop/"" ""Lucknow"" ""fitness"" India store",https://www.ldiisampit.or.id/2023/02/all-about-google.html,web-search-final,Lucknow,fitness
"""/cdn/shop/"" ""Lucknow"" ""fitness"" India store",https://www.usdglobalweb.com/,web-search-final,Lucknow,fitness
"""/cdn/shop/"" ""Lucknow"" ""fitness"" India store",https://www.zaubacorp.com/company-by-address/SHOP-NO-25-26--FIRST-FLOOR-KALKA-SHIMLA-HIGHWAY--WADHAVA-NAGAR-----BALTANA--PUNJAB--INDIA---140604,web-search-final,Lucknow,fitness
"""/cdn/shop/"" ""Lucknow"" ""kids"" India store",https://duckduckbaby.in/products/kiddough-safety-lock-furniture-latch-protects-child-from-unexpected-opening-of-cabinets-other-drawers-pack-of-8-grey,web-search-final,Lucknow,kids
"""/cdn/shop/"" ""Lucknow"" ""kids"" India store",https://keeros.in/collections/frontpage?page=2,web-search-final,Lucknow,kids
"""/cdn/shop/"" ""Lucknow"" ""kids"" India store",https://prokicksports.com/products/sg-x-lsg-3-0-duffle-cricket-kitbag-youth-blue-orange-spacious-3-compartments-water-resistant-base-premium-team-edition,web-search-final,Lucknow,kids
"""/cdn/shop/"" ""Lucknow"" ""kids"" India store",https://itokri.com/products/lucknowi-hand-embroidered-cotton-chikankari-3pc-unstitched-dress-material-105-2025-1666-1-105,web-search-final,Lucknow,kids
"""/cdn/shop/"" ""Lucknow"" ""kids"" India store",https://themomstore.in/products/kiddough-kids-safety-harness-belt-for-two-wheelers-with-storage-black,web-search-final,Lucknow,kids
