query,result_url,source,location,category_hint
"""Powered by Shopify"" ""West Bengal"" ""fashion"" India store",https://saarbyrajkumars.com/,web-search-final,West Bengal,fashion
"""Powered by Shopify"" ""West Bengal"" ""fashion"" India store",https://synergybysm.com/,web-search-final,West Bengal,fashion
"""Powered by Shopify"" ""West Bengal"" ""fashion"" India store",https://gandharihub.com/,web-search-final,West Bengal,fashion
"""Powered by Shopify"" ""West Bengal"" ""fashion"" India store",https://www.comfortlady.co.in/,web-search-final,West Bengal,fashion
"""Powered by Shopify"" ""West Bengal"" ""fashion"" India store",https://rupasifashion.in/collections/nighties,web-search-final,West Bengal,fashion
"""Powered by Shopify"" ""West Bengal"" ""fashion"" India store",https://palki.co.in/collections/saree,web-search-final,West Bengal,fashion
"""Powered by Shopify"" ""West Bengal"" ""fashion"" India store",https://mouprints.com/,web-search-final,West Bengal,fashion
"""Powered by Shopify"" ""West Bengal"" ""fashion"" India store",https://crazypenguinelite.com/,web-search-final,West Bengal,fashion
"""Powered by Shopify"" ""West Bengal"" ""clothing"" India store",https://gandharihub.com/,web-search-final,West Bengal,clothing
"""Powered by Shopify"" ""West Bengal"" ""clothing"" India store",https://crazypenguinelite.com/,web-search-final,West Bengal,clothing
"""Powered by Shopify"" ""West Bengal"" ""clothing"" India store",https://houseofmisaki.com/collections/clothing,web-search-final,West Bengal,clothing
"""Powered by Shopify"" ""West Bengal"" ""clothing"" India store",https://vrindaclothing.in/products/priyamvada-lehenga-set,web-search-final,West Bengal,clothing
"""Powered by Shopify"" ""West Bengal"" ""clothing"" India store",https://sevendaysclothing.com/,web-search-final,West Bengal,clothing
"""Powered by Shopify"" ""West Bengal"" ""clothing"" India store",https://24street.in/products/mens-brown-superior-fit-cargo-joggers-copy,web-search-final,West Bengal,clothing
"""Powered by Shopify"" ""West Bengal"" ""jewellery"" India store",https://siennastore.com/collections/jewellery,web-search-final,West Bengal,jewellery
"""Powered by Shopify"" ""West Bengal"" ""jewellery"" India store",https://houseofmisaki.com/,web-search-final,West Bengal,jewellery
"""Powered by Shopify"" ""West Bengal"" ""jewellery"" India store",https://www.thesaje.com/collections,web-search-final,West Bengal,jewellery
"""Powered by Shopify"" ""West Bengal"" ""jewellery"" India store",https://bongtrendz.in/collections/all,web-search-final,West Bengal,jewellery
"""Powered by Shopify"" ""West Bengal"" ""jewellery"" India store",https://www.simaayafashions.com/products/designer-blue-colour-hand-embroidered-drape-skirt-jacket-set,web-search-final,West Bengal,jewellery
"""Powered by Shopify"" ""West Bengal"" ""jewellery"" India store",https://mygoldenwish.com/products/square-locket-sitahar,web-search-final,West Bengal,jewellery
"""Powered by Shopify"" ""West Bengal"" ""jewellery"" India store",https://coplio.com/,web-search-final,West Bengal,jewellery
"""Powered by Shopify"" ""West Bengal"" ""jewellery"" India store",https://folkbazar.com/products/naugadi,web-search-final,West Bengal,jewellery
"""Powered by Shopify"" ""West Bengal"" ""beauty"" India store",https://beautyheven.com/products/pippal-sky-high-eyeliner-1-pcs-with-mascara-ultra-volume-up-volumizing-mascara-for-bold-and-dramatic-lashes-long-lasting-waterproof-10gm-pack-of-1-cv8p6t259o3h4p4k7qjg?variant=43389946560602,web-search-final,West Bengal,beauty
"""Powered by Shopify"" ""West Bengal"" ""beauty"" India store",https://naturesoftprofessional.com/collections/all,web-search-final,West Bengal,beauty
"""Powered by Shopify"" ""West Bengal"" ""beauty"" India store",https://www.shop.witchwayout.in/products/long-simple-red-daily-ritual-candle-altar-candle-by-witch-way-out,web-search-final,West Bengal,beauty
"""Powered by Shopify"" ""West Bengal"" ""beauty"" India store",https://arishbionatural.com/,web-search-final,West Bengal,beauty
"""Powered by Shopify"" ""West Bengal"" ""beauty"" India store",https://sevenoceanherbals.com/products/khukumoni-marron-dust-sindoor-3pcs,web-search-final,West Bengal,beauty
"""Powered by Shopify"" ""West Bengal"" ""beauty"" India store",https://www.comfortlady.co.in/,web-search-final,West Bengal,beauty
"""Powered by Shopify"" ""West Bengal"" ""beauty"" India store",https://inscalehome.com/products/versailles-rose-bouquet-magenta-with-gold-badge,web-search-final,West Bengal,beauty
"""Powered by Shopify"" ""West Bengal"" ""beauty"" India store",https://sastadeals.shop/,web-search-final,West Bengal,beauty
"""Powered by Shopify"" ""West Bengal"" ""skincare"" India store",https://naturesoftprofessional.com/collections/all,web-search-final,West Bengal,skincare
"""Powered by Shopify"" ""West Bengal"" ""skincare"" India store",https://arishbionatural.com/products/tanclear-pack,web-search-final,West Bengal,skincare
"""Powered by Shopify"" ""West Bengal"" ""skincare"" India store",https://beautyheven.com/products/pippal-sky-high-eyeliner-1-pcs-with-mascara-ultra-volume-up-volumizing-mascara-for-bold-and-dramatic-lashes-long-lasting-waterproof-10gm-pack-of-1-cv8p6t259o3h4p4k7qjg?variant=43389946560602,web-search-final,West Bengal,skincare
"""Powered by Shopify"" ""West Bengal"" ""skincare"" India store",https://sevenoceanherbals.com/products/khukumoni-marron-dust-sindoor-3pcs,web-search-final,West Bengal,skincare
"""Powered by Shopify"" ""West Bengal"" ""home decor"" India store",https://nestauraliving.in/products/multifunctional-air-duster-cleaner-d6l8rh3b0b6s73cjh3q0,web-search-final,West Bengal,home decor
"""Powered by Shopify"" ""West Bengal"" ""home decor"" India store",https://kayradecor.com/products/kayra-decor-rhombus-design-stencil-for-wall-painting,web-search-final,West Bengal,home decor
"""Powered by Shopify"" ""West Bengal"" ""home decor"" India store",https://inscalehome.com/products/tea-rose-bouquet-in-clear-glass-french-pink,web-search-final,West Bengal,home decor
"""Powered by Shopify"" ""West Bengal"" ""home decor"" India store",https://www.adikala.in/collections/craft-store-in-kolkata?page=45,web-search-final,West Bengal,home decor
"""Powered by Shopify"" ""West Bengal"" ""home decor"" India store",https://fusionfurnishing.com/products/leaf-motif-resin-tray,web-search-final,West Bengal,home decor
"""Powered by Shopify"" ""West Bengal"" ""home decor"" India store",https://www.sanskritivintage.com/collections/west-bengal?page=301,web-search-final,West Bengal,home decor
"""Powered by Shopify"" ""West Bengal"" ""home decor"" India store",https://kstkitchify.com/products/mosquito-killer-lamp-light-wave-trapping-suction?variant=45866955407558,web-search-final,West Bengal,home decor
"""Powered by Shopify"" ""West Bengal"" ""home decor"" India store",https://grasscrafts.com/collections,web-search-final,West Bengal,home decor
"""Powered by Shopify"" ""Kolkata"" ""beauty"" India store",https://boroplushealthyskin.com/,web-search-final,Kolkata,beauty
"""Powered by Shopify"" ""Kolkata"" ""beauty"" India store",https://www.onushshar.com/products/pink-gradient-rose-branch-square-alligator-hair-clip,web-search-final,Kolkata,beauty
"""Powered by Shopify"" ""Kolkata"" ""beauty"" India store",https://arishbionatural.com/,web-search-final,Kolkata,beauty
"""Powered by Shopify"" ""Kolkata"" ""beauty"" India store",https://www.osheaherbals.com/collections/oshea-colours,web-search-final,Kolkata,beauty
"""/cdn/shop/"" ""Kolkata"" ""skincare"" India store",https://duckduckbaby.in/products/orimii-c-glow-booster-serum-spf-15-with-vitamin-c-targets-uneven-skin-tone-pregnancy-and-breastfeeding-safe,web-search-final,Kolkata,skincare
"""/cdn/shop/"" ""Kolkata"" ""skincare"" India store",https://mystiqare.com/products/labubu-doll,web-search-final,Kolkata,skincare
"""/cdn/shop/"" ""Kolkata"" ""skincare"" India store",https://themomstore.in/products/orimii-all-a-mama-wants-gift-box-with-pregnancy-safe-skincare-baby-shower-gift-set?pr_prod_strat=jac&pr_rec_id=b692b0547&pr_rec_pid=8004957962426&pr_ref_pid=8247298228410&pr_seq=uniform,web-search-final,Kolkata,skincare
"""/cdn/shop/"" ""Kolkata"" ""skincare"" India store",https://thegoodroutine.com/products/chia-seeds-kumkumadi-face-scrub-potion-27,web-search-final,Kolkata,skincare
"""/cdn/shop/"" ""Kolkata"" ""home decor"" India store",https://cyrillus.com/en/products/m-bouti-boutis-imp-padang_4379?variant=53044477591899,web-search-final,Kolkata,home decor
"""/cdn/shop/"" ""Kolkata"" ""home decor"" India store",https://printandproper.co/collections/illustrations-drawings/products/kolkata-india-cocktail-art-print-by-the-whiskey-ginger,web-search-final,Kolkata,home decor
"""/cdn/shop/"" ""Kolkata"" ""home decor"" India store",https://aonaindia.com/products/wooden-art-work-kolkata-frame-wall-decor-8-x-8-inch,web-search-final,Kolkata,home decor
"""/cdn/shop/"" ""Kolkata"" ""home decor"" India store",https://www.nookatyou.com/products/blue-valley-landscape-canvas-painting,web-search-final,Kolkata,home decor
"""/cdn/shop/"" ""Kolkata"" ""home decor"" India store",https://itokri.com/products/traditional-handmade-bead-work-wall-hanging-for-home-decor-63-2026-807-1-63,web-search-final,Kolkata,home decor
"""/cdn/shop/"" ""Kolkata"" ""home decor"" India store",https://theplatedproject.com/products/emerald-windows-gallery-wall-art-set,web-search-final,Kolkata,home decor
"""shopify-section"" ""Kolkata"" ""furniture"" India store",https://investors.synchrony.com/filings-regulatory/sec-filings/all-sec-filings/content/0001601712-26-000006/syf-20251231.htm,web-search-final,Kolkata,furniture
"""shopify-section"" ""Kolkata"" ""furniture"" India store",https://www.scribd.com/document/541830575/India-D2C-Yearbook-2021,web-search-final,Kolkata,furniture
"""shopify-section"" ""Kolkata"" ""furniture"" India store",https://www.justdial.com/Kolkata/DPD-in-New-Howrah-Bridge-Approach-Road-Lal-Bazar/nct-12099423,web-search-final,Kolkata,furniture
"""shopify-section"" ""Kolkata"" ""furniture"" India store",https://ncrhiring.in/,web-search-final,Kolkata,furniture
"""shopify-section"" ""Kolkata"" ""furniture"" India store",https://fliphtml5.com/lcvsn/TMW_20250601/,web-search-final,Kolkata,furniture
"""shopify-section"" ""Kolkata"" ""furniture"" India store",https://www.researchgate.net/publication/382265116_Recent_Trends_in_Management_and_Commerce,web-search-final,Kolkata,furniture
"""shopify-section"" ""Kolkata"" ""furniture"" India store",https://www.saashub.com/startups/india,web-search-final,Kolkata,furniture
"""cdn.shopify.com"" ""Kolkata"" ""accessories"" India store",https://hypestat.com/info/kreationbykj.in,web-search-final,Kolkata,accessories
"""cdn.shopify.com"" ""Kolkata"" ""accessories"" India store",https://www.goodreturns.in/company/sreeleathers/director-report.html,web-search-final,Kolkata,accessories
"""cdn.shopify.com"" ""Kolkata"" ""accessories"" India store",https://anmoldecorekolkata.blogspot.com/,web-search-final,Kolkata,accessories
"""cdn.shopify.com"" ""Kolkata"" ""accessories"" India store",https://nsearchives.nseindia.com/corporate/9880504433_17102025144625_newspaper_publication_q2FY25_signed.pdf,web-search-final,Kolkata,accessories
"""cdn.shopify.com"" ""Kolkata"" ""accessories"" India store",https://gridinsoft.com/online-virus-scanner/url/leathertalks-com,web-search-final,Kolkata,accessories
"""cdn.shopify.com"" ""Kolkata"" ""accessories"" India store",https://grownexpackaging.com/blogs/grownex-packaging/navaratri-2026-gift-ideas,web-search-final,Kolkata,accessories
"""cdn.shopify.com"" ""Kolkata"" ""accessories"" India store",https://www.headphonezone.in/products/ifi-audio-audiophile-otg,web-search-final,Kolkata,accessories
"""cdn.shopify.com"" ""Kolkata"" ""accessories"" India store",https://myborosil.com/products/larah-opalware-red-strip-mug-1-pc,web-search-final,Kolkata,accessories
