result_url,query,source,location,signal,category_hint
https://skinon.in,"""Powered by Shopify"" ""Bengaluru"" skincare",web-search,Bengaluru,Powered by Shopify,skincare
https://french-nova.com,"""Powered by Shopify"" ""Bengaluru"" skincare",web-search,Bengaluru,Powered by Shopify,fashion
https://my-medical.in,"""Powered by Shopify"" ""Bengaluru"" skincare",web-search,Bengaluru,Powered by Shopify,health
https://ayusadhya.in,"""Powered by Shopify"" ""Bengaluru"" skincare",web-search,Bengaluru,Powered by Shopify,wellness
https://genmall.store,"""Powered by Shopify"" ""Bengaluru"" skincare",web-search,Bengaluru,Powered by Shopify,general
https://tavisa.in,"""Powered by Shopify"" ""Bengaluru"" skincare",web-search,Bengaluru,Powered by Shopify,fashion
https://organiikhar.com,"""Powered by Shopify"" ""Bengaluru"" skincare",web-search,Bengaluru,Powered by Shopify,skincare
https://shopatspottlite.com,"""Powered by Shopify"" ""Bengaluru"" skincare",web-search,Bengaluru,Powered by Shopify,fashion
https://oppomobile.co.in,"""Powered by Shopify"" ""Karnataka"" ""GSTIN"" store",web-search,Karnataka,Powered by Shopify,electronics
https://vcreate4uhub.co.in,"""Powered by Shopify"" ""Karnataka"" ""GSTIN"" store",web-search,Karnataka,Powered by Shopify,general
https://royalfrench.in,"""Powered by Shopify"" ""Karnataka"" ""GSTIN"" store",web-search,Karnataka,Powered by Shopify,fashion
https://7balanced.in,"""Powered by Shopify"" ""Karnataka"" ""GSTIN"" store",web-search,Karnataka,Powered by Shopify,wellness
https://vastraamall.in,"""Powered by Shopify"" ""Karnataka"" ""GSTIN"" store",web-search,Karnataka,Powered by Shopify,clothing
https://mandarinaduck.in,"""Powered by Shopify"" ""Karnataka"" ""GSTIN"" store",web-search,Karnataka,Powered by Shopify,accessories
https://giftelle.in,"""Powered by Shopify"" ""Karnataka"" ""GSTIN"" store",web-search,Karnataka,Powered by Shopify,gifts
https://ampkrafts.com,"""Powered by Shopify"" ""Karnataka"" ""GSTIN"" store",web-search,Karnataka,Powered by Shopify,home decor
https://thecollectors.in/collections/classic-english-furniture,"""Powered by Shopify"" ""India"" furniture ""GSTIN""",web-search,Bengaluru,Powered by Shopify,furniture
