result_url,query,source,location,signal,category_hint
https://hkpmuclinic.com,"""Powered by Shopify"" ""Delhi"" India store",web-search,Delhi,Powered by Shopify,beauty
https://serendipitydelhi.com,"""Powered by Shopify"" ""Delhi"" India store",web-search,Delhi,Powered by Shopify,fashion
https://thewyw.com,"""Powered by Shopify"" ""Delhi"" India store",web-search,Delhi,Powered by Shopify,fashion
https://delhifashionfactory.com,"""Powered by Shopify"" ""Delhi"" India store",web-search,Delhi,Powered by Shopify,fashion
https://zyvanea.com,"""Powered by Shopify"" ""Delhi"" India store",web-search,Delhi,Powered by Shopify,fashion
https://evrydy.in,"""Powered by Shopify"" ""Delhi"" India store",web-search,Delhi,Powered by Shopify,clothing
https://koushikdesignersindia.com,"""Powered by Shopify"" ""Delhi"" India store",web-search,Delhi,Powered by Shopify,fashion
https://sizeupp.com,"""Powered by Shopify"" ""Noida"" India store",web-search,Noida,Powered by Shopify,fashion
https://suchayaan.com,"""Powered by Shopify"" ""Gurugram"" India store",web-search,Gurugram,Powered by Shopify,fashion
https://subheccha.com,"""Powered by Shopify"" ""Noida"" India store",web-search,Noida,Powered by Shopify,fashion
https://houseofkaura.com,"""Powered by Shopify"" ""Gurugram"" India store",web-search,Gurugram,Powered by Shopify,fashion
https://gemhub.in,"""Powered by Shopify"" ""Haryana"" ""GSTIN"" store",web-search,Gurugram,Powered by Shopify,jewellery
https://alankritive.com,"""Powered by Shopify"" ""Haryana"" ""GSTIN"" store",web-search,Haryana,Powered by Shopify,home decor
https://charkhee.com/collections/charkhee-home,"""Powered by Shopify"" ""Haryana"" ""GSTIN"" store",web-search,Gurugram,Powered by Shopify,home decor
https://primiumessentials.com,"""Powered by Shopify"" ""Haryana"" ""GSTIN"" store",web-search,Gurugram,Powered by Shopify,home decor
https://decorbajar.com/collections,"""Powered by Shopify"" ""Haryana"" ""GSTIN"" store",web-search,Panipat,Powered by Shopify,home decor
https://connectwithayurveda.com/policies/terms-of-service,"""Powered by Shopify"" ""India"" beauty ""GSTIN""",web-search,Ghaziabad,Powered by Shopify,wellness
https://mahaveerelectronic.myshopify.com,"""Powered by Shopify"" ""India"" furniture ""GSTIN""",web-search,Delhi,Powered by Shopify,electronics
https://thewelayu.com/pages/terms-of-service,"""Powered by Shopify"" ""India"" beauty ""GSTIN""",web-search,Delhi,Powered by Shopify,beauty
https://uberdecor.in/collections/benches-ottomans-pouffes,"""Powered by Shopify"" ""India"" furniture ""GSTIN""",web-search,Delhi,Powered by Shopify,furniture
https://herbocleanz.com/collections/all,"""Powered by Shopify"" ""Uttarakhand"" India ""Address""",web-search,Dehradun,Powered by Shopify,home care
