result_url,query,source,location,signal,category_hint
https://52store.in,"""cdn.shopify.com"" ""Mumbai"" fashion",web-search,Mumbai,cdn.shopify.com,fashion
https://ponytailsalonspa.com,"""cdn.shopify.com"" ""Mumbai"" fashion",web-search,Mumbai,cdn.shopify.com,beauty
https://ranithestudio.com,"""Powered by Shopify"" ""Mumbai"" India store",web-search,Mumbai,Powered by Shopify,fashion
https://aadhyawomensclothingstore.com,"""Powered by Shopify"" ""Mumbai"" India store",web-search,Mumbai,Powered by Shopify,clothing
https://aqsaclothing.in,"""Powered by Shopify"" ""Mumbai"" India store",web-search,Mumbai,Powered by Shopify,clothing
https://fraisfarms.com,"""Powered by Shopify"" ""Mumbai"" India store",web-search,Mumbai,Powered by Shopify,food
https://shrisanyogini.com,"""Powered by Shopify"" ""Mumbai"" India store",web-search,Mumbai,Powered by Shopify,fashion
https://fabwear.in,"""Powered by Shopify"" ""Pune"" store India",web-search,Pune,Powered by Shopify,fashion
https://signorajewels.com,"""Powered by Shopify"" ""Maharashtra"" ""GSTIN"" store",web-search,Maharashtra,Powered by Shopify,jewellery
https://statementps.com,"""Powered by Shopify"" ""Maharashtra"" ""GSTIN"" store",web-search,Maharashtra,Powered by Shopify,fashion
https://the99cottonfabrics.com,"""Powered by Shopify"" ""Nagpur"" India ""Address""",web-search,Nagpur,Powered by Shopify,clothing
https://maharashtrahikes.com,"""Powered by Shopify"" ""Nashik"" India ""Address""",web-search,Nashik,Powered by Shopify,travel
https://dramrapali.com,"""Powered by Shopify"" ""Nashik"" India ""Address""",web-search,Nashik,Powered by Shopify,beauty
https://mecturing.in/pages/demo-session,"""Powered by Shopify"" ""Nashik"" India ""Address""",web-search,Nashik,Powered by Shopify,electronics
https://peacocksarees.store/collections,"""Powered by Shopify"" ""Nashik"" India ""Address""",web-search,Nashik,Powered by Shopify,clothing
https://damoiselle.in,"""Powered by Shopify"" ""Nashik"" India ""Address""",web-search,Nashik,Powered by Shopify,fashion
https://taoartgallery.com/pages/smita-mandlik,"""Powered by Shopify"" ""Nagpur"" India ""Address""",web-search,Nagpur,Powered by Shopify,art
