result_url,query,source,location,signal,category_hint
https://blckbask.com,"""Powered by Shopify"" ""Ahmedabad"" store India",web-search,Ahmedabad,Powered by Shopify,fashion
https://saarbyrajkumars.com,"""Powered by Shopify"" ""Ahmedabad"" store India",web-search,Ahmedabad,Powered by Shopify,fashion
https://snaptrends.in,"""Powered by Shopify"" ""Surat"" store India",web-search,Surat,Powered by Shopify,fashion
https://pasika.in,"""Powered by Shopify"" ""Surat"" store India",web-search,Surat,Powered by Shopify,fashion
https://sajavatsuits.com,"""Powered by Shopify"" ""Surat"" store India",web-search,Surat,Powered by Shopify,clothing
https://chininamak.com,"""Powered by Shopify"" ""Kolkata"" store India",web-search,Kolkata,Powered by Shopify,food
https://reetirivaajindia.com,"""Powered by Shopify"" ""Kolkata"" store India",web-search,Kolkata,Powered by Shopify,fashion
https://shepride.in,"""Powered by Shopify"" ""Kolkata"" store India",web-search,Kolkata,Powered by Shopify,fashion
https://kutchinachimneys.in,"""Powered by Shopify"" ""Ahmedabad"" store India",web-search,Ahmedabad,Powered by Shopify,home appliances
https://prasangikparidhan.com,"""Powered by Shopify"" ""Kolkata"" store India",web-search,Kolkata,Powered by Shopify,clothing
https://ekvora.store,"""Powered by Shopify"" ""Pune"" store India",web-search,Pune,Powered by Shopify,fashion
https://minajaipur.com,"""Powered by Shopify"" ""Jaipur"" India store",web-search,Jaipur,Powered by Shopify,fashion
https://sauvejaipur.com,"""Powered by Shopify"" ""Jaipur"" India store",web-search,Jaipur,Powered by Shopify,fashion
https://thehomeaffairjaipur.in,"""Powered by Shopify"" ""Jaipur"" India store",web-search,Jaipur,Powered by Shopify,home decor
https://theponyandpeony.com,"""Powered by Shopify"" ""Jaipur"" India store",web-search,Jaipur,Powered by Shopify,fashion
https://sindhinamkeen.shop,"""Powered by Shopify"" ""Jaipur"" India store",web-search,Jaipur,Powered by Shopify,food
https://bakhiyajaipur.in,"""Powered by Shopify"" ""Jaipur"" India store",web-search,Jaipur,Powered by Shopify,fashion
