result_url,query,source,location,signal,category_hint
"https://signorajewels.com/policies/legal-notice","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://diyaaswani.in/pages/contact","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://signorajewels.com/policies/terms-of-service","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://royalfrench.in/products/royal-french-blue-line-with-white-cuff-collar-classic-shirt?variant=51847762280580","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://signorajewels.com/policies/privacy-policy","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://vastraamall.in/","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://aaditafashion.com/pages/terms-and-conditions","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://sajavatsuits.com/pages/about-us","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://softpulseinfotech.com/about-us.php","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://diyaaswani.in/products/pearl-bloom-1","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://diyaaswani.in/collections","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://diyaaswani.in/products/radiant-ovals","""Powered by Shopify"" ""Gujarat"" fashion ""GSTIN""","web-search-wave3","Gujarat","Powered by Shopify","fashion"
"https://www.layerzero.co.in/pages/contact-usshipping-policy","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://www.layerzero.co.in/","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://www.radheflutes.com/collections/radhe-flutes-bestsellers","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://houseofshailja.com/products/macaroon-yellow-maxi-dress","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://www.radheflutes.com/collections/all?page=3","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://odishadesihaat.com/collections/gi-tagged","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://houseofshailja.com/apps/return_prime","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://www.layerzero.co.in/pages/privacy-policy","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://www.layerzero.co.in/pages/terms-conditions","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://thedesigneroutfit.com/products/maroon-satin-saree-with-embroidered-blouse-tdo171500","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://samstoy.in/pages/ride-on-toys-cars-and-bike-repair-and-service-center-in-ahmedabad-gujarat","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://samstoy.in/products/dancing-strawberry","""Powered by Shopify"" ""Ahmedabad"" jewellery ""GSTIN""","web-search-wave3","Ahmedabad","Powered by Shopify","jewellery"
"https://inwear.shop/","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://aaditafashion.com/pages/terms-and-conditions","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://apsvaanistyle.com/","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://shepride.in/","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://janasyawholesale.co/products/light-blue-pure-cotton-yoke-embroidered-a-line-kurta-jac25kr02117","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://sajavatsuits.com/pages/about-us","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://sukrutifashion.in/","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://janasyawholesale.co/products/sage-green-georgette-embroidered-a-line-kurta-set-jab24st00735","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://signorajewels.com/policies/terms-of-service","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://urbanapparel.co.in/pages/contact-information","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://sparshapparel.in/","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://dailywoman.in/pages/homepage-seo","""Powered by Shopify"" ""Surat"" fashion ""Address""","web-search-wave3","Surat","Powered by Shopify","fashion"
"https://khavda.com/products/mix-sweet","""/cdn/shop/"" ""Gujarat"" furniture","web-search-wave3","Gujarat","/cdn/shop/","furniture"
"https://landtokyo.com/products/02402560","""/cdn/shop/"" ""Gujarat"" furniture","web-search-wave3","Gujarat","/cdn/shop/","furniture"
"https://duckduckbaby.in/products/syga-edge-guard-strip-infant-bump-protector-for-sharp-edges-of-furniture-and-corners-brown","""/cdn/shop/"" ""Gujarat"" furniture","web-search-wave3","Gujarat","/cdn/shop/","furniture"
"https://khavda.com/products/kesar-katli","""/cdn/shop/"" ""Gujarat"" furniture","web-search-wave3","Gujarat","/cdn/shop/","furniture"
"https://bryarwolf.com/products/anash-pillow","""/cdn/shop/"" ""Gujarat"" furniture","web-search-wave3","Gujarat","/cdn/shop/","furniture"
"https://www.indigo-uk.com/products/glazed-wall-cabinet-aqua","""/cdn/shop/"" ""Gujarat"" furniture","web-search-wave3","Gujarat","/cdn/shop/","furniture"
"https://www.indigo-uk.com/products/glazed-wall-cabinet-aqua-2","""/cdn/shop/"" ""Gujarat"" furniture","web-search-wave3","Gujarat","/cdn/shop/","furniture"
"https://www.formyoffice.co.uk/products/baumhaus-urban-chic-low-open-bookcase-irf01c","""/cdn/shop/"" ""Gujarat"" furniture","web-search-wave3","Gujarat","/cdn/shop/","furniture"
