result_url,query,source,location,signal,category_hint
"https://theyogisociety.in/policies/terms-of-service","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://www.houseoffp.com/","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://ststyletry.com/policies/terms-of-service","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://cattyindia.com/","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://girley.co.in/","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://exoticindiafashion.myshopify.com/","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://labelbyhema.com/","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://ethnicelement.in/policies/terms-of-service","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://aaditafashion.com/pages/terms-and-conditions","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://skybags.co.in/a/store/ev7-exclusive-store-pvt-ltd-anishabad","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://malinishop.com/policies/privacy-policy","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://urbanapparel.co.in/pages/contact-information","""Powered by Shopify"" ""India"" fashion ""Address""","web-search-wave3","India","Powered by Shopify","fashion"
"https://ststyletry.com/policies/terms-of-service","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://veellora.in/products/olive-green-solid-co-ord-set?variant=49261038862587","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://jaimora.com/","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://signorajewels.com/policies/legal-notice","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://charkhee.com/collections/last-few/products/printed-studded-anarkali-set-of-3","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://veellora.in/products/teal-blue-solid-co-ord-set?variant=49261042237691","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://charkhee.com/collections/chandni-raatein","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://luxorastyl.com/pages/privacy-policy","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://charkhee.com/collections/charkhee-home","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://bassface.in/policies/contact-information","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://diyaaswani.in/pages/contact","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://charkhee.com/collections/joggers","""Powered by Shopify"" ""India"" clothing ""GSTIN""","web-search-wave3","India","Powered by Shopify","clothing"
"https://signorajewels.com/policies/legal-notice","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://www.thenyari.com/","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://hskjewellery.com/","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://elevejewels.com/","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://www.svarnajewels.in/","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://signorajewels.com/policies/terms-of-service","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://www.swadeshipitara.com/policies/terms-of-service","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://oneofe.com/","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://www.thewyw.com/search","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://signorajewels.com/policies/privacy-policy","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://phuljhadi.com/products/navika-stone-choker","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://aaditafashion.com/pages/terms-and-conditions","""Powered by Shopify"" ""India"" jewellery ""Address""","web-search-wave3","India","Powered by Shopify","jewellery"
"https://genmall.store/policies/legal-notice","""Powered by Shopify"" ""India"" beauty ""Address""","web-search-wave3","India","Powered by Shopify","beauty"
"https://gopeach.in/","""Powered by Shopify"" ""India"" beauty ""Address""","web-search-wave3","India","Powered by Shopify","beauty"
"https://purecosmeceuticals.myshopify.com/","""Powered by Shopify"" ""India"" beauty ""Address""","web-search-wave3","India","Powered by Shopify","beauty"
