result_url,query,source,location,signal,category_hint
"https://garudarabbit.com/collections/all","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://avyraaadornments.com/","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://blackgoldhairoil.com/pages/contact","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://garudarabbit.com/","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://avyraaadornments.com/cart","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://elitebridalstore.com/cart","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://aymami.in/collections/findings","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://smokeoil.in/","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://pinkpetals44.in/","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://padigam.com/","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://avyraaadornments.com/collections/all","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://www.kattam.in/pages/privacy-policy","""Powered by Shopify"" ""Tamil Nadu"" jewellery ""Address""","web-search-wave3","Tamil Nadu","Powered by Shopify","jewellery"
"https://khanduasilk.com/","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://tharunkiron.com/products/navy-comfort-shirt-copy","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://ethnicelement.in/policies/terms-of-service","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://spatikaclothing.com/apps/hkt-quickview/compare","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://tharunkiron.com/products/burgundy-gleaming-embellished-kurta-set","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://spatikaclothing.com/collections/all-products","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://elitebridalstore.com/cart","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://spatikaclothing.com/collections/frontpage","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://shrus.com/en-us","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://spatikaclothing.com/collections/all?page=23","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://bassface.in/policies/contact-information","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://tharunkiron.com/search","""Powered by Shopify"" ""Chennai"" clothing ""Address""","web-search-wave3","Chennai","Powered by Shopify","clothing"
"https://salty.co.in/products/state-charms","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://www.poudrine.com/products/jo-malone-intense-jasmine-sambac-and-marigold-eau-de-parfum","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://www.bigfestival.in/products/saveings-scheme-3000","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://www.dazller.co.in/products/dazller-waterproof-eyeliner","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://www.dazller.co.in/products/eterna-lip-liner?variant=45203728597300","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://instorefashion.myshopify.com/products/yoshika-yellow-kurti-dupatta","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://www.dazller.co.in/products/eterna-precise-pen-eyeliner","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://www.nicobar.com/products/annapurni-heritage-cuisine-from-tamil-nadu","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://themomstore.in/products/tikitoro-teens-anti-acne-gel-moisturizer-75ml-x-1","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://savecobradford.co.uk/products/haldirams-murukku-200g","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://supertails.com/products/taiyo-pro-rich-arowans-fish-food","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
"https://www.vilvahstore.com/products/skin-radiance-combo","""/cdn/shop/"" ""Tamil Nadu"" skincare","web-search-wave3","Tamil Nadu","/cdn/shop/","skincare"
