query,result_url
"""Powered by Shopify"" ""Bengaluru""",https://aivalifestyle.com/
"""Powered by Shopify"" ""Mumbai""",https://ranithestudio.com/
"""Powered by Shopify"" ""Delhi""",https://shrisanyogini.com/
"""Powered by Shopify"" ""Delhi""",https://serendipitydelhi.com/
"""Powered by Shopify"" ""Delhi""",https://delhifashionfactory.com/
"""Powered by Shopify"" ""Bengaluru""",https://sabsunclaystores.com/
"""Powered by Shopify"" ""Delhi""",https://aarfacreations.com/
"""Powered by Shopify"" ""Delhi""",https://baanikhurana.com/
"""Powered by Shopify"" ""Chennai""",https://akshatrends.in/
"""Powered by Shopify"" ""Delhi""",https://delcoshoes.com/
"""Powered by Shopify"" ""Delhi""",https://dabbakhul.com/
"""Powered by Shopify"" ""Delhi""",https://olif.in/
"""Powered by Shopify"" ""Pune""",https://blckbask.com/
"""Powered by Shopify"" ""Hyderabad""",https://lillooms.in/
"""Powered by Shopify"" ""Hyderabad""",https://zuvi.world/
"""Powered by Shopify"" ""Ahmedabad""",https://enera.co.in/
"""Powered by Shopify"" ""Pune""",https://carousel.co.in/
"""Powered by Shopify"" ""Kolkata""",https://chininamak.com/
"""Powered by Shopify"" ""Pune""",https://fubs.in/
"""Powered by Shopify"" ""Kolkata""",https://su-kham.com/
"""Powered by Shopify"" ""Ahmedabad""",https://uraib.in/
"""Powered by Shopify"" ""Kolkata""",https://monri.in/
"""Powered by Shopify"" ""Delhi""",https://gadgetlane.co.in/
"""Powered by Shopify"" ""Pune""",https://nerdlane.in/
"""Powered by Shopify"" ""Jaipur""",https://obotoriginal.com/
"""Powered by Shopify"" ""Jaipur""",https://sanjogindia.com/
"""Powered by Shopify"" ""Jaipur""",https://houseofmandara.com/
"""Powered by Shopify"" ""Jaipur""",https://bakhiyajaipur.in/
"""Powered by Shopify"" ""Jaipur""",https://ecomitratablewares.com/
"""Powered by Shopify"" ""Jaipur""",https://libaskurti.co/
"""Powered by Shopify"" ""Jaipur""",https://houseofkaura.com/
"""Powered by Shopify"" ""Kochi""",https://hearthy.in/
"""Powered by Shopify"" ""Gurugram""",https://getknotty.in/
