domain_url,contacts,socials,category,tagline_or_description,logo_url,state,shopify_score,india_score
https://11trends.in,"{""emails"": [""support11trends@gmail.com""], ""phones"": [""+918686570705"", ""+918686571715""]}","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Women's Apparel,"11 Trends is a saree and women's fashion store in Vijayawada, now selling online. Sarees, kurthi sets and womenswear, hand-picked in store and shipped across India. Secure UPI and card payments.",https://11trends.in/cdn/shop/files/11trends_logo.png?v=1785947818&width=500,Andhra Pradesh,12,11
https://24street.in,"{""emails"": [""customer.care@24street.in"", ""info@24street.in""], ""phones"": [""+919123873984""]}","{""instagram"": ""https://instagram.com/shop_24street"", ""facebook"": ""https://facebook.com/profile.php"", ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Sports & Fitness,"Discover 24Street – your go‑to destination for trendy, comfy and budget‑friendly men’s apparel in India. Explore joggers, gym wear, boxers, casual tees and summer essentials.",https://24street.in/cdn/shop/files/logo_1.png?v=1731489236&width=500,West Bengal,12,14
https://29thelabel.com,"{""emails"": [""29thelabel@gmail.com""], ""phones"": [""+917508000029""]}","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Jewellery,"India's Best Designer Clothing Store for Women. Explore the newest styles dresses, co-ord sets, jackets, shirts, & more from a top online store. Shop Now",https://29thelabel.com/cdn/shop/files/29thelabel_logo.png?v=1765032371&width=3840,Punjab,12,14
https://7balanced.in,"{""emails"": [""contact@7balanced.com"", ""support@7balanced.com""], ""phones"": [""+919904244655""]}","{""instagram"": ""https://instagram.com/stay7balanced"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Health & Wellness,"Clean-label overnight oats, granola and muesli with no refined sugar, high fibre and lab-tested ingredients. Healthy breakfast, delivered across India.",https://7balanced.in/cdn/shop/files/7B_BRAND_LOGO-WhiteGreen.svg?v=1777562461&width=500,Gujarat,12,18
https://7daysnatural.in,"{""emails"": [""info@7daysnatural.in""], ""phones"": [""+918800007761""]}","{""instagram"": ""https://instagram.com/7daysnatural"", ""facebook"": ""https://facebook.com/7daysnatural"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@7DAYSNATURAL""}",Beauty & Skincare,"Shop natural, paraben-free skincare & haircare made for Indian skin — face wash, Vitamin C serum, sunscreen & hair oil. COD available; easy returns.",https://7daysnatural.in/cdn/shop/files/7DaysNatural_Natural_Skin_Hair_Care_Brand_India.png?v=1781868105&width=1625,Haryana,11,5
https://7ewellness.in,"{""emails"": [""info@7ewellness.in""], ""phones"": [""+919685511123""]}","{""instagram"": ""https://instagram.com/myolift_microcurrent_facial"", ""facebook"": ""https://facebook.com/7emyoliftindia"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@7EWellness""}",Health & Wellness,"Shop FDA-cleared MyoLift microcurrent facial devices in India. Lift, tone & firm skin at home — non-surgical, esthetician-endorsed. Free shipping & EMI available.",https://cdn.shopify.com/.../7elogo.jpg,Madhya Pradesh,12,9
https://98degreenorth.com,"{""emails"": [""customercare@98degreenorth.com"", ""kkfabrics@gmail.com""], ""phones"": [""+919875982194""]}","{""instagram"": ""https://instagram.com/98degreenorth"", ""facebook"": ""https://facebook.com/98degreeNorth"", ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Fashion,"98 Degree North brings you homegrown streetwear for men & women. From cozy fleece sweatpants to stylish polos & winter essentials, upgrade your daily look.",https://98degreenorth.com/cdn/shop/files/98_logo-3.png?v=1750154601&width=450,Punjab,11,11
https://999cart.in,"{""emails"": [""999cart24x7@gmail.com"", ""evuty7164@gmail.com""], ""phones"": [""+912613193240""]}","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Home Decor,Email: 999cart24x7@gmail.com,https://999cart.in/cdn/shop/files/Screenshot__9_-removebg-preview.png?v=1705599106&width=500,Gujarat,12,13
https://99store.co.in,"{""emails"": [""support@99store.co.in""], ""phones"": [""+919220248885"", ""+919560270638""]}","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Electronics,"Home About us WHO WE ARE Welcome to 99store.co.in, your trusted eCommerce destination designed especially for customers across India. Our mission is simple; bring affordable, quality, and innovative products within everyone’s reach, backed by secure payments and fast delivery. We offer 500+ products across diverse categories, including electronics, apparel, home & kitchen essentials, daily-use items, innovative products, health & wellness goods, and religious items etc. Everything you need for…",https://www.99store.co.in/files/99_Store_logo_logo_2x_da9cdc28-2a45-40b4-bf19-9260e7d5ee4c.png,Delhi,12,18
https://9skin.in,"{""emails"": [""contact@9skin.in"", ""ello@9skin.world""], ""phones"": [""+917996189999""]}","{""instagram"": ""https://instagram.com/9skinofficial"", ""facebook"": ""https://facebook.com/9SkinOfficial"", ""twitter"": ""https://x.com/9SkinOfficial"", ""linkedin"": null, ""youtube"": null}",Beauty & Skincare,"Unlock the secret to radiant, healthy skin with 9Skin's range of products. Join our Self-Love tribe today!",https://9skin.in/cdn/shop/files/9skin-logo.png?v=1721113154&width=500,,12,8
https://aachhri.com,"{""emails"": [""business@aachhri.com""], ""phones"": [""+918882174849""]}","{""instagram"": ""https://instagram.com/aachhriofficial"", ""facebook"": ""https://facebook.com/profile.php"", ""twitter"": ""https://x.com/aachhriofficial"", ""linkedin"": null, ""youtube"": ""https://youtube.com/@aachhriofficial""}",Other,"Every woman carries an Aachhri within her. We bring her out through handcrafted chikankari kurta & kurta sets - hand-embroidered thread by thread, no two ever alike. Explore festive wear with free shipping across India.",https://www.aachhri.com/cdn/shop/files/1_2e247780-2250-451a-b1e1-10ef24637c09.png?v=1786775452&width=500,Haryana,12,14
https://aadhyawomensclothingstore.com,"{""emails"": [""sathya21m98@gmail.com""], ""phones"": [""+917358030603""]}","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Women's Apparel,"Discover Aadhya, your premier destination for authentic Indian ethnic wear in Chennai. Explore our exquisite collection of Kurtis, Anarkalis, and festive attire, all crafted with traditional techniques and contemporary designs.",http://aadhyawomensclothingstore.com/cdn/shop/files/1_d2ee4beb-5a4b-4658-96c4-9c043744394a.png?v=1737748704,Tamil Nadu,12,12
https://aaditafashion.com,"{""emails"": [""care@aaditafashion.com"", ""info@aaditafashion.com""], ""phones"": [""+917802049647""]}","{""instagram"": ""https://instagram.com/aaditafashion"", ""facebook"": ""https://facebook.com/aaditafashion"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@aaditafashion""}",Jewellery,"Discover Aadita Fashion's stunning collection of ethnic and trendy jewelry online. Shop necklaces, earrings, bridal sets & more. Premium designs at affordable prices.",https://aaditafashion.com/cdn/shop/files/AAdita_PNG_1_92122efe-77f1-4eab-b417-76f1cabc30c8.png?v=1773819174&width=1496,Gujarat,11,14
https://aahiradiamonds.com,"{""emails"": [""business.aahira@gmail.com"", ""info@aahiradiamonds.com""], ""phones"": [""+919326419311""]}","{""instagram"": ""https://instagram.com/aahiradiamonds"", ""facebook"": ""https://facebook.com/aahiradiamond"", ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Jewellery,We appreciate You for You,https://aahiradiamonds.com/cdn/shop/files/AAHIRA-LOGO-final-copy.webp?v=1726603291&width=500,Maharashtra,12,9
https://aarfacreations.com,"{""emails"": [""aarfacreationslogistic@gmail.com""], ""phones"": [""+918851853517"", ""+919266644485""]}","{""instagram"": ""https://instagram.com/aarfacreations_by_anshulvarun"", ""facebook"": ""https://facebook.com/Aarfacreation"", ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Fashion,"Aarfa Creations is a Delhi-based online and retail fashion store specializing in elegant and affordable women’s ethnic wear — including suits, lehengas, designer sarees, gowns, and more. Located in Adarsh Nagar, Delhi, we proudly serve customers worldwide with both in-store experiences and online convenience. Founded i",https://aarfacreations.com/cdn/shop/files/Logo_Black.png?v=1764421929&width=500,Delhi,12,14
https://aaurash.com,"{""emails"": [""hello@domain.com"", ""info@aaurash.com""], ""phones"": [""+913525684593"", ""+919310613200""]}","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Food & Beverage,"Crafted with Care, Backed by Legacy, and Compliant for the World At Aaurash, we believe that a cup of tea or coffee is more than just a beverage—it is an expression of wellness, tradition, and global connection. Aaurash is the signature tea and coffee brand of Freshokit India Pvt. Ltd., launched with a singular mission",https://aaurash.com/cdn/shop/files/Aaurash-logo-golden_ca9e17c5-a456-4ff7-823f-cab058560dc9.webp?v=1762937487&width=100,Haryana,12,13
https://aazol.in,"{""emails"": [""askaaji@aazol.in""], ""phones"": [""+917400470490""]}","{""instagram"": ""https://instagram.com/aazol.in"", ""facebook"": ""https://facebook.com/aazolfoods"", ""twitter"": null, ""linkedin"": ""https://linkedin.com/company/aazol"", ""youtube"": null}",Food & Beverage,"Aazol sources traditionally-made authentic foods from SHGs and women micro-entrepreneurs across Maharashtra. Made with love, care and ancient wisdom.",https://aazol.in/cdn/shop/files/up-logo-3.png?v=1786440376&width=1254,Maharashtra,12,12
https://accentmirror.com,"{""emails"": [""contact@accentmirror.com"", ""sales@accentmirror.com""], ""phones"": [""+917499756526""]}","{""instagram"": ""https://instagram.com/accentmirror"", ""facebook"": null, ""twitter"": null, ""linkedin"": ""https://in.linkedin.com/company/accent-mirror"", ""youtube"": null}",Home Decor,Accent Mirror is your one stop solution for a variety of trending mirrors that are easily available online to order. Get the best quality and premium mirrors online,https://accentmirror.com/cdn/shop/files/Accent-Logo-2.webp?v=1765960984&width=500,Maharashtra,12,17
https://accessoryavenue.in,"{""emails"": [""contact@accessoriesavenue.in""], ""phones"": [""+917668020146""]}","{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": null}",Accessories,"Welcome to Accessories Avenue By Nancy – where creativity meets passion! I'm Nancy, a young girl with a big dream and a love for handmade hair accessories. Since a young age, I've been fascinated by the beauty of small details—the sparkle of a hair clip, the elegance of a ribbon, and the charm of a handmade piece that",,,12,4
https://acehard.in,"{""emails"": [""info@acehard.in"", ""sales3@acehard.in""], ""phones"": [""+911203508888""]}","{""instagram"": ""https://instagram.com/ace_hardware_in"", ""facebook"": ""https://facebook.com/ocdbyaceline"", ""twitter"": ""https://x.com/acelineindia"", ""linkedin"": null, ""youtube"": ""https://youtube.com/@acehardwareindia""}",Accessories,"Ace Hardware Pvt Ltd is the leading premium brass door hardware, furniture hardware and bathroom accessories manufacturer in India, providing exclusive door handle, door knocker, door lock, furniture knobs, furniture handles in variety of finishes | AceLine",https://acehard.in/cdn/shop/files/LOGO_148f1541-ef01-42ac-bfeb-ccf5e15e7b8a.png?v=1785835534&width=400,Uttar Pradesh,12,13
https://acreatorsstudio.com,"{""emails"": [""acreatorsstudio@gmail.com""], ""phones"": []}","{""instagram"": ""https://instagram.com/acreatorsstudio"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@ACreatorsStudio/featured""}",Jewellery,"For general enquiries, reach us at acreatorsstudio@gmail.com Message us on Instagram @acreatorsstudio Address: B-108, first floor, Block B, Mayfield Garden, Sector 50, Gurugram, Haryana 122001, India",https://www.acreatorsstudio.com/cdn/shop/files/Acs_logo_inverse_dee63e38-4c79-4c09-9029-bb215dfb9be8.png?v=1761651928&width=500,Haryana,11,11
https://actionware.in,"{""emails"": [""ecommerce@actionware.in"", ""hroffice@actionware.in"", ""info@actionware.in""], ""phones"": [""+919409309011""]}","{""instagram"": ""https://instagram.com/actionware.in"", ""facebook"": ""https://facebook.com/actionware"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/user/actionkitchenware""}",Furniture,Actionware India Pvt. Ltd.,https://www.actionware.in/cdn/shop/files/actionware-india-pvt-ltd-logo-1719390186.png?v=1774070547&width=500,Gujarat,12,15
https://activlife.in,"{""emails"": [""support@activlife.in""], ""phones"": [""+918826456887""]}","{""instagram"": ""https://instagram.com/activlife.in"", ""facebook"": ""https://facebook.com/profile.php"", ""twitter"": null, ""linkedin"": null, ""youtube"": ""https://youtube.com/@activlifein""}",Other,We believe that the small things in life should be celebrated and that's why we strive to bring you a wide range of products that cater to all ages and interests.,https://activlife.in/cdn/shop/files/logo-activlife_2920ec0a-8aa9-4189-b341-8c1ab2cfff4d.png?v=1742067892&width=1025,Uttar Pradesh,12,12
